vulnerability_id,asset_id,cve_id,vulnerability_type,cvss_score,severity,exploitability_score,attack_vector,attack_complexity,privileges_required,user_interaction,known_exploited,exploit_available,exploit_age_days,vulnerability_age_days,affected_service,patch_available,patch_age_days,remediation_status,remediation_deadline,vulnerability_risk_score
VULN-000022,AST-01679,CVE-2026-83302,Path Traversal,3.7,Low,1.1,Network,Low,High,Required,False,False,0,869,Employee Laptop,True,539,Open,2026-11-02,5.1
VULN-000023,AST-06217,CVE-2022-26096,LDAP Injection,8.5,High,2.7,Local,High,None,Required,False,False,0,986,Network Device,True,398,Open,2026-11-26,10
VULN-000024,AST-01630,CVE-2021-82399,RCE,4.3,Medium,2.1,Network,Low,Low,None,False,False,0,301,Workstation,True,24,Mitigated,,1.1
VULN-000025,AST-06193,CVE-2019-94535,Path Traversal,2.0,Low,0.4,Local,High,Low,None,False,False,0,73,Network Device,True,58,In Progress,,4.2
VULN-000026,AST-01332,CVE-2019-53692,RCE,7.5,High,2.3,Network,High,Low,None,False,False,0,1127,Storage Bucket,True,952,Open,2026-10-21,7.3
VULN-000027,AST-03435,CVE-2026-79661,Authentication Bypass,0.2,Low,0.1,Network,Low,High,None,False,False,0,79,API Gateway,True,11,Accepted,,0.2
VULN-000028,AST-02596,CVE-2026-73299,Information Disclosure,6.3,Medium,2.9,Network,Low,None,None,False,False,0,253,Database Server,True,165,In Progress,,6.8
VULN-000029,AST-04720,CVE-2020-21784,SQL Injection,8.6,High,2.4,Physical,High,None,Required,False,False,0,284,Email Server,False,0,In Progress,,9.9
VULN-000030,AST-04065,CVE-2022-8596,LDAP Injection,1.6,Low,0.6,Network,Low,High,Required,False,False,0,647,CI/CD Server,True,60,Accepted,,1.6
VULN-000031,AST-00877,CVE-2021-12168,Insecure Default Configuration,0.2,Low,0.0,Network,High,Low,Required,False,False,0,891,VPN Gateway,True,443,Mitigated,,0.1
VULN-000032,AST-00570,CVE-2019-53542,Use After Free,5.4,Medium,2.5,Network,Low,None,None,False,False,0,851,Application Server,False,0,Mitigated,,2.0
VULN-000033,AST-02837,CVE-2026-55521,Command Injection,5.8,Medium,1.3,Network,Low,Low,None,False,False,0,1047,CI/CD Server,False,0,In Progress,,5.5
VULN-000034,AST-01314,CVE-2021-80612,Command Injection,5.1,Medium,2.3,Network,High,High,Required,False,False,0,48,Network Device,True,5,Open,2026-10-17,7.2
VULN-000035,AST-03191,CVE-2020-48333,Privilege Escalation,7.8,High,3.6,Local,Low,High,Required,True,True,484,943,SaaS Application,False,0,False Positive,,9.7
VULN-000036,AST-01105,CVE-2022-55301,LDAP Injection,7.8,High,2.9,Local,High,None,None,False,False,0,415,IoT Device,True,308,Open,2026-10-08,9.0
VULN-000037,AST-07389,CVE-2019-39286,Information Disclosure,7.8,High,3.3,Adjacent,Low,None,None,True,True,85,151,CI/CD Server,True,132,Mitigated,,5.8
VULN-000038,AST-04416,CVE-2022-73198,RCE,4.5,Medium,2.2,Local,High,High,None,False,True,244,415,Network Device,True,311,False Positive,,6.3
VULN-000039,AST-00438,CVE-2019-87283,SSRF,0.6,Low,0.3,Network,Low,High,Required,False,False,0,531,Email Server,False,0,False Positive,,1.2
VULN-000040,AST-02299,CVE-2025-81386,Privilege Escalation,9.5,Critical,2.3,Network,High,Low,Required,False,False,0,163,Payment Gateway,True,152,Open,2026-11-12,10
VULN-000041,AST-02872,CVE-2026-73607,Deserialization,9.5,Critical,3.2,Network,Low,Low,Required,False,False,0,671,CI/CD Server,True,595,Open,2026-11-01,9.5
VULN-000042,AST-01661,CVE-2019-84730,Use After Free,9.2,Critical,3.9,Network,High,High,None,False,False,0,291,VPN Gateway,True,224,Open,2026-11-23,10
VULN-000043,AST-01498,CVE-2024-77768,Command Injection,9.6,Critical,1.9,Network,High,None,None,False,True,303,367,Web Server,True,242,Mitigated,,8.3
VULN-000044,AST-04501,CVE-2024-72499,Memory Corruption,9.9,Critical,3.0,Local,High,Low,None,False,False,0,201,API Gateway,True,148,Mitigated,,7.5
VULN-000045,AST-04473,CVE-2026-29042,SQL Injection,3.8,Low,1.2,Network,Low,Low,None,False,False,0,93,Payment Gateway,True,59,Mitigated,,1.2
VULN-000046,AST-00720,CVE-2019-36489,Command Injection,9.3,Critical,2.8,Network,Low,High,Required,False,True,6,225,SaaS Application,True,186,Open,2026-11-23,8.7
VULN-000047,AST-06657,CVE-2026-27302,Improper Access Control,7.1,High,3.1,Local,Low,Low,None,False,False,0,1134,IAM System,True,247,Open,2026-10-31,8.2
VULN-000048,AST-02012,CVE-2022-46920,Improper Access Control,6.6,Medium,1.5,Network,High,High,None,False,False,0,403,Database Server,True,234,Accepted,,7.5
VULN-000049,AST-00025,CVE-2024-76082,Privilege Escalation,5.5,Medium,1.2,Physical,High,High,None,False,False,0,740,Email Server,True,239,Accepted,,5.3
VULN-000050,AST-01835,CVE-2022-53942,SSRF,2.1,Low,0.9,Network,Low,None,Required,False,False,0,727,API Gateway,True,313,In Progress,,2.8
VULN-000051,AST-02026,CVE-2026-76607,Cryptographic Weakness,0.3,Low,0.1,Network,Low,High,None,False,True,160,277,Email Server,True,139,Mitigated,,0.1
VULN-000052,AST-07508,CVE-2019-44989,Privilege Escalation,5.5,Medium,2.6,Network,Low,Low,Required,False,True,299,735,Workstation,False,0,Accepted,,6.4
VULN-000053,AST-05455,CVE-2024-6646,LDAP Injection,1.9,Low,0.7,Local,High,None,None,False,False,0,1076,IoT Device,False,0,Mitigated,,0.1
VULN-000054,AST-01588,CVE-2026-79575,Deserialization,3.8,Low,1.4,Network,Low,High,None,False,True,118,230,IAM System,True,69,Mitigated,,1.3
VULN-000055,AST-08952,CVE-2026-64822,XXE,8.4,High,2.3,Network,High,None,None,False,False,0,209,Storage Bucket,True,160,Accepted,,8.2
VULN-000056,AST-04691,CVE-2021-30596,RCE,8.9,High,3.9,Adjacent,Low,Low,None,False,True,636,720,Network Device,True,158,False Positive,,9.2
VULN-000057,AST-00549,CVE-2026-9432,LDAP Injection,1.4,Low,0.5,Network,High,None,None,False,False,0,532,Domain Controller,False,0,In Progress,,1.7
VULN-000058,AST-05390,CVE-2023-5632,RCE,9.3,Critical,2.7,Local,Low,None,Required,False,True,840,981,Workstation,False,0,Mitigated,,7.5
VULN-000059,AST-09078,CVE-2025-42955,Cryptographic Weakness,4.7,Medium,1.3,Adjacent,Low,None,Required,False,False,0,331,SaaS Application,True,113,Mitigated,,2.2
VULN-000060,AST-04004,CVE-2026-57814,Buffer Overflow,1.3,Low,0.3,Local,High,None,None,False,False,0,1154,IAM System,False,0,Accepted,,1.7
VULN-000061,AST-01904,CVE-2024-82149,XSS,0.9,Low,0.3,Local,High,Low,Required,False,True,198,241,Network Device,False,0,Mitigated,,0.1
VULN-000062,AST-05950,CVE-2023-39986,Race Condition,4.9,Medium,1.0,Local,Low,High,Required,True,True,126,730,Workstation,True,725,In Progress,,7.2
VULN-000063,AST-02243,CVE-2024-77607,XXE,5.6,Medium,2.5,Network,High,Low,Required,False,False,0,956,Workstation,True,495,Open,2026-10-09,6.1
VULN-000064,AST-02589,CVE-2023-76835,Path Traversal,6.2,Medium,1.3,Local,High,Low,None,False,False,0,767,Employee Laptop,False,0,In Progress,,7.3
VULN-000065,AST-02819,CVE-2026-4184,SQL Injection,2.3,Low,1.0,Local,Low,High,None,False,False,0,897,Storage Bucket,True,318,Mitigated,,0.1
VULN-000066,AST-03161,CVE-2023-64157,Information Disclosure,2.6,Low,0.6,Network,Low,None,None,False,True,754,755,File Server,True,506,Mitigated,,1.3
VULN-000067,AST-03899,CVE-2020-33196,SSRF,5.2,Medium,2.3,Local,Low,None,Required,False,False,0,353,Network Device,False,0,Accepted,,5.9
VULN-000068,AST-06582,CVE-2022-37978,Authentication Bypass,4.1,Medium,1.3,Network,Low,High,None,False,False,0,939,Email Server,False,0,Mitigated,,1.5
VULN-000069,AST-09365,CVE-2025-29767,Path Traversal,7.9,High,3.3,Local,High,None,Required,False,False,0,556,Firewall,True,257,Accepted,,8.2
VULN-000070,AST-08277,CVE-2024-32950,SQL Injection,9.4,Critical,3.9,Local,Low,None,None,False,False,0,5,IoT Device,False,0,False Positive,,8.2
VULN-000071,AST-07616,CVE-2026-53965,SSRF,0.9,Low,0.2,Network,Low,High,None,False,False,0,208,Network Device,True,195,Accepted,,2.6
VULN-000072,AST-03857,CVE-2025-70442,XXE,8.8,High,2.0,Network,High,None,None,False,False,0,285,SaaS Application,True,148,Open,2026-11-28,10
VULN-000073,AST-09107,CVE-2019-33602,Cryptographic Weakness,6.7,Medium,1.5,Network,Low,High,None,False,False,0,519,CI/CD Server,True,235,Mitigated,,3.1
VULN-000074,AST-07563,CVE-2022-6357,LDAP Injection,2.5,Low,0.7,Network,High,None,Required,True,True,226,534,Storage Bucket,False,0,Mitigated,,1.7
VULN-000075,AST-06838,CVE-2026-55678,Memory Corruption,4.5,Medium,2.1,Local,High,None,None,False,True,414,655,CI/CD Server,False,0,Accepted,,4.0
VULN-000076,AST-01868,CVE-2021-92511,Buffer Overflow,10.0,Critical,3.9,Local,High,High,Required,False,True,248,550,SaaS Application,False,0,In Progress,,10
VULN-000077,AST-07992,CVE-2021-90963,Command Injection,9.9,Critical,3.9,Local,High,High,None,False,False,0,104,Cloud VM,True,23,Open,2026-10-14,10
VULN-000078,AST-00262,CVE-2019-90679,SQL Injection,4.6,Medium,1.1,Network,High,None,None,False,False,0,207,File Server,True,47,Open,2026-10-01,4.5
VULN-000079,AST-07207,CVE-2026-54885,Race Condition,0.4,Low,0.2,Network,Low,Low,None,False,False,0,1054,Employee Laptop,True,387,Accepted,,0.8
VULN-000080,AST-01798,CVE-2024-66503,Cryptographic Weakness,2.8,Low,1.4,Network,High,High,None,False,False,0,995,IAM System,True,160,In Progress,,2.8
VULN-000081,AST-01714,CVE-2025-61153,XXE,7.0,High,2.3,Network,High,Low,None,False,False,0,1149,VPN Gateway,True,141,Open,2026-11-15,8.0
VULN-000082,AST-03734,CVE-2026-52887,Cryptographic Weakness,2.2,Low,0.7,Physical,High,Low,None,False,True,638,922,Network Device,True,909,Mitigated,,1.1
VULN-000083,AST-04165,CVE-2022-76633,XXE,8.1,High,2.6,Network,High,None,Required,False,False,0,883,API Gateway,False,0,Open,2026-11-03,7.4
VULN-000084,AST-05599,CVE-2026-75949,Memory Corruption,8.9,High,3.0,Adjacent,High,High,None,False,False,0,567,Domain Controller,False,0,Accepted,,8.7
VULN-000085,AST-04932,CVE-2020-48694,Information Disclosure,5.7,Medium,1.5,Local,High,Low,None,False,False,0,989,Cloud VM,True,465,Mitigated,,2.6
VULN-000086,AST-03653,CVE-2024-25022,SQL Injection,7.3,High,1.5,Network,Low,Low,None,False,False,0,423,Firewall,True,125,Open,2026-10-03,8.4
VULN-000087,AST-08852,CVE-2026-61505,Insecure Default Configuration,8.9,High,2.3,Adjacent,High,High,None,False,False,0,855,Kubernetes Cluster,False,0,Mitigated,,5.6
VULN-000088,AST-00309,CVE-2026-84117,Memory Corruption,9.0,Critical,3.5,Local,High,High,None,False,False,0,617,VPN Gateway,False,0,In Progress,,10
VULN-000089,AST-05653,CVE-2026-20278,Authentication Bypass,1.7,Low,0.4,Adjacent,High,None,Required,False,False,0,231,Email Server,True,18,Mitigated,,0.1
VULN-000090,AST-06469,CVE-2026-75112,Memory Corruption,2.8,Low,1.1,Local,High,High,Required,False,True,1041,1089,Kubernetes Cluster,True,147,Mitigated,,0.1
VULN-000091,AST-09375,CVE-2024-28270,XSS,5.7,Medium,2.1,Local,Low,High,Required,False,False,0,873,Database Server,True,149,Open,2026-10-22,6.9
VULN-000092,AST-00070,CVE-2024-39541,Cryptographic Weakness,6.3,Medium,2.8,Local,Low,High,Required,False,False,0,1112,File Server,False,0,False Positive,,7.6
VULN-000093,AST-05409,CVE-2019-31765,LDAP Injection,9.3,Critical,2.1,Physical,High,Low,Required,False,True,41,166,CI/CD Server,True,6,Accepted,,7.5
VULN-000094,AST-09732,CVE-2022-35603,Use After Free,8.8,High,2.5,Adjacent,Low,Low,None,True,True,694,714,VPN Gateway,False,0,Mitigated,,8.9
VULN-000095,AST-05649,CVE-2026-81028,SQL Injection,1.2,Low,0.5,Network,Low,None,None,False,False,0,757,API Gateway,False,0,In Progress,,1.7
VULN-000096,AST-07861,CVE-2023-40981,Memory Corruption,0.2,Low,0.1,Local,High,High,None,False,False,0,310,Workstation,True,102,Accepted,,0.2
VULN-000097,AST-00028,CVE-2026-2017,Use After Free,4.1,Medium,1.0,Network,Low,High,None,False,False,0,464,Storage Bucket,False,0,Mitigated,,1.7
VULN-000098,AST-01892,CVE-2026-54757,SSRF,8.4,High,2.5,Adjacent,Low,Low,None,False,False,0,437,Cloud VM,True,157,Mitigated,,5.6
VULN-000099,AST-04546,CVE-2026-27830,Race Condition,8.0,High,3.0,Adjacent,High,High,Required,False,False,0,69,Database Server,True,21,Accepted,,7.6
VULN-000100,AST-07512,CVE-2026-67282,SSRF,9.4,Critical,2.2,Adjacent,High,Low,None,False,True,217,1015,Kubernetes Cluster,False,0,Mitigated,,8.8
VULN-000101,AST-03542,CVE-2026-33076,CSRF,9.9,Critical,3.9,Physical,Low,High,None,False,False,0,582,Database Server,True,237,False Positive,,9.3
VULN-000102,AST-07928,CVE-2021-44152,XXE,8.1,High,3.6,Physical,Low,Low,None,False,False,0,180,VPN Gateway,True,110,In Progress,,8.5
VULN-000103,AST-06932,CVE-2019-88077,Command Injection,1.6,Low,0.4,Network,Low,High,None,False,False,0,1170,Cloud VM,True,66,Mitigated,,0.1
VULN-000104,AST-06230,CVE-2019-85804,Deserialization,4.5,Medium,1.9,Local,Low,High,None,False,True,185,1127,SaaS Application,True,378,Open,2026-10-22,4.8
VULN-000105,AST-01752,CVE-2021-68889,XSS,2.6,Low,1.2,Adjacent,High,Low,Required,False,False,0,378,Payment Gateway,False,0,Accepted,,3.2
VULN-000106,AST-07810,CVE-2022-19038,Authentication Bypass,5.9,Medium,2.3,Adjacent,Low,None,None,False,False,0,335,API Gateway,True,252,False Positive,,6.1
VULN-000107,AST-04407,CVE-2023-46948,CSRF,9.4,Critical,3.2,Network,Low,High,None,False,True,1070,1182,Network Device,True,218,Accepted,,9.6
VULN-000108,AST-07677,CVE-2023-23577,Cryptographic Weakness,7.2,High,1.8,Adjacent,Low,Low,Required,False,False,0,248,IAM System,True,135,Open,2026-11-25,6.7
VULN-000109,AST-09114,CVE-2024-19334,Cryptographic Weakness,5.3,Medium,2.3,Network,High,High,Required,False,True,65,945,VPN Gateway,True,99,Mitigated,,4.5
VULN-000110,AST-00219,CVE-2026-39219,Path Traversal,2.0,Low,0.8,Network,Low,None,Required,False,False,0,641,CI/CD Server,True,75,Open,2026-12-03,2.1
VULN-000111,AST-07558,CVE-2019-70216,Privilege Escalation,6.1,Medium,2.6,Local,High,None,Required,False,False,0,571,Domain Controller,True,374,Mitigated,,3.1
VULN-000112,AST-08679,CVE-2025-77386,Improper Access Control,8.5,High,2.3,Network,Low,Low,Required,False,False,0,821,File Server,True,705,Mitigated,,5.3
VULN-000113,AST-00128,CVE-2020-53745,Privilege Escalation,0.9,Low,0.4,Network,Low,High,Required,False,True,369,504,Network Device,False,0,Accepted,,1.4
VULN-000114,AST-00190,CVE-2023-32058,Path Traversal,4.5,Medium,1.4,Network,High,High,None,True,True,402,522,Domain Controller,False,0,Mitigated,,4.2
VULN-000115,AST-02693,CVE-2026-64813,Deserialization,1.4,Low,0.4,Local,Low,None,None,False,False,0,349,IoT Device,True,76,In Progress,,1.9
VULN-000116,AST-00585,CVE-2026-55847,Memory Corruption,9.0,Critical,2.7,Local,Low,High,None,False,False,0,5,Email Server,True,2,In Progress,,9.7
VULN-000117,AST-01992,CVE-2024-53829,Race Condition,7.6,High,2.9,Local,High,None,None,True,True,13,235,Network Device,True,10,Open,2026-11-06,9.0
VULN-000118,AST-09990,CVE-2026-9476,SSRF,3.1,Low,0.8,Network,Low,High,Required,True,True,74,338,Cloud VM,True,203,Mitigated,,1.8
VULN-000119,AST-02094,CVE-2022-51523,Cryptographic Weakness,3.7,Low,0.9,Local,Low,Low,None,False,False,0,620,Database Server,False,0,In Progress,,5.3
VULN-000120,AST-00539,CVE-2026-67988,Buffer Overflow,2.7,Low,0.8,Network,High,Low,None,False,False,0,1062,IoT Device,True,236,In Progress,,3.2
VULN-000121,AST-03921,CVE-2026-22194,Deserialization,3.6,Low,1.6,Network,Low,Low,None,False,False,0,426,Payment Gateway,True,113,Accepted,,5.5
VULN-000122,AST-00255,CVE-2023-59742,Command Injection,8.4,High,3.0,Network,High,None,Required,False,False,0,398,Web Server,True,220,Mitigated,,5.8
VULN-000123,AST-08681,CVE-2026-13348,SSRF,4.8,Medium,2.1,Network,High,Low,None,False,False,0,187,IoT Device,False,0,In Progress,,4.4
VULN-000124,AST-06059,CVE-2020-63457,Command Injection,9.2,Critical,3.0,Network,Low,None,None,True,True,270,1119,IAM System,False,0,Accepted,,10
VULN-000125,AST-07676,CVE-2024-17972,Authentication Bypass,5.2,Medium,2.1,Network,Low,None,None,False,True,14,390,Payment Gateway,True,135,Mitigated,,4.5
VULN-000126,AST-02545,CVE-2021-63180,Memory Corruption,7.9,High,2.1,Network,Low,Low,Required,False,True,5,667,API Gateway,False,0,Open,2026-10-11,8.8
VULN-000127,AST-03306,CVE-2020-68658,Authentication Bypass,6.5,Medium,1.3,Network,High,High,None,False,True,616,703,Kubernetes Cluster,False,0,Open,2026-10-14,6.5
VULN-000128,AST-06488,CVE-2024-66673,RCE,1.0,Low,0.2,Network,High,None,Required,False,True,24,138,Network Device,True,11,In Progress,,1.6
VULN-000129,AST-08815,CVE-2023-33110,Path Traversal,7.5,High,2.4,Network,Low,None,None,True,True,64,67,Payment Gateway,False,0,In Progress,,8.5
VULN-000130,AST-04948,CVE-2023-73608,Use After Free,6.6,Medium,1.7,Network,High,None,None,False,False,0,711,Kubernetes Cluster,True,483,Open,2026-09-19,6.0
VULN-000131,AST-02043,CVE-2026-85430,Insecure Default Configuration,4.1,Medium,0.9,Physical,High,Low,None,False,False,0,466,Employee Laptop,False,0,Open,2026-09-19,5.0
VULN-000132,AST-06298,CVE-2023-82830,Use After Free,0.4,Low,0.1,Network,High,High,None,False,False,0,64,CI/CD Server,True,41,In Progress,,0.4
VULN-000133,AST-05608,CVE-2019-87168,Command Injection,8.6,High,3.9,Network,Low,None,Required,False,False,0,928,Email Server,True,92,Open,2026-11-13,7.3
VULN-000134,AST-04842,CVE-2025-65656,SQL Injection,0.1,Low,0.0,Network,High,None,None,False,False,0,302,Web Server,False,0,Accepted,,0.1
VULN-000135,AST-02629,CVE-2023-59011,Command Injection,6.0,Medium,1.2,Network,Low,None,None,False,False,0,1126,API Gateway,False,0,Mitigated,,3.2
VULN-000136,AST-02885,CVE-2020-18276,Cryptographic Weakness,9.0,Critical,2.5,Network,Low,None,Required,False,False,0,242,File Server,True,230,Open,2026-09-19,9.4
VULN-000137,AST-00451,CVE-2021-56935,Authentication Bypass,6.2,Medium,2.3,Physical,High,High,None,False,False,0,599,Database Server,True,111,Accepted,,6.1
VULN-000138,AST-09102,CVE-2023-30557,XSS,5.2,Medium,1.7,Network,Low,Low,None,False,True,69,81,Domain Controller,True,32,Mitigated,,4.2
VULN-000139,AST-05666,CVE-2024-38668,Path Traversal,4.9,Medium,2.3,Network,Low,None,Required,False,False,0,885,API Gateway,False,0,In Progress,,5.5
VULN-000140,AST-03129,CVE-2026-70651,Insecure Default Configuration,9.0,Critical,2.1,Network,Low,Low,Required,False,False,0,487,IoT Device,True,460,Open,2026-09-19,9.2
VULN-000141,AST-00542,CVE-2026-69070,Command Injection,6.7,Medium,1.7,Network,High,None,None,False,False,0,832,Domain Controller,True,817,In Progress,,9.3
VULN-000142,AST-08652,CVE-2021-66060,Insecure Default Configuration,3.9,Low,1.1,Physical,Low,High,Required,False,False,0,540,Email Server,True,289,In Progress,,4.4
VULN-000143,AST-08563,CVE-2019-94341,SQL Injection,5.4,Medium,1.9,Local,High,Low,None,False,False,0,909,IAM System,True,98,False Positive,,5.3
VULN-000144,AST-00668,CVE-2025-66663,Buffer Overflow,4.3,Medium,1.2,Adjacent,Low,Low,None,False,False,0,327,Storage Bucket,True,251,Mitigated,,1.5
VULN-000145,AST-09512,CVE-2026-81684,Improper Access Control,4.6,Medium,1.0,Network,Low,Low,Required,False,False,0,456,Application Server,True,360,Open,2026-09-21,4.8
VULN-000146,AST-06013,CVE-2026-51956,Improper Access Control,9.1,Critical,2.2,Local,Low,None,Required,False,True,179,285,Workstation,True,42,Mitigated,,7.4
VULN-000147,AST-06427,CVE-2020-26633,Insecure Default Configuration,8.7,High,2.4,Local,Low,None,None,False,False,0,138,IAM System,False,0,Accepted,,7.9
VULN-000148,AST-04984,CVE-2024-14836,Deserialization,3.8,Low,1.5,Local,Low,Low,Required,False,False,0,214,Kubernetes Cluster,True,138,In Progress,,4.1
VULN-000149,AST-01731,CVE-2022-98584,RCE,6.6,Medium,1.6,Local,Low,High,Required,False,False,0,79,Application Server,False,0,Mitigated,,3.8
VULN-000150,AST-00503,CVE-2021-6729,LDAP Injection,2.4,Low,0.6,Network,High,High,Required,False,False,0,142,VPN Gateway,True,116,Open,2026-09-29,4.3
VULN-000151,AST-07003,CVE-2026-31887,CSRF,4.5,Medium,1.0,Network,High,None,Required,False,False,0,1171,Email Server,False,0,Mitigated,,2.0
VULN-000152,AST-00504,CVE-2026-27544,XSS,7.5,High,1.9,Adjacent,High,Low,None,False,False,0,1185,IAM System,False,0,Mitigated,,5.3
VULN-000153,AST-00024,CVE-2021-77805,XXE,2.4,Low,0.7,Network,High,None,None,False,False,0,608,VPN Gateway,True,18,Accepted,,3.0
VULN-000154,AST-05099,CVE-2022-45622,Command Injection,7.1,High,2.5,Network,Low,Low,None,True,True,164,173,Email Server,True,51,False Positive,,8.5
VULN-000155,AST-03212,CVE-2024-94420,Cryptographic Weakness,8.7,High,1.8,Network,High,None,None,False,False,0,1023,Payment Gateway,False,0,Open,2026-10-22,8.1
VULN-000156,AST-02978,CVE-2026-55678,Authentication Bypass,3.0,Low,0.7,Physical,High,Low,Required,False,False,0,216,VPN Gateway,False,0,Open,2026-09-13,2.9
VULN-000157,AST-00405,CVE-2022-2761,XSS,5.3,Medium,2.5,Physical,High,None,Required,False,True,202,358,API Gateway,True,195,Mitigated,,4.0
VULN-000158,AST-06255,CVE-2024-28300,Information Disclosure,6.0,Medium,1.5,Physical,High,Low,None,False,True,781,1011,Email Server,True,859,False Positive,,7.7
VULN-000159,AST-02118,CVE-2021-96418,CSRF,7.5,High,2.8,Network,Low,None,Required,False,False,0,1200,Network Device,True,257,In Progress,,7.5
VULN-000160,AST-00073,CVE-2019-52321,Buffer Overflow,6.3,Medium,1.8,Local,High,Low,Required,False,True,594,807,CI/CD Server,True,297,Open,2026-11-21,5.3
VULN-000161,AST-06612,CVE-2026-5976,Cryptographic Weakness,8.8,High,3.9,Physical,Low,High,Required,True,True,536,811,File Server,True,779,In Progress,,10
VULN-000162,AST-07830,CVE-2020-95362,Path Traversal,0.4,Low,0.1,Adjacent,Low,Low,None,False,False,0,945,Web Server,False,0,In Progress,,0.9
VULN-000163,AST-06025,CVE-2026-79684,SSRF,8.9,High,2.5,Network,Low,High,Required,False,False,0,455,IoT Device,True,34,In Progress,,8.9
VULN-000164,AST-04087,CVE-2026-54081,SQL Injection,10.0,Critical,3.6,Network,Low,None,Required,False,False,0,245,IAM System,True,71,Open,2026-10-30,10
VULN-000165,AST-03991,CVE-2026-65884,Insecure Default Configuration,9.1,Critical,3.3,Network,Low,None,Required,True,True,104,185,Database Server,True,146,Open,2026-09-23,10
VULN-000166,AST-04683,CVE-2026-15956,Authentication Bypass,5.4,Medium,2.5,Adjacent,Low,Low,Required,False,False,0,202,Web Server,False,0,Accepted,,4.8
VULN-000167,AST-04093,CVE-2020-57083,Privilege Escalation,4.3,Medium,1.0,Adjacent,Low,None,None,False,False,0,576,Application Server,True,39,Open,2026-11-20,5.2
