telemetry_id,asset_id,timestamp,malware_detected,suspicious_process_count,endpoint_alert_count,ransomware_indicator,malicious_file_count,blocked_connection_count,isolation_triggered,detection_confidence,endpoint_security_score
EDR-000055,AST-00055,2026-08-28 10:58:14,False,6,11,False,0,12,False,0.49,7.3
EDR-000056,AST-00056,2026-08-08 08:58:14,True,3,19,False,0,41,False,0.99,5.8
EDR-000057,AST-00057,2026-09-02 08:58:14,True,1,1,False,2,26,False,0.85,7.6
EDR-000058,AST-00058,2026-08-26 17:58:14,True,3,1,False,1,16,False,0.8,7.1
EDR-000059,AST-00059,2026-08-18 00:58:14,False,4,10,False,0,46,False,0.56,8.4
EDR-000060,AST-00060,2026-08-30 11:58:14,False,8,9,False,0,3,False,0.65,7.6
EDR-000061,AST-00061,2026-08-06 16:58:14,False,10,19,False,0,13,False,0.24,5.7
EDR-000062,AST-00062,2026-09-04 04:58:14,False,1,9,False,0,48,False,0.67,9.1
EDR-000063,AST-00063,2026-09-02 21:58:14,False,5,8,False,0,3,False,0.24,8.5
EDR-000064,AST-00064,2026-08-15 19:58:14,False,2,0,False,0,44,False,0.59,9.2
EDR-000065,AST-00065,2026-09-03 10:58:14,False,0,8,False,0,38,False,0.1,9.6
EDR-000066,AST-00066,2026-08-26 13:58:14,False,3,9,False,0,38,False,0.66,8.8
EDR-000067,AST-00067,2026-08-28 21:58:14,False,2,1,False,0,23,False,0.49,9.6
EDR-000068,AST-00068,2026-08-26 05:58:14,False,2,0,False,0,9,False,0.19,9.9
EDR-000069,AST-00069,2026-08-16 18:58:14,False,6,14,False,0,3,False,0.62,7.2
EDR-000070,AST-00070,2026-08-19 15:58:14,False,3,0,False,0,6,False,0.21,9.2
EDR-000071,AST-00071,2026-08-27 16:58:14,False,3,8,False,0,23,False,0.75,8.8
EDR-000072,AST-00072,2026-08-19 18:58:14,False,0,5,False,0,12,False,0.77,9.7
EDR-000073,AST-00073,2026-08-20 11:58:14,False,2,15,False,0,44,False,0.47,8.3
EDR-000074,AST-00074,2026-08-19 05:58:14,False,5,5,True,0,34,False,0.31,5.2
EDR-000075,AST-00075,2026-08-05 21:58:14,False,1,4,False,0,30,False,0.53,8.9
EDR-000076,AST-00076,2026-08-19 06:58:14,False,2,10,False,0,30,False,0.25,9.0
EDR-000077,AST-00077,2026-08-30 06:58:14,True,10,16,False,0,31,True,0.82,4.8
EDR-000078,AST-00078,2026-08-20 20:58:14,False,6,0,False,0,5,False,0.63,8.7
EDR-000079,AST-00079,2026-08-31 15:58:14,False,4,17,False,0,22,False,0.53,7.9
EDR-000080,AST-00080,2026-08-27 08:58:14,False,8,2,False,0,17,False,0.48,8.2
EDR-000081,AST-00081,2026-08-10 21:58:14,False,0,20,False,0,33,False,0.1,8.1
EDR-000082,AST-00082,2026-09-03 05:58:14,False,1,4,False,0,29,False,0.45,8.9
EDR-000083,AST-00083,2026-08-15 22:58:14,False,2,6,False,0,9,False,0.79,8.8
EDR-000084,AST-00084,2026-08-22 01:58:14,False,2,11,False,0,7,False,0.46,8.4
EDR-000085,AST-00085,2026-08-31 07:58:14,False,7,17,False,0,45,False,0.38,6.6
EDR-000086,AST-00086,2026-08-19 10:58:14,False,5,13,False,0,48,False,0.26,7.8
EDR-000087,AST-00087,2026-08-22 09:58:14,False,5,5,False,0,21,False,0.2,8.4
EDR-000088,AST-00088,2026-08-24 15:58:14,True,1,9,False,1,9,True,0.61,7.4
EDR-000089,AST-00089,2026-08-11 11:58:14,False,5,18,False,0,18,False,0.68,6.8
EDR-000090,AST-00090,2026-08-06 17:58:14,False,8,7,False,0,31,False,0.41,7.8
EDR-000091,AST-00091,2026-09-03 06:58:14,False,2,7,False,0,35,False,0.37,8.4
EDR-000092,AST-00092,2026-08-23 13:58:14,False,10,9,False,0,35,False,0.48,7.1
EDR-000093,AST-00093,2026-08-28 19:58:14,False,9,3,False,0,42,False,0.42,8.2
EDR-000094,AST-00094,2026-08-15 03:58:14,False,8,17,False,0,22,False,0.23,6.9
EDR-000095,AST-00095,2026-08-31 19:58:14,False,7,8,False,0,26,False,0.56,8.2
EDR-000096,AST-00096,2026-08-29 20:58:14,False,4,8,False,0,39,False,0.57,8.7
EDR-000097,AST-00097,2026-08-29 11:58:14,False,5,4,False,0,12,False,0.56,9.0
EDR-000098,AST-00098,2026-09-03 11:58:14,False,9,8,False,0,38,False,0.41,7.6
EDR-000099,AST-00099,2026-09-01 08:58:14,False,3,20,False,0,28,False,0.27,7.5
EDR-000100,AST-00100,2026-08-25 15:58:14,False,3,5,False,0,49,False,0.56,8.6
EDR-000101,AST-00101,2026-08-21 13:58:14,False,0,19,False,0,31,False,0.28,8.2
EDR-000102,AST-00102,2026-08-21 19:58:14,False,1,1,False,0,35,False,0.27,9.8
EDR-000103,AST-00103,2026-08-06 07:58:14,False,0,11,False,0,33,False,0.27,8.8
EDR-000104,AST-00104,2026-08-30 00:58:14,False,3,16,False,0,15,False,0.46,8.2
EDR-000105,AST-00105,2026-08-21 12:58:14,False,7,2,True,0,32,False,0.31,5.9
EDR-000106,AST-00106,2026-08-30 20:58:14,False,6,14,False,0,37,False,0.74,7.5
EDR-000107,AST-00107,2026-08-24 21:58:14,False,7,9,False,0,2,False,0.35,7.9
EDR-000108,AST-00108,2026-08-27 10:58:14,False,10,7,False,0,9,False,0.6,7.1
EDR-000109,AST-00109,2026-08-20 23:58:14,False,2,18,False,0,35,False,0.46,7.9
EDR-000110,AST-00110,2026-08-14 22:58:14,False,3,14,False,0,44,False,0.64,7.6
EDR-000111,AST-00111,2026-08-22 07:58:14,False,2,9,False,0,10,False,0.68,9.0
EDR-000112,AST-00112,2026-08-24 14:58:14,False,10,14,False,0,42,False,0.19,6.4
EDR-000113,AST-00113,2026-09-02 15:58:14,False,2,12,False,0,26,False,0.67,8.7
EDR-000114,AST-00114,2026-08-14 20:58:14,False,3,7,False,0,28,False,0.7,8.2
EDR-000115,AST-00115,2026-08-19 15:58:14,False,7,16,False,0,24,False,0.11,7.0
EDR-000116,AST-00116,2026-08-26 07:58:14,False,2,20,True,0,9,False,0.48,4.9
EDR-000117,AST-00117,2026-08-18 04:58:14,False,3,1,False,0,30,False,0.53,9.7
EDR-000118,AST-00118,2026-08-25 04:58:14,False,1,13,False,0,20,False,0.4,8.7
EDR-000119,AST-00119,2026-09-02 15:58:14,True,8,2,False,2,29,True,0.99,6.6
EDR-000120,AST-00120,2026-08-28 12:58:14,False,2,5,False,0,32,False,0.39,8.8
EDR-000121,AST-00121,2026-08-09 07:58:14,False,0,19,False,0,41,False,0.22,8.3
EDR-000122,AST-00122,2026-08-16 02:58:14,False,10,5,False,0,12,False,0.49,7.8
EDR-000123,AST-00123,2026-08-31 12:58:14,False,0,0,False,0,35,False,0.45,9.6
EDR-000124,AST-00124,2026-09-02 01:58:14,False,3,4,False,0,31,False,0.52,8.8
EDR-000125,AST-00125,2026-08-23 18:58:14,False,0,7,False,0,41,False,0.52,9.2
EDR-000126,AST-00126,2026-08-13 09:58:14,False,10,2,False,0,9,False,0.29,8.2
EDR-000127,AST-00127,2026-08-27 08:58:14,False,7,16,False,0,9,False,0.28,7.1
EDR-000128,AST-00128,2026-08-21 03:58:14,False,3,14,False,0,34,False,0.61,8.2
EDR-000129,AST-00129,2026-08-18 03:58:14,False,3,6,False,0,10,False,0.77,8.3
EDR-000130,AST-00130,2026-08-17 16:58:14,False,0,13,False,0,16,False,0.66,9.0
EDR-000131,AST-00131,2026-09-02 13:58:14,False,3,18,False,0,32,False,0.58,7.1
EDR-000132,AST-00132,2026-08-28 14:58:14,False,0,4,False,0,13,False,0.62,9.9
EDR-000133,AST-00133,2026-08-16 16:58:14,False,9,16,False,0,19,False,0.49,6.2
EDR-000134,AST-00134,2026-08-22 00:58:14,False,9,15,False,0,39,False,0.49,6.9
EDR-000135,AST-00135,2026-08-13 01:58:14,False,4,18,False,0,3,False,0.52,7.5
EDR-000136,AST-00136,2026-08-17 15:58:14,False,4,11,False,0,29,False,0.3,8.0
EDR-000137,AST-00137,2026-09-04 06:58:14,False,2,15,False,0,21,False,0.2,7.9
EDR-000138,AST-00138,2026-08-06 14:58:14,False,8,12,False,0,12,False,0.54,7.0
EDR-000139,AST-00139,2026-08-12 16:58:14,False,10,11,False,0,11,False,0.39,7.0
EDR-000140,AST-00140,2026-08-12 20:58:14,False,5,4,False,0,35,False,0.28,8.2
EDR-000141,AST-00141,2026-08-20 02:58:14,False,10,2,False,0,32,False,0.17,7.8
EDR-000142,AST-00142,2026-09-04 13:58:14,False,9,14,False,0,14,False,0.1,7.2
EDR-000143,AST-00143,2026-08-14 09:58:14,False,10,18,False,0,4,False,0.7,5.9
EDR-000144,AST-00144,2026-09-01 20:58:14,False,10,5,False,0,0,False,0.3,7.1
EDR-000145,AST-00145,2026-08-07 08:58:14,False,9,3,False,0,29,False,0.45,7.6
EDR-000146,AST-00146,2026-08-20 14:58:14,False,3,4,False,0,1,False,0.71,9.4
EDR-000147,AST-00147,2026-09-02 04:58:14,False,3,7,False,0,30,False,0.39,8.6
EDR-000148,AST-00148,2026-08-19 17:58:14,False,1,12,False,0,43,False,0.42,9.1
EDR-000149,AST-00149,2026-08-12 21:58:14,False,7,14,False,0,47,False,0.16,6.9
EDR-000150,AST-00150,2026-08-12 14:58:14,False,0,5,False,0,0,False,0.15,9.5
EDR-000151,AST-00151,2026-08-15 13:58:14,False,4,10,False,0,2,False,0.1,8.1
EDR-000152,AST-00152,2026-08-25 07:58:14,False,0,6,False,0,31,False,0.39,9.6
EDR-000153,AST-00153,2026-08-22 11:58:14,False,0,5,False,0,33,False,0.1,9.9
EDR-000154,AST-00154,2026-08-15 02:58:14,False,0,12,False,0,5,False,0.29,9.0
EDR-000155,AST-00155,2026-08-29 08:58:14,True,6,13,False,3,36,False,0.75,5.3
EDR-000156,AST-00156,2026-08-22 11:58:14,False,2,14,False,0,42,False,0.71,8.2
EDR-000157,AST-00157,2026-08-16 21:58:14,False,4,12,False,0,8,False,0.38,8.0
EDR-000158,AST-00158,2026-08-14 06:58:14,False,4,6,False,0,21,False,0.28,8.5
EDR-000159,AST-00159,2026-08-15 04:58:14,False,8,3,False,0,45,False,0.34,8.2
EDR-000160,AST-00160,2026-08-21 04:58:14,False,0,18,False,0,36,False,0.21,8.6
EDR-000161,AST-00161,2026-08-27 12:58:14,False,10,9,False,0,35,False,0.72,7.1
EDR-000162,AST-00162,2026-08-21 00:58:14,False,10,6,False,0,16,False,0.41,7.0
EDR-000163,AST-00163,2026-08-31 00:58:14,False,0,4,False,0,35,False,0.39,9.2
EDR-000164,AST-00164,2026-08-29 21:58:14,False,1,15,False,0,13,False,0.21,7.8
EDR-000165,AST-00165,2026-08-18 09:58:14,False,2,2,False,0,14,False,0.12,9.3
EDR-000166,AST-00166,2026-08-18 17:58:14,False,9,13,False,0,7,False,0.54,6.8
EDR-000167,AST-00167,2026-08-11 16:58:14,False,10,18,False,0,35,False,0.66,6.0
EDR-000168,AST-00168,2026-08-28 20:58:14,False,10,5,False,0,5,False,0.33,7.2
EDR-000169,AST-00169,2026-08-13 22:58:14,False,6,19,False,0,22,False,0.46,6.6
EDR-000170,AST-00170,2026-08-18 20:58:14,False,1,0,False,0,31,False,0.64,9.5
EDR-000171,AST-00171,2026-08-20 07:58:14,False,7,15,False,0,12,False,0.24,7.2
EDR-000172,AST-00172,2026-08-21 22:58:14,False,10,16,False,0,26,False,0.1,6.6
EDR-000173,AST-00173,2026-08-11 15:58:14,False,4,5,False,0,19,False,0.46,8.5
EDR-000174,AST-00174,2026-08-31 11:58:14,False,3,14,False,0,13,False,0.57,7.7
EDR-000175,AST-00175,2026-08-09 12:58:14,False,9,6,True,0,37,False,0.17,5.1
EDR-000176,AST-00176,2026-08-22 07:58:14,False,6,17,False,0,4,False,0.21,6.7
EDR-000177,AST-00177,2026-08-23 00:58:14,False,5,6,False,0,49,False,0.3,8.7
EDR-000178,AST-00178,2026-08-24 17:58:14,False,4,17,False,0,8,False,0.3,7.6
EDR-000179,AST-00179,2026-08-26 17:58:14,False,3,6,False,0,4,False,0.44,8.7
EDR-000180,AST-00180,2026-08-22 12:58:14,False,0,0,False,0,35,False,0.39,9.8
EDR-000181,AST-00181,2026-08-06 09:58:14,False,2,19,False,0,46,False,0.69,7.3
EDR-000182,AST-00182,2026-08-07 21:58:14,False,1,18,False,0,8,False,0.5,8.2
EDR-000183,AST-00183,2026-08-06 15:58:14,False,5,17,False,0,46,False,0.24,7.0
EDR-000184,AST-00184,2026-08-08 00:58:14,False,1,18,False,0,27,False,0.5,7.5
EDR-000185,AST-00185,2026-08-06 06:58:14,False,6,20,False,0,3,False,0.8,7.1
EDR-000186,AST-00186,2026-08-11 10:58:14,True,6,7,False,1,21,True,0.74,6.1
EDR-000187,AST-00187,2026-08-11 06:58:14,False,10,6,False,0,4,False,0.38,7.4
EDR-000188,AST-00188,2026-09-03 10:58:14,False,10,5,False,0,32,False,0.58,7.2
EDR-000189,AST-00189,2026-09-01 21:58:14,False,9,10,False,0,22,False,0.53,7.4
EDR-000190,AST-00190,2026-08-28 14:58:14,False,9,3,False,0,12,False,0.67,8.2
EDR-000191,AST-00191,2026-08-15 08:58:14,False,6,4,False,0,26,False,0.75,8.8
EDR-000192,AST-00192,2026-08-29 15:58:14,False,0,19,False,0,5,False,0.71,8.2
EDR-000193,AST-00193,2026-08-05 20:58:14,False,1,4,False,0,50,False,0.63,9.1
EDR-000194,AST-00194,2026-08-24 18:58:14,False,2,5,False,0,18,False,0.35,9.1
EDR-000195,AST-00195,2026-08-15 19:58:14,False,2,11,False,0,33,False,0.26,8.2
EDR-000196,AST-00196,2026-09-04 11:58:14,False,8,3,False,0,8,False,0.15,8.4
EDR-000197,AST-00197,2026-09-01 00:58:14,False,3,15,False,0,13,False,0.21,7.5
EDR-000198,AST-00198,2026-09-02 08:58:14,False,9,2,False,0,50,False,0.55,8.4
EDR-000199,AST-00199,2026-08-15 20:58:14,False,3,15,False,0,21,False,0.33,8.1
EDR-000200,AST-00200,2026-08-13 13:58:14,False,4,17,False,0,46,False,0.22,7.2
EDR-000201,AST-00201,2026-09-04 08:58:14,False,1,8,False,0,15,False,0.56,9.3
EDR-000202,AST-00202,2026-08-31 09:58:14,False,3,13,False,0,14,False,0.44,8.1
EDR-000203,AST-00203,2026-08-12 11:58:14,False,7,4,False,0,13,False,0.8,8.7
EDR-000204,AST-00204,2026-09-04 12:58:14,True,4,2,False,1,9,False,0.85,7.3
EDR-000205,AST-00205,2026-08-29 11:58:14,False,4,18,False,0,16,False,0.17,7.5
EDR-000206,AST-00206,2026-08-30 09:58:14,False,7,10,False,0,7,False,0.15,7.8
EDR-000207,AST-00207,2026-08-19 03:58:14,False,1,5,False,0,8,False,0.13,9.0
EDR-000208,AST-00208,2026-08-20 11:58:14,False,0,20,False,0,42,False,0.29,8.0
EDR-000209,AST-00209,2026-08-20 16:58:14,False,10,19,False,0,42,False,0.29,6.3
EDR-000210,AST-00210,2026-09-02 02:58:14,False,0,6,False,0,29,False,0.42,9.8
EDR-000211,AST-00211,2026-08-25 22:58:14,False,5,9,False,0,10,False,0.46,8.0
EDR-000212,AST-00212,2026-08-11 21:58:14,False,1,3,False,0,9,False,0.29,9.9
EDR-000213,AST-00213,2026-08-24 07:58:14,False,0,10,False,0,23,False,0.12,8.9
EDR-000214,AST-00214,2026-08-07 03:58:14,False,3,14,False,0,49,False,0.46,7.6
EDR-000215,AST-00215,2026-08-06 23:58:14,False,10,5,False,0,35,False,0.7,7.3
EDR-000216,AST-00216,2026-08-21 16:58:14,False,9,4,False,0,1,False,0.39,8.0
EDR-000217,AST-00217,2026-08-12 16:58:14,False,3,5,False,0,39,False,0.61,9.1
EDR-000218,AST-00218,2026-09-01 23:58:14,False,9,3,False,0,44,False,0.62,8.0
EDR-000219,AST-00219,2026-08-10 15:58:14,True,9,11,False,3,41,True,0.85,4.9
EDR-000220,AST-00220,2026-08-22 23:58:14,False,8,3,False,0,10,False,0.32,8.2
EDR-000221,AST-00221,2026-09-01 22:58:14,True,6,12,False,1,23,True,0.89,5.6
EDR-000222,AST-00222,2026-08-25 05:58:14,False,10,9,False,0,42,False,0.1,7.3
EDR-000223,AST-00223,2026-08-11 09:58:14,False,0,19,False,0,12,False,0.54,7.7
EDR-000224,AST-00224,2026-08-26 06:58:14,False,0,0,False,0,49,False,0.29,9.6
EDR-000225,AST-00225,2026-08-30 10:58:14,False,3,17,False,0,27,False,0.25,7.9
EDR-000226,AST-00226,2026-08-07 19:58:14,True,6,10,False,3,40,False,0.64,5.8
EDR-000227,AST-00227,2026-08-30 10:58:14,False,8,7,False,0,2,False,0.26,7.5
EDR-000228,AST-00228,2026-08-07 16:58:14,False,1,8,False,0,29,False,0.47,9.4
EDR-000229,AST-00229,2026-08-17 06:58:14,False,6,12,False,0,31,False,0.66,8.0
EDR-000230,AST-00230,2026-08-14 15:58:14,False,9,8,False,0,33,False,0.7,7.6
EDR-000231,AST-00231,2026-08-24 04:58:14,False,5,19,False,0,2,False,0.39,7.5
EDR-000232,AST-00232,2026-08-16 12:58:14,False,0,3,False,0,11,False,0.39,10
EDR-000233,AST-00233,2026-08-21 09:58:14,False,8,4,False,0,26,False,0.16,8.4
EDR-000234,AST-00234,2026-08-29 10:58:14,False,9,14,False,0,5,False,0.73,6.7
EDR-000235,AST-00235,2026-08-06 02:58:14,False,8,12,False,0,40,False,0.47,7.0
EDR-000236,AST-00236,2026-08-15 00:58:14,False,4,19,False,0,46,False,0.36,6.8
EDR-000237,AST-00237,2026-08-29 23:58:14,False,2,17,False,0,6,False,0.43,8.3
EDR-000238,AST-00238,2026-08-31 06:58:14,False,7,20,False,0,18,False,0.25,6.4
EDR-000239,AST-00239,2026-08-19 05:58:14,False,5,2,False,0,3,False,0.78,9.2
EDR-000240,AST-00240,2026-09-02 15:58:14,False,5,20,False,0,0,False,0.29,6.9
EDR-000241,AST-00241,2026-08-11 09:58:14,False,6,4,False,0,38,False,0.38,8.0
EDR-000242,AST-00242,2026-08-20 08:58:14,False,2,8,False,0,42,False,0.53,9.1
EDR-000243,AST-00243,2026-08-09 10:58:14,False,4,12,False,0,32,False,0.65,8.3
EDR-000244,AST-00244,2026-08-25 18:58:14,False,10,10,False,0,10,False,0.21,7.2
EDR-000245,AST-00245,2026-08-23 09:58:14,False,0,10,False,0,13,False,0.59,8.5
EDR-000246,AST-00246,2026-08-09 01:58:14,False,9,12,False,0,4,False,0.64,7.2
EDR-000247,AST-00247,2026-08-23 16:58:14,False,1,13,False,0,26,False,0.32,8.4
EDR-000248,AST-00248,2026-08-25 03:58:14,False,9,9,False,0,29,False,0.45,6.8
EDR-000249,AST-00249,2026-08-13 06:58:14,False,10,17,False,0,49,False,0.51,6.6
EDR-000250,AST-00250,2026-08-05 17:58:14,False,6,10,False,0,7,False,0.75,8.1
EDR-000251,AST-00251,2026-08-20 10:58:14,False,10,12,False,0,29,False,0.58,7.1
EDR-000252,AST-00252,2026-09-02 01:58:14,False,10,16,False,0,18,False,0.47,6.0
EDR-000253,AST-00253,2026-08-10 19:58:14,False,4,0,False,0,35,False,0.15,9.5
EDR-000254,AST-00254,2026-08-31 15:58:14,False,4,11,False,0,37,False,0.45,8.6
EDR-000255,AST-00255,2026-08-10 12:58:14,False,6,1,False,0,28,False,0.79,8.6
EDR-000256,AST-00256,2026-08-12 17:58:14,False,9,12,False,0,0,False,0.76,7.3
EDR-000257,AST-00257,2026-08-13 05:58:14,False,2,5,False,0,3,False,0.63,8.9
EDR-000258,AST-00258,2026-08-26 03:58:14,False,3,8,False,0,38,False,0.59,8.2
EDR-000259,AST-00259,2026-08-19 12:58:14,False,10,2,False,0,24,False,0.1,7.5
EDR-000260,AST-00260,2026-08-15 05:58:14,False,1,17,False,0,13,False,0.39,7.7
EDR-000261,AST-00261,2026-08-30 08:58:14,False,4,0,False,0,8,False,0.27,9.2
EDR-000262,AST-00262,2026-08-22 06:58:14,False,3,12,False,0,12,False,0.26,8.6
EDR-000263,AST-00263,2026-08-14 19:58:14,False,2,20,False,0,25,False,0.14,7.2
EDR-000264,AST-00264,2026-08-14 19:58:14,False,3,5,False,0,36,False,0.51,8.4
EDR-000265,AST-00265,2026-08-08 03:58:14,False,3,18,False,0,17,False,0.77,7.4
EDR-000266,AST-00266,2026-09-02 12:58:14,False,8,9,False,0,11,False,0.63,7.7
EDR-000267,AST-00267,2026-08-22 20:58:14,False,6,17,False,0,30,False,0.5,7.6
EDR-000268,AST-00268,2026-08-07 10:58:14,False,4,3,False,0,46,False,0.6,9.1
EDR-000269,AST-00269,2026-08-18 14:58:14,False,3,3,False,0,32,False,0.42,9.6
EDR-000270,AST-00270,2026-08-16 11:58:14,False,2,11,False,0,42,False,0.28,8.7
EDR-000271,AST-00271,2026-08-25 16:58:14,False,4,3,False,0,6,False,0.62,8.9
EDR-000272,AST-00272,2026-08-21 03:58:14,False,3,5,False,0,12,False,0.41,8.4
EDR-000273,AST-00273,2026-08-18 08:58:14,False,3,15,False,0,11,False,0.54,7.5
EDR-000274,AST-00274,2026-08-31 15:58:14,False,7,16,False,0,10,False,0.15,7.3
EDR-000275,AST-00275,2026-08-23 10:58:14,False,1,20,False,0,44,False,0.73,7.8
EDR-000276,AST-00276,2026-08-07 11:58:14,False,3,13,False,0,1,False,0.48,8.6
EDR-000277,AST-00277,2026-09-01 21:58:14,False,3,6,True,0,46,False,0.38,6.2
EDR-000278,AST-00278,2026-09-04 12:58:14,True,2,0,False,0,16,True,0.7,7.5
EDR-000279,AST-00279,2026-08-06 17:58:14,False,1,4,False,0,35,False,0.6,9.0
EDR-000280,AST-00280,2026-08-29 09:58:14,False,7,13,False,0,48,False,0.61,7.5
EDR-000281,AST-00281,2026-08-10 14:58:14,False,9,12,False,0,25,False,0.68,7.0
EDR-000282,AST-00282,2026-08-23 10:58:14,False,5,11,False,0,15,False,0.13,7.8
EDR-000283,AST-00283,2026-08-14 19:58:14,False,8,14,False,0,13,False,0.63,6.8
EDR-000284,AST-00284,2026-08-26 23:58:14,False,0,1,False,0,31,False,0.27,10
EDR-000285,AST-00285,2026-08-16 08:58:14,False,0,10,False,0,11,False,0.56,9.1
EDR-000286,AST-00286,2026-08-20 06:58:14,False,8,6,False,0,8,False,0.28,7.8
EDR-000287,AST-00287,2026-08-25 10:58:14,False,10,14,False,0,20,False,0.2,6.7
