cloud_event_id,asset_id,cloud_provider,service_type,public_exposure,misconfiguration_type,encryption_enabled,logging_enabled,iam_risk,open_port_count,exposed_storage,compliance_violation,cloud_risk_score
CLOUD-000069,AST-00096,AWS,Identity,False,None,True,True,Medium,1,False,False,1.6
CLOUD-000070,AST-00098,GCP,DevOps,False,None,True,True,High,1,False,False,2.1
CLOUD-000071,AST-00099,GCP,Serverless,False,None,True,False,Medium,2,False,True,2.6
CLOUD-000072,AST-00103,Azure,Identity,False,None,True,False,Medium,1,False,True,2.0
CLOUD-000073,AST-00104,GCP,Networking,False,None,True,True,Medium,0,False,False,0.9
CLOUD-000074,AST-00105,Azure,Container,False,Public S3 Bucket,True,True,Medium,0,False,True,3.0
CLOUD-000075,AST-00106,GCP,Container,False,None,True,False,High,2,False,True,3.6
CLOUD-000076,AST-00109,GCP,Networking,False,No Network ACL,False,True,High,0,False,True,5.0
CLOUD-000077,AST-00111,GCP,Analytics,True,None,False,False,Medium,8,False,True,7.9
CLOUD-000078,AST-00112,GCP,Serverless,False,None,False,True,Low,2,False,True,1.9
CLOUD-000079,AST-00113,AWS,Compute,False,None,False,True,Medium,0,False,True,2.2
CLOUD-000080,AST-00114,AWS,Storage,False,None,True,True,High,0,False,False,2.5
CLOUD-000081,AST-00115,GCP,Serverless,False,None,True,True,Low,1,False,False,0
CLOUD-000082,AST-00117,AWS,Compute,False,None,True,False,Medium,1,False,True,1.8
CLOUD-000083,AST-00118,AWS,Serverless,False,Exposed API Key,True,True,Low,1,False,True,2.1
CLOUD-000084,AST-00119,GCP,Analytics,False,Public S3 Bucket,True,True,Medium,3,False,True,3.8
CLOUD-000085,AST-00121,AWS,Networking,False,None,True,False,Low,0,False,True,1.0
CLOUD-000086,AST-00122,GCP,Analytics,False,None,False,True,Medium,3,False,True,2.8
CLOUD-000087,AST-00123,AWS,Compute,False,None,True,True,Medium,0,False,False,1.1
CLOUD-000088,AST-00128,AWS,Database,False,None,True,True,High,3,False,False,3.0
CLOUD-000089,AST-00129,Azure,Networking,False,None,True,True,Low,0,False,False,0.1
CLOUD-000090,AST-00130,GCP,Container,False,None,True,True,High,2,False,False,2.3
CLOUD-000091,AST-00131,AWS,Database,False,None,True,True,Medium,3,False,False,1.5
CLOUD-000092,AST-00132,AWS,ML,False,None,True,True,Low,1,False,False,0
CLOUD-000093,AST-00134,AWS,Container,False,None,True,True,High,1,False,False,2.5
CLOUD-000094,AST-00135,GCP,Serverless,False,None,False,True,Low,2,False,True,1.9
CLOUD-000095,AST-00136,AWS,Networking,True,Missing WAF,True,True,Low,2,False,True,5.5
CLOUD-000096,AST-00137,AWS,Compute,False,None,False,True,High,2,False,True,4.3
CLOUD-000097,AST-00139,GCP,Storage,False,No Network ACL,True,True,Medium,0,False,True,2.7
CLOUD-000098,AST-00140,GCP,Identity,False,None,True,False,High,1,False,True,3.4
CLOUD-000099,AST-00141,GCP,Networking,True,None,True,True,Medium,4,True,False,6.5
CLOUD-000100,AST-00143,GCP,DevOps,True,None,True,True,Low,9,False,False,4.9
CLOUD-000101,AST-00144,GCP,Compute,False,None,True,True,Low,1,False,False,0.3
CLOUD-000102,AST-00146,Azure,DevOps,False,Unencrypted Volume,True,True,Low,1,False,True,2.3
CLOUD-000103,AST-00147,GCP,Compute,False,None,True,True,High,0,False,False,2.2
CLOUD-000104,AST-00148,AWS,Analytics,False,None,True,True,High,0,False,False,1.5
CLOUD-000105,AST-00149,Azure,Analytics,False,None,True,False,Medium,1,False,True,2.5
CLOUD-000106,AST-00151,AWS,DevOps,False,Cross-Account Access,True,False,Medium,3,False,True,4.4
CLOUD-000107,AST-00153,AWS,Identity,True,Exposed API Key,True,False,Medium,9,False,True,9.0
CLOUD-000108,AST-00154,GCP,Storage,False,None,True,True,Low,3,True,False,2.5
CLOUD-000109,AST-00155,Azure,Analytics,False,No Versioning on Bucket,True,True,Low,3,False,True,3.0
CLOUD-000110,AST-00156,GCP,Storage,False,None,True,True,Low,1,False,False,0
CLOUD-000111,AST-00157,AWS,Database,False,No Versioning on Bucket,True,False,Low,0,False,True,2.6
CLOUD-000112,AST-00158,Azure,Database,False,None,True,True,Medium,1,True,False,3.0
CLOUD-000113,AST-00159,Azure,Identity,False,Exposed API Key,False,True,Low,0,False,True,3.7
CLOUD-000114,AST-00160,GCP,Database,True,None,True,True,High,9,False,False,6.8
CLOUD-000115,AST-00161,AWS,Container,False,Exposed API Key,True,True,Low,2,True,True,4.3
CLOUD-000116,AST-00162,GCP,Container,False,None,True,True,High,2,True,False,3.6
CLOUD-000117,AST-00164,GCP,Compute,False,None,True,True,Medium,0,True,False,2.9
CLOUD-000118,AST-00166,AWS,Networking,False,None,True,True,Low,1,True,False,2.0
CLOUD-000119,AST-00169,AWS,Storage,False,None,True,True,Low,0,False,False,0.1
CLOUD-000120,AST-00170,Azure,ML,False,None,True,True,Medium,0,False,False,1.1
CLOUD-000121,AST-00172,AWS,Serverless,True,Logging Disabled,True,True,High,2,False,True,7.4
CLOUD-000122,AST-00173,GCP,Serverless,False,None,True,False,Medium,0,False,True,2.0
CLOUD-000123,AST-00177,AWS,Analytics,True,Unrotated Access Keys,True,True,Medium,10,False,True,8.1
CLOUD-000124,AST-00179,AWS,Database,False,None,True,True,Medium,3,False,False,2.1
CLOUD-000125,AST-00180,AWS,Storage,False,None,True,True,High,2,False,False,2.6
CLOUD-000126,AST-00181,Azure,Storage,False,None,True,False,High,2,False,True,3.1
CLOUD-000127,AST-00182,GCP,Identity,False,Exposed API Key,True,True,High,0,False,True,3.8
CLOUD-000128,AST-00184,GCP,Storage,False,None,True,True,Medium,3,False,False,1.9
CLOUD-000129,AST-00185,Azure,Analytics,True,Exposed API Key,True,True,Low,1,True,True,7.0
CLOUD-000130,AST-00186,Azure,ML,True,None,True,False,Low,9,False,True,6.1
CLOUD-000131,AST-00187,Azure,Compute,False,None,True,True,Medium,2,False,False,1.6
CLOUD-000132,AST-00189,Azure,Database,False,Logging Disabled,True,True,High,0,True,True,5.8
CLOUD-000133,AST-00190,AWS,Serverless,True,No MFA on Root Account,True,True,Low,8,False,True,6.1
CLOUD-000134,AST-00193,GCP,Container,False,None,True,True,Medium,3,False,False,1.5
CLOUD-000135,AST-00197,Azure,Analytics,False,None,True,True,Medium,0,False,False,1.3
CLOUD-000136,AST-00198,Azure,Container,False,Unencrypted Volume,False,True,High,2,False,True,6.3
CLOUD-000137,AST-00199,AWS,Container,True,None,True,True,Low,8,False,False,4.9
CLOUD-000138,AST-00200,Azure,Container,False,None,True,False,High,3,True,True,4.8
CLOUD-000139,AST-00201,AWS,Database,False,None,True,True,High,3,True,False,3.8
CLOUD-000140,AST-00202,GCP,Compute,True,None,True,True,Low,8,False,False,4.3
CLOUD-000141,AST-00205,GCP,DevOps,True,Missing WAF,True,True,High,6,False,True,7.7
CLOUD-000142,AST-00206,GCP,Serverless,False,None,True,True,Low,1,False,False,0
CLOUD-000143,AST-00207,Azure,Analytics,False,None,True,True,High,3,False,False,2.8
CLOUD-000144,AST-00209,GCP,Identity,False,None,True,True,Low,1,False,False,0.3
CLOUD-000145,AST-00210,AWS,Storage,False,None,True,True,Low,0,False,False,0
CLOUD-000146,AST-00212,Azure,Serverless,False,None,True,True,Low,2,False,False,0.1
CLOUD-000147,AST-00215,AWS,Identity,False,Overly Permissive IAM Policy,True,True,Low,1,False,True,2.2
CLOUD-000148,AST-00216,Azure,Storage,False,None,True,True,Medium,3,False,False,1.9
CLOUD-000149,AST-00218,Azure,Networking,False,None,True,True,Low,0,False,False,0.1
CLOUD-000150,AST-00219,AWS,DevOps,False,None,True,False,High,1,False,True,2.9
CLOUD-000151,AST-00222,AWS,Networking,False,None,True,False,Low,3,False,True,1.9
CLOUD-000152,AST-00224,Azure,Identity,False,None,True,False,Medium,1,False,True,2.7
CLOUD-000153,AST-00225,GCP,Storage,False,None,True,False,High,3,False,True,3.7
CLOUD-000154,AST-00227,AWS,Identity,True,None,True,True,Low,2,False,False,3.2
CLOUD-000155,AST-00230,Azure,DevOps,False,None,True,True,Medium,3,True,False,3.5
CLOUD-000156,AST-00231,AWS,Networking,False,Unrotated Access Keys,True,True,Medium,3,False,True,3.8
CLOUD-000157,AST-00232,AWS,Compute,True,Missing WAF,True,True,Medium,9,False,True,7.8
CLOUD-000158,AST-00233,GCP,Analytics,False,Missing WAF,True,True,Low,3,True,True,4.3
CLOUD-000159,AST-00234,AWS,Database,False,None,True,False,Low,3,True,True,2.8
CLOUD-000160,AST-00235,GCP,Serverless,False,Unencrypted Volume,True,True,High,1,False,True,3.8
CLOUD-000161,AST-00238,GCP,DevOps,False,None,False,True,Low,0,False,True,1.3
CLOUD-000162,AST-00241,GCP,Compute,False,None,True,False,Medium,2,False,True,2.6
CLOUD-000163,AST-00242,GCP,Analytics,False,None,True,False,Low,0,False,True,1.1
CLOUD-000164,AST-00243,AWS,Container,True,Unrotated Access Keys,True,True,Medium,4,False,True,7.1
CLOUD-000165,AST-00245,AWS,Database,False,No Versioning on Bucket,True,True,Medium,2,False,True,3.7
CLOUD-000166,AST-00248,GCP,Serverless,False,None,True,True,Low,3,False,False,0.2
CLOUD-000167,AST-00249,GCP,Analytics,False,Unrotated Access Keys,False,True,High,2,False,True,6.3
CLOUD-000168,AST-00250,AWS,Storage,False,None,True,True,Low,3,False,False,0.7
CLOUD-000169,AST-00251,GCP,ML,False,Unrotated Access Keys,False,True,Low,0,False,True,3.5
CLOUD-000170,AST-00252,GCP,Serverless,False,Logging Disabled,False,True,Low,1,True,True,5.6
CLOUD-000171,AST-00253,Azure,Identity,False,None,True,False,Low,0,False,True,0.9
CLOUD-000172,AST-00255,GCP,Identity,False,No MFA on Root Account,True,True,High,0,False,True,3.6
CLOUD-000173,AST-00258,Azure,Identity,False,None,False,True,Medium,3,False,True,2.8
CLOUD-000174,AST-00259,Azure,Database,False,Overly Permissive IAM Policy,False,True,Medium,0,False,True,4.8
CLOUD-000175,AST-00261,GCP,Storage,True,None,True,True,High,10,False,False,7.0
CLOUD-000176,AST-00262,Azure,Identity,False,Public S3 Bucket,True,True,Medium,0,False,True,2.7
CLOUD-000177,AST-00264,AWS,Networking,False,None,True,False,High,3,False,True,3.3
CLOUD-000178,AST-00266,AWS,Compute,False,None,False,True,High,1,True,True,5.1
CLOUD-000179,AST-00269,GCP,Database,False,None,True,True,Medium,1,False,False,1.7
CLOUD-000180,AST-00271,Azure,Database,True,None,True,True,High,4,False,False,5.3
CLOUD-000181,AST-00272,GCP,DevOps,False,None,False,True,Low,0,False,True,1.7
CLOUD-000182,AST-00274,Azure,Identity,True,None,True,True,Medium,3,False,False,4.5
CLOUD-000183,AST-00275,GCP,ML,False,Cross-Account Access,True,True,Medium,2,True,True,4.8
CLOUD-000184,AST-00276,Azure,Analytics,False,Logging Disabled,True,True,High,2,False,True,4.7
CLOUD-000185,AST-00277,Azure,Storage,False,None,False,True,Low,2,False,True,2.1
CLOUD-000186,AST-00280,Azure,Container,False,None,False,True,Low,2,False,True,2.1
CLOUD-000187,AST-00282,GCP,DevOps,True,None,True,False,Low,0,False,True,3.6
CLOUD-000188,AST-00283,AWS,DevOps,False,None,True,True,Medium,0,False,False,0.9
CLOUD-000189,AST-00285,AWS,DevOps,True,None,True,True,High,2,False,False,5.4
CLOUD-000190,AST-00286,Azure,Networking,False,None,True,True,Medium,1,False,False,0.9
CLOUD-000191,AST-00290,AWS,Networking,False,None,True,False,High,0,False,True,2.6
CLOUD-000192,AST-00292,AWS,Storage,False,Public RDS Instance,True,True,High,1,False,True,4.5
CLOUD-000193,AST-00293,GCP,Serverless,True,Cross-Account Access,True,False,Low,5,False,True,7.1
CLOUD-000194,AST-00294,AWS,Container,False,None,False,True,Medium,1,False,True,2.2
CLOUD-000195,AST-00297,Azure,Compute,False,None,True,True,Medium,1,False,False,1.5
CLOUD-000196,AST-00298,Azure,Analytics,False,Default VPC,True,True,Low,2,False,True,2.3
CLOUD-000197,AST-00299,AWS,Serverless,False,None,True,False,High,2,False,True,3.9
CLOUD-000198,AST-00302,Azure,ML,False,None,True,True,Medium,0,False,False,0.7
CLOUD-000199,AST-00310,Azure,DevOps,False,Cross-Account Access,True,True,High,3,False,True,4.6
CLOUD-000200,AST-00311,AWS,Analytics,False,Unencrypted Volume,True,True,Medium,0,False,True,3.4
CLOUD-000201,AST-00312,AWS,ML,False,None,False,True,Medium,3,False,True,3.3
CLOUD-000202,AST-00315,AWS,Database,False,None,True,True,Low,1,False,False,0.6
CLOUD-000203,AST-00316,Azure,Compute,False,None,True,True,Medium,3,True,False,2.9
CLOUD-000204,AST-00317,Azure,DevOps,True,None,True,True,Medium,5,False,False,4.8
CLOUD-000205,AST-00318,AWS,Container,False,No MFA on Root Account,True,True,Low,0,False,True,1.5
CLOUD-000206,AST-00319,Azure,Database,False,Public RDS Instance,True,False,Low,0,False,True,2.6
CLOUD-000207,AST-00320,GCP,Storage,False,None,True,True,High,3,False,False,3.0
CLOUD-000208,AST-00322,GCP,Networking,False,None,True,True,Low,0,False,False,0
CLOUD-000209,AST-00324,AWS,Storage,False,None,False,True,Low,1,False,True,1.7
CLOUD-000210,AST-00325,Azure,Identity,False,None,True,True,Medium,0,False,False,0.9
CLOUD-000211,AST-00327,Azure,Database,False,Unrotated Access Keys,True,True,High,0,False,True,4.1
CLOUD-000212,AST-00329,GCP,Container,False,None,True,True,Low,2,False,False,0.4
CLOUD-000213,AST-00330,GCP,Container,False,Missing WAF,True,True,High,3,False,True,4.9
CLOUD-000214,AST-00331,GCP,Serverless,False,Open Security Group,True,True,Medium,0,False,True,2.9
CLOUD-000215,AST-00336,GCP,Container,False,Cross-Account Access,True,True,Low,0,True,True,3.7
CLOUD-000216,AST-00337,Azure,Storage,False,None,True,True,High,2,False,False,2.1
CLOUD-000217,AST-00339,GCP,Identity,False,None,True,True,Low,3,False,False,0.4
CLOUD-000218,AST-00342,AWS,Analytics,True,None,True,True,High,6,False,False,5.9
CLOUD-000219,AST-00344,AWS,DevOps,False,None,True,True,Low,1,False,False,0.3
CLOUD-000220,AST-00345,AWS,Container,False,None,True,False,High,1,False,True,3.3
CLOUD-000221,AST-00347,GCP,DevOps,False,Logging Disabled,True,True,High,2,False,True,4.8
CLOUD-000222,AST-00348,GCP,Analytics,False,None,False,False,High,1,False,True,4.2
CLOUD-000223,AST-00349,AWS,Storage,False,None,False,True,Low,0,False,True,1.1
CLOUD-000224,AST-00351,GCP,DevOps,False,None,False,True,Low,0,False,True,1.1
CLOUD-000225,AST-00352,Azure,Identity,False,None,True,True,Low,2,False,False,0.1
CLOUD-000226,AST-00353,AWS,ML,False,None,True,False,High,3,False,True,3.5
CLOUD-000227,AST-00356,Azure,Storage,False,None,True,False,Low,1,False,True,1.0
CLOUD-000228,AST-00357,Azure,Storage,False,None,True,True,High,3,False,False,2.8
CLOUD-000229,AST-00358,Azure,DevOps,False,None,True,True,Medium,2,True,False,3.2
CLOUD-000230,AST-00359,Azure,Networking,False,Logging Disabled,True,False,Medium,2,False,True,4.6
CLOUD-000231,AST-00360,Azure,ML,False,None,True,True,Medium,0,False,False,1.0
CLOUD-000232,AST-00362,GCP,Identity,False,Unrotated Access Keys,True,True,Medium,3,False,True,3.6
CLOUD-000233,AST-00363,Azure,Identity,False,None,True,True,Low,2,False,False,0.5
CLOUD-000234,AST-00364,Azure,Container,False,None,False,True,High,3,False,True,4.5
CLOUD-000235,AST-00366,AWS,Database,True,Cross-Account Access,True,True,Low,4,False,True,6.2
CLOUD-000236,AST-00368,Azure,ML,False,None,True,True,Medium,2,False,False,1.1
CLOUD-000237,AST-00369,Azure,Analytics,True,No Versioning on Bucket,True,False,High,8,False,True,9.5
CLOUD-000238,AST-00372,Azure,Database,False,Public S3 Bucket,False,False,High,3,False,True,7.1
CLOUD-000239,AST-00373,GCP,Compute,True,None,True,True,Low,3,False,False,3.9
CLOUD-000240,AST-00374,Azure,Compute,False,Exposed API Key,True,True,Medium,0,False,True,2.7
CLOUD-000241,AST-00375,Azure,Database,False,None,True,True,Low,1,False,False,0.2
CLOUD-000242,AST-00376,AWS,Container,False,None,True,True,Low,3,False,False,0.3
CLOUD-000243,AST-00379,Azure,ML,False,Missing WAF,True,True,Low,3,False,True,2.3
CLOUD-000244,AST-00380,Azure,Networking,False,None,True,False,Low,3,False,True,1.7
CLOUD-000245,AST-00381,Azure,Networking,True,None,True,True,Low,2,False,False,3.1
CLOUD-000246,AST-00382,Azure,Compute,False,None,True,True,Medium,2,False,False,1.5
CLOUD-000247,AST-00385,GCP,Storage,False,None,True,True,High,0,False,False,1.7
CLOUD-000248,AST-00388,AWS,Analytics,False,None,False,False,Low,2,False,True,2.9
CLOUD-000249,AST-00389,AWS,Compute,False,None,False,True,Medium,1,False,True,2.5
CLOUD-000250,AST-00390,GCP,Compute,False,Public RDS Instance,True,True,High,0,False,True,4.4
CLOUD-000251,AST-00391,Azure,Database,False,None,True,False,Medium,3,False,True,2.9
CLOUD-000252,AST-00392,Azure,Container,False,None,True,True,High,0,False,False,2.1
CLOUD-000253,AST-00393,AWS,Storage,False,Missing WAF,True,True,Medium,2,False,True,3.0
CLOUD-000254,AST-00397,GCP,Container,False,Open Security Group,False,True,Low,2,False,True,3.9
CLOUD-000255,AST-00398,GCP,Serverless,False,Logging Disabled,True,True,High,0,False,True,3.8
CLOUD-000256,AST-00399,Azure,DevOps,False,None,False,True,Low,1,False,True,1.6
CLOUD-000257,AST-00400,Azure,DevOps,False,None,True,True,High,3,False,False,2.5
CLOUD-000258,AST-00404,GCP,Storage,False,Open Security Group,True,True,Low,3,False,True,2.6
CLOUD-000259,AST-00407,GCP,Serverless,False,None,True,True,Medium,1,False,False,0.9
CLOUD-000260,AST-00410,GCP,Compute,False,None,True,True,Medium,2,False,False,1.7
CLOUD-000261,AST-00411,GCP,Networking,False,Unrotated Access Keys,False,True,High,2,False,True,6.0
CLOUD-000262,AST-00412,AWS,Networking,False,None,True,True,High,0,False,False,1.8
CLOUD-000263,AST-00413,GCP,ML,False,Public S3 Bucket,True,True,High,1,False,True,3.8
CLOUD-000264,AST-00414,GCP,Networking,False,None,False,True,Low,2,False,True,1.7
CLOUD-000265,AST-00415,AWS,ML,False,None,True,True,Low,2,False,False,0.4
CLOUD-000266,AST-00416,AWS,Storage,False,None,True,True,Low,2,False,False,0.6
CLOUD-000267,AST-00417,Azure,Serverless,False,None,True,True,High,1,False,False,2.1
CLOUD-000268,AST-00418,GCP,ML,False,None,False,True,Low,2,False,True,1.4
CLOUD-000269,AST-00419,GCP,Serverless,True,None,True,False,Low,9,False,True,5.4
CLOUD-000270,AST-00420,AWS,Networking,False,None,True,True,High,0,False,False,2.1
CLOUD-000271,AST-00422,GCP,Analytics,True,Logging Disabled,True,True,Medium,5,False,True,7.5
CLOUD-000272,AST-00423,AWS,Serverless,False,Logging Disabled,True,True,Low,1,False,True,1.8
CLOUD-000273,AST-00424,GCP,Compute,False,Overly Permissive IAM Policy,False,False,Medium,0,False,True,5.6
CLOUD-000274,AST-00425,GCP,Storage,False,None,True,True,Low,0,False,False,0.2
CLOUD-000275,AST-00426,Azure,DevOps,False,None,True,False,Medium,1,False,True,2.4
CLOUD-000276,AST-00427,AWS,Analytics,False,None,True,True,High,1,False,False,2.1
CLOUD-000277,AST-00429,GCP,Analytics,False,Unrotated Access Keys,True,True,High,1,False,True,3.7
CLOUD-000278,AST-00433,GCP,Compute,False,None,True,True,High,2,True,False,3.7
CLOUD-000279,AST-00434,GCP,Identity,False,None,False,False,Low,0,False,True,2.4
CLOUD-000280,AST-00435,AWS,Container,False,None,True,True,Low,0,False,False,0.1
CLOUD-000281,AST-00436,GCP,Compute,False,None,True,True,Medium,3,False,False,1.3
CLOUD-000282,AST-00440,GCP,Identity,False,Public RDS Instance,True,False,Low,1,False,True,3.2
CLOUD-000283,AST-00441,AWS,DevOps,False,None,True,True,High,2,False,False,2.8
CLOUD-000284,AST-00442,AWS,DevOps,False,None,True,True,Low,1,False,False,0.4
CLOUD-000285,AST-00443,Azure,Identity,False,No MFA on Root Account,True,True,Medium,0,False,True,3.5
CLOUD-000286,AST-00444,GCP,Database,False,None,True,True,Low,0,False,False,0.3
CLOUD-000287,AST-00445,Azure,Container,False,None,True,True,Medium,3,False,False,1.3
CLOUD-000288,AST-00447,GCP,ML,False,None,False,False,Low,2,True,True,4.7
CLOUD-000289,AST-00449,GCP,Networking,False,None,True,True,Low,0,False,False,0.4
CLOUD-000290,AST-00450,GCP,Container,False,None,True,True,Low,3,False,False,0.9
CLOUD-000291,AST-00451,Azure,Storage,False,Unencrypted Volume,True,True,Medium,2,False,True,3.8
CLOUD-000292,AST-00456,Azure,Serverless,False,None,True,True,High,2,False,False,2.7
CLOUD-000293,AST-00457,Azure,ML,False,None,True,True,High,2,True,False,3.9
CLOUD-000294,AST-00460,GCP,Storage,False,Public S3 Bucket,True,False,High,0,True,True,6.4
CLOUD-000295,AST-00462,GCP,Database,True,None,True,True,High,6,False,False,5.8
CLOUD-000296,AST-00463,Azure,Analytics,False,No Versioning on Bucket,True,False,Low,1,True,True,4.8
CLOUD-000297,AST-00464,AWS,Compute,False,None,False,False,Medium,1,False,True,3.5
CLOUD-000298,AST-00466,Azure,Compute,False,None,True,True,High,0,False,False,1.5
CLOUD-000299,AST-00467,GCP,Identity,False,Exposed API Key,False,True,Low,0,False,True,3.1
CLOUD-000300,AST-00468,Azure,DevOps,False,Cross-Account Access,False,True,Medium,3,False,True,5.3
