impact_id,asset_id,business_unit_id,revenue_per_hour,downtime_cost_per_hour,customer_impact_cost,data_record_cost,regulatory_penalty_estimate,legal_cost_estimate,recovery_cost_estimate,reputation_impact_cost,productivity_loss_per_hour,maximum_tolerable_loss,estimated_total_impact
IMP-000082,AST-00082,BU-0081,1089822,2023113,561627,13113,22251906,15160898,17512912,57575211,386640,51275155,161617266
IMP-000083,AST-00083,BU-0101,53,66,5,5600,10839,5320,1157,19603,42,270039,38508
IMP-000084,AST-00084,BU-0128,69784,123561,23823,4775,628698,387325,1270792,4396280,45680,6769898,9672382
IMP-000085,AST-00085,BU-0133,132219,176823,77743,11534,2245765,1011397,1430391,27394741,98542,31844975,36403789
IMP-000086,AST-00086,BU-0037,16599,29086,3060,12071,440228,182990,262817,2163663,9934,5630901,3750822
IMP-000087,AST-00087,BU-0136,583904,857658,290521,22223,1046951,325309,15725872,85729293,246587,92575231,123701738
IMP-000088,AST-00088,BU-0150,4175,8314,2439,20037,45053,17681,144570,184947,2303,153734,594226
IMP-000089,AST-00089,BU-0067,100617,134769,28590,16513,762279,301680,794414,2313549,69309,10945246,7434968
IMP-000090,AST-00090,BU-0146,1438196,1768828,559174,8269,25247377,19517778,35359612,108211748,546196,79921337,231347561
IMP-000091,AST-00091,BU-0054,112958,171399,23996,18473,917925,527119,2359914,7156176,48619,5497570,15098706
IMP-000092,AST-00092,BU-0139,111473,170601,3795,8342,7858287,4420821,1122624,4892453,44110,60199785,22392404
IMP-000093,AST-00093,BU-0084,102,150,49,12215,1253,389,1475,101152,59,525301,107918
IMP-000094,AST-00094,BU-0116,454790,883469,20156,19053,586073,235648,5766952,37137749,276878,36655467,64949834
IMP-000095,AST-00095,BU-0069,105467,199102,22872,20224,1574425,1167195,1056351,9666144,64736,7040661,18265435
IMP-000096,AST-00096,BU-0128,50551,73196,6048,22822,326964,231615,1457325,4114670,35812,2450775,7893326
IMP-000097,AST-00097,BU-0097,3502,6503,1642,10504,39591,28389,34337,182875,1284,378796,442906
IMP-000098,AST-00098,BU-0091,431564,554371,17505,16551,4443401,3304753,3746673,40767160,316335,119599162,65584396
IMP-000099,AST-00099,BU-0125,1532,1881,124,12986,1246841,643757,25077,401166,971,5670293,2362109
IMP-000100,AST-00100,BU-0129,99164,146262,22354,12639,4432653,2360022,1396718,19199092,59944,10285855,30921127
IMP-000101,AST-00101,BU-0089,647347,1051479,435606,18797,6288250,3100962,19804765,65300202,326081,73478017,120165281
IMP-000102,AST-00102,BU-0066,4229,7993,529,14326,739119,528035,46776,694601,2167,16813391,2200892
IMP-000103,AST-00103,BU-0014,37101,67322,17354,14676,51252,29202,473885,2179162,18701,9503652,4366583
IMP-000104,AST-00104,BU-0029,9130,18008,769,6196,120336,95628,129791,1214009,6059,6415023,1992725
IMP-000105,AST-00105,BU-0125,30637,56587,13688,11348,55908,44131,1016905,3732082,10706,3513311,6220802
IMP-000106,AST-00106,BU-0042,27316,44248,1940,20239,10499248,8332681,278327,13771476,14019,142483360,33945624
IMP-000107,AST-00107,BU-0085,5060,8912,251,14590,100508,37509,155491,356928,3579,514849,864575
IMP-000108,AST-00108,BU-0115,189777,321921,1684,20880,2520728,1889021,3106546,10501995,145225,35500734,25746078
IMP-000109,AST-00109,BU-0080,631781,1167570,76001,12143,5119260,3786616,18212522,22974069,504657,148750324,78190148
IMP-000110,AST-00110,BU-0005,354822,631911,404381,10860,14325408,11270247,3721471,11793314,166695,96125016,56680685
IMP-000111,AST-00111,BU-0120,197535,370247,85847,7617,8303792,5471309,6818506,21158817,140060,23089710,50724199
IMP-000112,AST-00112,BU-0054,102127,150105,582,11120,1672128,1204305,2825395,2534200,50943,10803991,11839130
IMP-000113,AST-00113,BU-0084,268,463,36,4703,14481,7079,4068,24997,138,641155,61773
IMP-000114,AST-00114,BU-0150,21,28,2,23687,20851,15436,388,12658,15,363841,50007
IMP-000115,AST-00115,BU-0099,1567,2730,450,4430,18599,5630,24874,311786,1107,114475,426859
IMP-000116,AST-00116,BU-0042,973132,1518028,24166,10894,22040290,14009894,9863161,23273882,365744,41054380,105644065
IMP-000117,AST-00117,BU-0007,32100,44115,17080,12296,355680,242295,283334,2776488,20160,3745129,4733637
IMP-000118,AST-00118,BU-0138,743151,1438995,321119,22245,7474698,2416926,25847738,73473462,376546,54860114,144069823
IMP-000119,AST-00119,BU-0073,193716,334657,39013,24980,1150389,691313,2491173,9732892,120015,8281430,22136548
IMP-000120,AST-00120,BU-0039,399496,684107,75534,15984,19533143,13066789,13679472,68923302,126425,149425325,131696808
IMP-000121,AST-00121,BU-0039,751189,1139452,669023,18116,14686434,10973513,8776208,43118302,302703,58795444,105570328
IMP-000122,AST-00122,BU-0060,28590,47620,5388,5702,649942,519414,285408,5403523,9039,6611630,8006555
IMP-000123,AST-00123,BU-0126,6978,9446,1631,7985,135631,97125,142310,743236,4203,3631501,1346637
IMP-000124,AST-00124,BU-0020,12042,19638,3529,7641,560357,309140,220490,2370248,5139,3142689,3935076
IMP-000125,AST-00125,BU-0038,809236,1181982,292296,6284,8370567,3494690,15464017,87385832,488689,85573849,143374970
IMP-000126,AST-00126,BU-0107,48362,66171,25401,11311,20810586,8653367,501501,10027497,19493,104298777,41606456
IMP-000127,AST-00127,BU-0040,33804,66512,2072,22918,7477904,4849347,636906,1010295,21241,30518811,15572812
IMP-000128,AST-00128,BU-0033,78251,134600,28601,23824,532175,334558,1403150,7686057,31819,15484757,13214941
IMP-000129,AST-00129,BU-0124,2090,3221,445,7892,111766,59058,28926,270066,782,1787775,547565
IMP-000130,AST-00130,BU-0074,96858,167991,14160,21087,3504414,1828268,2801760,2004497,75564,18752789,14184883
IMP-000131,AST-00131,BU-0142,505423,915568,285729,21310,913389,540989,11704778,83527232,157626,97867724,118945749
IMP-000132,AST-00132,BU-0024,125174,150434,0,13084,1946606,932345,1211745,6371594,95143,5248111,14072706
IMP-000133,AST-00133,BU-0035,94849,136219,41103,4041,2200290,1147851,1086546,5324843,43376,4038135,13069889
IMP-000134,AST-00134,BU-0031,70302,111179,34075,6532,322521,117264,1707273,3029325,24159,8440321,7878754
IMP-000135,AST-00135,BU-0140,965646,1681122,928892,8810,10625391,5658925,27392944,126068493,308509,81840385,211021573
IMP-000136,AST-00136,BU-0082,2448151,3493768,57449,3339,45591296,30359160,55096207,209245729,1723522,106140832,424200273
IMP-000137,AST-00137,BU-0097,5402,6666,192,12011,39905,27695,58647,475897,2036,458373,762320
IMP-000138,AST-00138,BU-0006,16658,24777,15549,21000,14215,8553,141225,1919645,7144,2926512,2693835
IMP-000139,AST-00139,BU-0027,60259,82795,14414,7069,505395,401531,902351,5049510,19686,6456300,8860281
IMP-000140,AST-00140,BU-0093,580952,994489,274799,5300,9375607,3056424,7483171,10731673,219101,64603727,54789410
IMP-000141,AST-00141,BU-0118,52063,81261,19818,16784,4992876,3856546,535695,1654035,40199,51257217,13009234
IMP-000142,AST-00142,BU-0065,89924,146894,16371,3478,1899034,1517222,1479354,10639528,46214,14338348,19076965
IMP-000143,AST-00143,BU-0076,26324,50250,3165,4379,14259941,9511070,399797,11793235,15452,222538088,37173208
IMP-000144,AST-00144,BU-0061,61484,109482,4625,22957,170107,130776,1217752,4299561,22404,5828976,8450389
IMP-000145,AST-00145,BU-0125,7659,12192,1605,12397,501721,320139,184457,1210654,3485,6330763,2511184
IMP-000146,AST-00146,BU-0123,14932,26420,6490,13149,36304,27520,322772,866108,8961,1416551,1893274
IMP-000147,AST-00147,BU-0075,78778,148716,87479,11933,960073,430989,2807611,7479539,51990,6446277,15334875
IMP-000148,AST-00148,BU-0003,788,1207,208,20156,1965247,854768,18617,4933246,404,111317820,7801054
IMP-000149,AST-00149,BU-0127,340,508,119,15369,86368,49709,3249,335104,255,2161274,486741
IMP-000150,AST-00150,BU-0113,189777,270800,55381,12621,219255,169479,4939163,8745492,85742,11747802,20627970
IMP-000151,AST-00151,BU-0138,583904,955613,63225,24808,4782480,1968645,12390600,94959173,298712,44514983,137098835
IMP-000152,AST-00152,BU-0006,33836,55952,6315,11335,233366,110380,355775,3591955,20113,2274772,5640639
IMP-000153,AST-00153,BU-0104,1589048,2247571,235883,8208,13023029,7803295,13966464,81805012,672984,148120918,170775387
IMP-000154,AST-00154,BU-0132,175190,253692,39201,15161,5362236,1656695,5050060,24842215,140039,34066070,43039015
IMP-000155,AST-00155,BU-0015,86832,108086,21947,9115,864198,346633,1915764,7474249,30612,2333099,13216855
IMP-000156,AST-00156,BU-0146,641025,1109533,367391,16098,17969114,12287429,9858025,27069811,492416,150050102,94180562
IMP-000157,AST-00157,BU-0121,22148,40012,4939,14041,142592,64643,291135,1424665,17459,856463,2888262
IMP-000158,AST-00158,BU-0085,5303,7256,4815,7957,65721,22898,102131,132336,3527,408044,502045
IMP-000159,AST-00159,BU-0121,9705,15373,758,20354,374119,276856,217727,1890600,4910,789779,3129012
IMP-000160,AST-00160,BU-0084,4694,6936,0,9371,7495,5873,55249,385153,2971,424023,620234
IMP-000161,AST-00161,BU-0012,1053,2035,180,22639,1003548,693465,36194,1781892,374,2810136,3564119
IMP-000162,AST-00162,BU-0064,218733,309050,91640,16699,0,0,5935928,20253298,84266,20596484,33698066
IMP-000163,AST-00163,BU-0146,1183430,2237950,362904,10961,4523827,2966661,44299114,43615409,608292,73285252,149478715
IMP-000164,AST-00164,BU-0127,2723,4269,240,13623,893663,423606,83044,1283538,1463,6383283,2786547
IMP-000165,AST-00165,BU-0030,31955,42058,13646,13773,485792,308806,464517,5241391,11656,11051358,7523544
IMP-000166,AST-00166,BU-0086,3150,4964,568,21559,24245,15819,96699,726358,1788,889384,982825
IMP-000167,AST-00167,BU-0029,68476,135908,19161,19470,209555,153734,1080612,3923028,37530,7763316,8647882
IMP-000168,AST-00168,BU-0091,38177,73546,0,13696,2397157,1692283,374582,4141531,21680,56870118,10370657
IMP-000169,AST-00169,BU-0142,382149,696827,198929,6497,9858564,3189729,11534127,38637762,198569,81118126,80142959
IMP-000170,AST-00170,BU-0023,129927,199776,30279,16060,180497,137085,3463938,8995947,72578,10979047,17602370
IMP-000171,AST-00171,BU-0130,307410,476606,25603,13021,2162915,1719976,4682947,12341811,98048,10162284,32371796
IMP-000172,AST-00172,BU-0097,2849,4078,1103,10369,3905,1204,59969,90904,868,408285,254957
IMP-000173,AST-00173,BU-0008,12493,21362,1291,17744,364405,247888,330594,1172420,8339,1856947,2629286
IMP-000174,AST-00174,BU-0087,366,665,201,18510,46606,14505,5274,62341,278,851788,144887
IMP-000175,AST-00175,BU-0119,67376,125578,7419,22413,8314336,4367851,1844432,8876942,37088,46066189,26424852
IMP-000176,AST-00176,BU-0017,63151,86119,4207,4023,358932,169208,876281,5115063,41929,2797529,8590547
IMP-000177,AST-00177,BU-0139,8759,13235,4225,6068,314364,251400,161792,3212693,5714,35966615,4262114
IMP-000178,AST-00178,BU-0137,708647,945472,244470,24368,8474096,2675397,5757265,58408704,481408,40464708,98251260
IMP-000179,AST-00179,BU-0115,416705,636165,506342,4352,2447899,1192243,8481912,35274282,178702,22279334,63170638
IMP-000180,AST-00180,BU-0051,61895,95894,6819,12754,347401,261679,1635515,13343476,40243,8876592,17896346
IMP-000181,AST-00181,BU-0096,55329,90498,1630,14411,2213550,723659,1662611,8717822,42075,118220581,15491224
IMP-000182,AST-00182,BU-0116,15160,18675,4902,10826,1958182,1255433,112913,1913427,10307,47574908,5693057
IMP-000183,AST-00183,BU-0014,36312,72537,5827,7644,153945,49011,1422425,4976943,21730,6582719,8349039
IMP-000184,AST-00184,BU-0117,257255,340918,158288,18121,5865917,2747139,2338290,8248081,141061,31420846,27539747
IMP-000185,AST-00185,BU-0104,736950,1350452,314272,24819,11973313,5295988,16693364,172204343,355926,118366975,238892128
IMP-000186,AST-00186,BU-0090,788435,1472113,646483,23945,544636,301849,16189091,47781874,272199,52324409,100794645
IMP-000187,AST-00187,BU-0094,3320,4169,710,9262,8762462,4843777,69273,1179784,2059,98464235,14956062
IMP-000188,AST-00188,BU-0009,26895,49744,15682,9423,140917,70465,354550,3450154,18294,3321517,5225624
IMP-000189,AST-00189,BU-0127,78295,153950,25812,20934,241001,134550,2922361,2918155,32993,3987297,9936679
IMP-000190,AST-00190,BU-0008,1475,2021,487,3343,57759,31380,19648,488463,565,2543820,646241
IMP-000191,AST-00191,BU-0119,61251,84951,21265,4108,261049,170603,1083178,12455719,46261,18183910,16030638
IMP-000192,AST-00192,BU-0029,1643,2139,112,18892,415357,238065,32876,295108,1145,6755209,1032854
IMP-000193,AST-00193,BU-0113,283159,366689,134630,6656,1372406,486305,5673754,3097614,223848,21802835,19565245
IMP-000194,AST-00194,BU-0121,478,611,12,21488,80266,31941,10832,23309,159,2062913,161024
IMP-000195,AST-00195,BU-0053,12070,18047,10014,14962,1016655,700386,112735,2566314,7585,7764034,4839232
IMP-000196,AST-00196,BU-0001,1103890,1409230,313124,5222,4026447,1725316,15016725,98325923,852650,80613212,153229055
IMP-000197,AST-00197,BU-0103,13818,27533,571,14249,4712368,3610758,165987,13116125,5380,140659652,22266601
IMP-000198,AST-00198,BU-0127,41700,82250,2525,11722,648826,209401,1416932,780636,16953,6945142,5032320
IMP-000199,AST-00199,BU-0134,176292,256288,23562,21512,2744897,929037,4430487,24526089,105394,44786601,38804984
IMP-000200,AST-00200,BU-0039,6146,8243,248,7018,3444492,1608354,81059,1896734,3238,108805871,7228719
IMP-000201,AST-00201,BU-0072,6457,10408,4996,3739,960057,365894,187870,2466163,3132,8965934,4234772
IMP-000202,AST-00202,BU-0096,38730,56208,3061,11556,2711014,932714,973308,5636600,21246,79609407,11605689
IMP-000203,AST-00203,BU-0007,2776,4060,101,8999,11032,4184,79838,469980,1127,2717529,662575
IMP-000204,AST-00204,BU-0043,911,1569,118,11381,42405,20437,19027,265826,425,1887868,385469
IMP-000205,AST-00205,BU-0058,30435,58693,11217,8682,1783505,841176,937342,7248927,9656,4031149,12230799
IMP-000206,AST-00206,BU-0009,12753,24080,397,6620,28019,17949,376095,1315271,9642,3072716,2315651
IMP-000207,AST-00207,BU-0123,1543,2324,696,3191,99700,37861,18110,380262,822,1959420,592405
IMP-000208,AST-00208,BU-0129,314021,514036,13460,12622,2245474,823443,6460380,14684680,193638,42240844,36564301
IMP-000209,AST-00209,BU-0135,7603,12206,2458,13581,416638,240653,78430,1806624,4227,10423009,2837747
IMP-000210,AST-00210,BU-0023,66548,92297,12793,7150,1787168,1226176,1068239,2420537,51113,10060284,8730041
IMP-000211,AST-00211,BU-0141,825936,1288323,105518,18963,14686376,5646603,22854119,91113311,606077,145353560,165325679
IMP-000212,AST-00212,BU-0091,257279,344531,316592,11485,2745469,1360591,5514084,26505699,129827,112345092,44711179
IMP-000213,AST-00213,BU-0062,230885,405727,20619,10891,2395945,1453062,3805201,11335706,125269,17383163,28747981
IMP-000214,AST-00214,BU-0144,143820,269300,19659,11971,8976530,7128147,3299682,24606540,65853,70980936,50493758
IMP-000215,AST-00215,BU-0057,4519,7462,911,16950,2194204,728152,53144,475469,2512,13327687,3630968
IMP-000216,AST-00216,BU-0118,55126,78645,15212,6625,2041339,1136261,1150094,8540403,42590,24242311,14770789
IMP-000217,AST-00217,BU-0127,37786,60491,4316,4896,898589,296629,670718,3772429,23481,3391003,7094465
IMP-000218,AST-00218,BU-0075,82652,144917,4255,6458,1089059,542957,1478911,3002507,31342,9347452,9595697
IMP-000219,AST-00219,BU-0019,1901,2434,20,16827,644089,268953,36023,202146,1292,8340782,1209647
IMP-000220,AST-00220,BU-0116,408851,568085,78523,10201,985877,666143,9991656,32814913,202722,48112825,58171152
IMP-000221,AST-00221,BU-0098,1282,1798,165,18737,30112,22017,31906,176735,767,236125,304087
IMP-000222,AST-00222,BU-0006,24205,34476,6525,13059,143331,78875,449275,532539,15351,3133284,2037969
IMP-000223,AST-00223,BU-0002,19712,36793,2050,6442,5367516,2580610,525113,6407416,9278,52966990,15765737
IMP-000224,AST-00224,BU-0041,583879,1083902,186463,22755,10272606,5323834,19553408,59038504,252734,125140234,120388463
IMP-000225,AST-00225,BU-0038,61461,118568,11800,9996,602841,193733,2340874,10031239,24893,66670095,16026119
IMP-000226,AST-00226,BU-0041,491688,816894,204492,15151,17346025,13248318,16263842,31889486,276914,83231439,98557619
IMP-000227,AST-00227,BU-0006,9630,11612,2343,3669,224061,146208,115693,2101742,4843,2574337,2868735
IMP-000228,AST-00228,BU-0076,615986,1150174,37124,8420,8151821,5311416,8707412,136321083,433096,99469254,186133032
IMP-000229,AST-00229,BU-0027,73954,131750,2059,18660,399525,260868,2075634,4573474,26782,6040542,10473560
IMP-000230,AST-00230,BU-0116,169972,314771,25984,11141,2116940,1690239,4780866,24905084,96780,31229418,41073617
IMP-000231,AST-00231,BU-0105,179632,247207,102879,11594,3297773,2388108,3146064,5304134,83964,57857441,20171926
IMP-000232,AST-00232,BU-0099,4274,7308,933,18431,32258,18504,145236,265924,1591,125920,638247
IMP-000233,AST-00233,BU-0009,35137,47028,8818,22021,20145,15696,538820,1847412,21737,1111785,3559563
IMP-000234,AST-00234,BU-0095,1023582,1754921,254157,4717,2240084,1317712,29664864,85353337,673158,48766983,160948258
IMP-000235,AST-00235,BU-0122,8212,10941,3494,23396,306590,181104,81414,288424,4078,1718971,1123610
IMP-000236,AST-00236,BU-0069,2970,5560,1014,4302,693252,235590,47485,419520,993,4954688,1530301
IMP-000237,AST-00237,BU-0026,89475,163861,29245,12931,749603,452009,2906000,2560083,41470,11764203,10629604
IMP-000238,AST-00238,BU-0109,2072671,3243858,354692,21089,28828767,14246267,63345939,96806014,1377757,159147277,281434271
IMP-000239,AST-00239,BU-0079,789726,1371772,161490,18121,14876578,5015376,13770888,33539924,364219,104137920,100286784
IMP-000240,AST-00240,BU-0149,193,327,5,7714,11767,5859,6199,75256,63,115434,106934
IMP-000241,AST-00241,BU-0086,772,1086,20,22464,23354,9058,20525,80059,534,593344,159080
IMP-000242,AST-00242,BU-0130,48480,84000,12239,9219,280049,140742,1458998,7753968,33863,37576385,11661996
IMP-000243,AST-00243,BU-0151,246,358,16,21992,14289,7706,2548,76300,186,129101,109451
IMP-000244,AST-00244,BU-0083,48963,91623,2801,19259,24876858,10750667,1322673,6863208,26149,100202170,46015159
IMP-000245,AST-00245,BU-0068,96242,152366,30683,18163,2069372,794218,2671921,3039556,48728,12977131,12262534
IMP-000246,AST-00246,BU-0050,15714,24603,4770,11464,130016,84231,219807,416729,9887,429870,1446025
IMP-000247,AST-00247,BU-0054,106769,159657,134032,5082,185106,120722,2440203,4161542,81742,8419310,10873373
IMP-000248,AST-00248,BU-0123,946,1193,5,3334,169374,120710,9469,225287,731,955241,553477
