incident_id,organization_id,asset_id,business_unit_id,threat_id,incident_type,attack_vector,detection_time,response_time,resolution_time,downtime_hours,data_records_affected,incident_severity,direct_financial_loss,recovery_cost,legal_cost,regulatory_penalty,customer_compensation,reputation_loss,total_financial_loss,control_failure,incident_resolved
INC-000041,ORG-010,AST-01097,BU-0057,THREAT-03591,Malware,Cloud Misconfiguration,295,13,40,28,15549,Medium,43766,30414,21786,22814,4513134,43291,4675205,Firewall Misconfiguration,True
INC-000042,ORG-004,AST-08314,BU-0025,THREAT-01823,Data Breach,Cloud Misconfiguration,643,9,29,27,672749,Low,70857,48248,26483,93020,313855343,33933,314127883,Firewall Misconfiguration,True
INC-000043,ORG-017,AST-06592,BU-0103,THREAT-03087,Supply Chain Attack,Insider,284,17,38,84,34945,High,7031656,6790323,4210584,1018323,12167011,6898435,38116331,EDR Evasion,True
INC-000044,ORG-003,AST-03914,BU-0011,THREAT-03053,Malware,Cloud Misconfiguration,216,3,65,105,6383,Medium,259373,174052,56903,110098,2490056,274650,3365132,Unpatched Vulnerability,False
INC-000045,ORG-011,AST-02390,BU-0067,THREAT-01551,Supply Chain Attack,Brute Force,333,30,32,154,36963,Low,24331,14487,4432,11343,17785700,21464,17861757,Weak Password,False
INC-000046,ORG-016,AST-05068,BU-0097,THREAT-03725,Data Breach,Web Application,163,41,46,8,1892663,High,57303,16794,17841,55377,125309295,44076,125500685,Firewall Misconfiguration,True
INC-000047,ORG-001,AST-01146,BU-0004,THREAT-04080,Supply Chain Attack,USB,320,42,120,105,77975,Low,466269,699580,127232,80782,31971764,707143,34052770,MFA Bypass,False
INC-000048,ORG-008,AST-07952,BU-0046,THREAT-01247,Cloud Breach,VPN,544,9,94,134,75114,Critical,137898,91780,24266,13005,34016805,100734,34384487,Firewall Misconfiguration,True
INC-000049,ORG-007,AST-02753,BU-0042,THREAT-03163,Malware,Cloud Misconfiguration,180,15,28,17,62515,Medium,2105873,1459124,820649,654947,9506708,1577469,16124771,Phishing Click,True
INC-000050,ORG-016,AST-02802,BU-0098,THREAT-00462,Phishing,Cloud Misconfiguration,555,4,64,106,27945,Low,1289,744,925,93,10707809,1852,10712711,Unpatched Vulnerability,True
INC-000051,ORG-008,AST-05973,BU-0044,THREAT-03261,Malware,Insider,238,36,136,130,79232,Medium,26392,17289,5730,6841,25318952,14948,25390151,Weak Password,True
INC-000052,ORG-018,AST-01094,BU-0112,THREAT-01409,Supply Chain Attack,Cloud Misconfiguration,452,25,50,33,16330,Low,209093,304478,108155,124414,6472801,329409,7548350,Cloud Misconfiguration,True
INC-000053,ORG-011,AST-07660,BU-0064,THREAT-01638,Malware,Web Application,16,21,158,161,33894,Low,418923,254520,149749,14775,14549872,159249,15547088,None,False
INC-000054,ORG-020,AST-09802,BU-0122,THREAT-02197,Phishing,Brute Force,703,24,28,90,60032,Low,17944,14945,5888,5733,14455118,8105,14507733,EDR Evasion,True
INC-000055,ORG-009,AST-03383,BU-0051,THREAT-04826,Malware,Email,52,3,65,93,42276,Medium,562010,444736,147795,9904,13104611,310032,14579089,MFA Bypass,True
INC-000056,ORG-019,AST-03831,BU-0118,THREAT-03953,Insider Threat,USB,82,31,154,128,20372,Low,469628,479600,126907,72445,5792366,411314,7352258,EDR Evasion,False
INC-000057,ORG-019,AST-06814,BU-0119,THREAT-01651,Cloud Breach,Social Engineering,84,35,68,42,39753,High,833652,1331263,436781,722857,2150119,1111438,6586110,Firewall Misconfiguration,True
INC-000058,ORG-017,AST-03856,BU-0110,THREAT-02428,Malware,Insider,621,16,100,152,17487,High,23062122,7988337,9497098,9529429,3387014,12608421,66072421,EDR Evasion,True
INC-000059,ORG-002,AST-08384,BU-0006,THREAT-04933,Cloud Breach,Remote Desktop,62,35,38,9,16261,Critical,28447,20487,6274,4272,6547409,25227,6632115,MFA Bypass,True
INC-000060,ORG-012,AST-07180,BU-0071,THREAT-00324,Account Takeover,VPN,24,1,40,61,92094,Low,144802,138725,62960,27890,15955168,49626,16379172,Unpatched Vulnerability,True
INC-000061,ORG-020,AST-06173,BU-0121,THREAT-04313,Data Breach,Brute Force,519,23,24,5,4586760,Low,39836,14557,8703,12461,839731646,31889,839839092,Cloud Misconfiguration,True
INC-000062,ORG-021,AST-07614,BU-0125,THREAT-00144,DDoS,Brute Force,357,4,54,64,0,Medium,58000,13254,32732,0,0,58574,162560,Phishing Click,True
INC-000063,ORG-002,AST-08225,BU-0006,THREAT-00723,Malware,Remote Desktop,311,4,12,49,62979,Low,44160,30484,10039,5024,17873243,19084,17982033,Phishing Click,True
INC-000064,ORG-020,AST-08382,BU-0124,THREAT-04495,Ransomware,Email,90,2,147,700,226892,Critical,22912,20342,4132,16090,84523637,11878,84598990,MFA Bypass,True
INC-000065,ORG-013,AST-08487,BU-0081,THREAT-01397,Phishing,Supply Chain,495,5,22,112,44528,Low,1151477,973222,808594,773467,5442143,1168278,10317181,Firewall Misconfiguration,True
INC-000066,ORG-003,AST-09740,BU-0017,THREAT-04207,Ransomware,Cloud Misconfiguration,619,15,122,274,141686,High,316922,500418,203418,27942,24077517,298671,25424887,MFA Bypass,False
INC-000067,ORG-008,AST-06380,BU-0050,THREAT-01208,Ransomware,Cloud Misconfiguration,661,10,107,125,30867,Medium,62946,100124,30088,7321,8261089,56504,8518071,Weak Password,False
INC-000068,ORG-015,AST-06459,BU-0094,THREAT-02539,Phishing,Remote Desktop,196,28,74,77,52775,High,2891908,1122134,1024557,796001,22104011,2395365,30333977,Cloud Misconfiguration,True
INC-000069,ORG-025,AST-02327,BU-0148,THREAT-00131,Account Takeover,Cloud Misconfiguration,291,31,45,75,34937,Medium,815,538,345,668,15675321,508,15678195,Weak Password,True
INC-000070,ORG-010,AST-08747,BU-0060,THREAT-02775,Insider Threat,VPN,520,32,49,131,18690,Medium,415863,497331,194634,319713,3189976,288188,4905705,None,True
INC-000071,ORG-012,AST-04070,BU-0072,THREAT-00787,Insider Threat,Brute Force,402,13,68,91,11088,Medium,236561,162954,52470,3253,618392,169453,1243083,MFA Bypass,True
INC-000072,ORG-001,AST-09428,BU-0004,THREAT-00148,Cloud Breach,Social Engineering,337,21,91,131,5799,High,5456383,4670125,2146280,2068961,1839386,3854903,20036039,MFA Bypass,True
INC-000073,ORG-007,AST-03019,BU-0040,THREAT-01358,Account Takeover,Web Application,524,18,20,2,79163,Low,1190500,377359,255929,466085,14958649,729600,17978122,Cloud Misconfiguration,True
INC-000074,ORG-014,AST-06575,BU-0086,THREAT-03708,Ransomware,Remote Desktop,64,20,419,612,102404,Medium,19189,23737,9623,2633,36057614,9894,36122689,Phishing Click,True
INC-000075,ORG-011,AST-03542,BU-0065,THREAT-01685,Data Breach,Cloud Misconfiguration,162,20,29,48,1352674,Medium,623036,571720,426405,941793,108921910,799041,112283905,Phishing Click,True
INC-000076,ORG-001,AST-04263,BU-0002,THREAT-01420,Ransomware,Insider,452,47,142,215,412811,Medium,5646410,8166263,1228553,2269412,203994909,4746156,226051703,Cloud Misconfiguration,True
INC-000077,ORG-019,AST-07052,BU-0117,THREAT-02323,Malware,Email,233,43,116,103,74491,Medium,1120566,1314966,720152,736944,31707113,653390,36253131,Firewall Misconfiguration,False
INC-000078,ORG-021,AST-05748,BU-0125,THREAT-01104,Supply Chain Attack,VPN,237,42,125,116,8981,Critical,570291,298639,282168,81207,2999051,330249,4561606,Unpatched Vulnerability,True
INC-000079,ORG-013,AST-04357,BU-0080,THREAT-04333,Account Takeover,Email,207,9,31,159,48942,Low,1133283,1282616,715895,616569,13786247,872072,18406683,Cloud Misconfiguration,True
INC-000080,ORG-022,AST-07319,BU-0132,THREAT-04284,Insider Threat,VPN,622,47,132,106,86007,Low,333125,177246,57084,92777,25405594,205895,26271721,Firewall Misconfiguration,True
INC-000081,ORG-013,AST-05070,BU-0083,THREAT-03520,DDoS,Social Engineering,494,40,77,52,0,High,7531110,3704916,2003347,0,0,4407758,17647130,Weak Password,True
INC-000082,ORG-006,AST-01296,BU-0034,THREAT-02243,Ransomware,Insider,586,47,227,495,433346,Critical,124203,306254,42474,31653,27455086,93298,28052969,Cloud Misconfiguration,True
INC-000083,ORG-020,AST-09430,BU-0124,THREAT-01789,Data Breach,Web Application,649,47,79,42,4435758,Medium,19263,6911,6409,7466,2201325177,23367,2201388594,Cloud Misconfiguration,True
INC-000084,ORG-025,AST-03946,BU-0152,THREAT-02112,Malware,USB,720,5,68,148,11288,Low,3206,1014,767,1290,3455080,1259,3462616,Phishing Click,True
INC-000085,ORG-001,AST-05990,BU-0004,THREAT-00193,Malware,USB,211,3,125,134,58764,Low,521684,338466,136072,104033,9733687,175520,11009462,Firewall Misconfiguration,True
INC-000086,ORG-022,AST-02538,BU-0134,THREAT-02949,Ransomware,Remote Desktop,615,44,57,373,146837,Low,205021,319862,134996,225738,39335933,192775,40414325,Weak Password,True
INC-000087,ORG-017,AST-00864,BU-0107,THREAT-01687,Supply Chain Attack,Cloud Misconfiguration,298,14,52,122,58609,Medium,5972024,2264478,2100516,2401031,19045353,2550822,34334224,Phishing Click,True
INC-000088,ORG-014,AST-00888,BU-0087,THREAT-01880,DDoS,Cloud Misconfiguration,2,9,48,67,0,Low,983,230,262,0,0,593,2068,Phishing Click,True
INC-000089,ORG-014,AST-00744,BU-0084,THREAT-00071,Insider Threat,Social Engineering,275,41,100,63,35328,High,5977,1896,984,2604,14539270,3796,14554527,EDR Evasion,False
INC-000090,ORG-009,AST-02050,BU-0052,THREAT-00336,DDoS,Cloud Misconfiguration,372,43,85,53,0,High,495440,147630,274443,0,0,486109,1403623,MFA Bypass,True
INC-000091,ORG-012,AST-05784,BU-0071,THREAT-00785,Insider Threat,USB,717,35,36,4,86027,Medium,369766,448917,168040,14364,29567381,307978,30876446,Unpatched Vulnerability,False
INC-000092,ORG-016,AST-00470,BU-0101,THREAT-00022,Phishing,Cloud Misconfiguration,589,10,23,61,23087,High,21485,20508,9449,807,9363091,19298,9434637,EDR Evasion,True
INC-000093,ORG-019,AST-03633,BU-0117,THREAT-02330,Supply Chain Attack,Cloud Misconfiguration,118,35,88,157,82120,Low,261538,119995,107600,72587,27290450,110810,27962979,None,True
INC-000094,ORG-011,AST-04736,BU-0068,THREAT-01455,Phishing,Supply Chain,280,27,39,59,92201,Low,128279,55600,73528,13965,15435426,46627,15753424,Weak Password,False
INC-000095,ORG-013,AST-01580,BU-0079,THREAT-00636,Account Takeover,VPN,23,12,38,43,41594,Low,729998,729056,126919,44236,5272342,518297,7420847,None,True
INC-000096,ORG-017,AST-07639,BU-0104,THREAT-04826,Data Breach,Supply Chain,545,45,62,21,797478,Low,2739411,1897237,1006216,3874451,270576426,1233059,281326799,Firewall Misconfiguration,True
INC-000097,ORG-025,AST-09127,BU-0150,THREAT-02199,Ransomware,VPN,471,32,169,527,87443,Medium,1698,2072,233,747,28120884,1160,28126793,Phishing Click,True
INC-000098,ORG-015,AST-04921,BU-0095,THREAT-02453,Cloud Breach,Web Application,300,25,71,58,48687,Medium,3206211,4169774,810607,1747037,6484437,5580892,21998958,Weak Password,True
INC-000099,ORG-010,AST-05367,BU-0057,THREAT-03613,Cloud Breach,Email,134,20,28,27,56361,High,326153,161710,129043,100503,24797839,106652,25621900,Unpatched Vulnerability,False
INC-000100,ORG-016,AST-05237,BU-0097,THREAT-03862,Malware,Insider,4,1,52,63,56854,Medium,1028,1860,567,554,25694693,506,25699209,Firewall Misconfiguration,True
INC-000101,ORG-004,AST-08083,BU-0018,THREAT-01129,Malware,USB,180,37,89,128,43289,Medium,399725,202807,123970,42959,18870481,213591,19853535,Cloud Misconfiguration,True
INC-000102,ORG-022,AST-02409,BU-0133,THREAT-01590,Cloud Breach,Social Engineering,467,13,60,140,64675,Low,539343,513239,193372,247199,7942740,642508,10078401,Cloud Misconfiguration,True
INC-000103,ORG-022,AST-09085,BU-0135,THREAT-03564,Ransomware,USB,564,46,66,227,443847,Medium,2368949,2186436,887754,1297832,54094951,1045250,61881171,Unpatched Vulnerability,True
INC-000104,ORG-025,AST-04069,BU-0149,THREAT-01748,Cloud Breach,Remote Desktop,301,14,50,84,28918,Low,3257,982,394,1361,10469696,2016,10477706,Phishing Click,True
INC-000105,ORG-005,AST-02414,BU-0029,THREAT-04005,Account Takeover,Social Engineering,636,31,93,90,32251,Low,27246,20378,25561,23328,15788544,49349,15934406,Unpatched Vulnerability,True
INC-000106,ORG-021,AST-04145,BU-0126,THREAT-00221,Account Takeover,Email,284,14,27,63,38341,Medium,181183,190332,119955,38854,4813038,207749,5551112,EDR Evasion,True
INC-000107,ORG-005,AST-03731,BU-0032,THREAT-03521,Supply Chain Attack,Remote Desktop,121,28,42,51,84368,Low,65820,28849,15943,20714,11087303,48709,11267337,Phishing Click,True
INC-000108,ORG-011,AST-09658,BU-0068,THREAT-01517,Account Takeover,Email,21,34,41,29,61003,Low,98475,167242,28890,67748,21433347,148259,21943961,EDR Evasion,True
INC-000109,ORG-002,AST-08342,BU-0008,THREAT-01994,Ransomware,Web Application,111,47,104,598,488760,Low,24047,38583,6825,21852,145602579,10013,145703898,EDR Evasion,True
INC-000110,ORG-009,AST-00595,BU-0051,THREAT-00514,Cloud Breach,USB,154,12,141,136,9899,Medium,684149,279668,136463,136356,4538508,208017,5983162,Phishing Click,True
INC-000111,ORG-022,AST-07246,BU-0130,THREAT-01894,Phishing,Insider,610,45,75,46,794,High,893377,583601,185099,97857,270278,381822,2412035,Cloud Misconfiguration,False
INC-000112,ORG-018,AST-01048,BU-0112,THREAT-03517,Account Takeover,Social Engineering,91,21,58,44,58284,Medium,539911,262082,141118,222171,5577850,236288,6979421,Unpatched Vulnerability,True
INC-000113,ORG-011,AST-08665,BU-0065,THREAT-03965,Malware,Social Engineering,440,4,8,44,74858,Low,314118,240001,107005,85300,27542669,258899,28547992,Cloud Misconfiguration,True
INC-000114,ORG-016,AST-02430,BU-0102,THREAT-03439,Phishing,Email,674,17,53,77,49154,Medium,30511,11708,11748,12344,20790367,14969,20871648,None,False
INC-000115,ORG-015,AST-09723,BU-0094,THREAT-00192,Insider Threat,Insider,164,12,35,49,82539,Medium,1995944,875076,1386232,1448539,29855968,1039339,36601098,Cloud Misconfiguration,True
INC-000116,ORG-002,AST-06978,BU-0006,THREAT-01479,DDoS,Brute Force,264,11,20,27,0,Medium,225593,24715,58346,0,0,90842,399496,Cloud Misconfiguration,True
INC-000117,ORG-006,AST-05711,BU-0036,THREAT-02921,Insider Threat,Email,334,26,103,80,53618,Low,103444,129172,25926,29407,22875952,133591,23297491,EDR Evasion,True
INC-000118,ORG-002,AST-09907,BU-0008,THREAT-01915,Data Breach,Insider,706,46,47,6,4846929,Low,18808,9027,4999,12240,839755462,13776,839814312,MFA Bypass,True
INC-000119,ORG-003,AST-02004,BU-0016,THREAT-03349,Supply Chain Attack,Insider,124,37,45,12,96838,Low,149248,71931,47691,45672,35293189,103799,35711530,Cloud Misconfiguration,True
INC-000120,ORG-024,AST-05506,BU-0146,THREAT-03061,Ransomware,VPN,177,1,57,138,421903,Low,3372162,3103780,1383832,1093433,181462884,1068740,191484832,Weak Password,True
INC-000121,ORG-007,AST-05429,BU-0042,THREAT-04752,Ransomware,Insider,674,31,358,343,492270,Low,143523,138112,81191,56988,213999062,157965,214576842,Firewall Misconfiguration,False
INC-000122,ORG-010,AST-07304,BU-0057,THREAT-02087,Phishing,Email,76,38,75,68,53798,Medium,362449,100973,122537,151475,24774576,296840,25808850,None,True
INC-000123,ORG-001,AST-01628,BU-0002,THREAT-01297,DDoS,Supply Chain,56,40,46,18,0,Medium,4986739,1734958,1120162,0,0,1877846,9719706,None,True
INC-000124,ORG-003,AST-02013,BU-0011,THREAT-02630,Phishing,Brute Force,345,30,69,80,48925,Medium,212379,183841,67442,133259,4698313,267248,5562483,Unpatched Vulnerability,True
INC-000125,ORG-011,AST-08952,BU-0067,THREAT-00750,Phishing,Insider,638,37,125,148,31140,Low,21941,16874,5457,9216,8451602,23962,8529051,Phishing Click,True
INC-000126,ORG-007,AST-01079,BU-0042,THREAT-02549,Phishing,Email,536,44,48,67,69597,Low,583263,246431,123017,259283,8831150,393826,10436970,Cloud Misconfiguration,True
INC-000127,ORG-016,AST-02598,BU-0101,THREAT-04626,Cloud Breach,Email,528,23,27,66,10205,Medium,20713,8850,6464,786,3394114,12136,3443063,Firewall Misconfiguration,True
INC-000128,ORG-016,AST-00285,BU-0100,THREAT-03917,DDoS,Supply Chain,493,7,18,46,0,Medium,13644,2056,4564,0,0,10101,30364,Unpatched Vulnerability,True
INC-000129,ORG-008,AST-08360,BU-0043,THREAT-00627,Malware,Insider,398,39,62,64,17761,Medium,32518,30915,19368,11895,5399054,46923,5540674,Phishing Click,True
INC-000130,ORG-022,AST-05178,BU-0129,THREAT-02134,Ransomware,Supply Chain,48,39,73,106,122357,Medium,121019,217154,37868,41668,15811814,78005,16307527,MFA Bypass,True
INC-000131,ORG-018,AST-09095,BU-0114,THREAT-02723,Cloud Breach,VPN,536,24,26,142,32514,Low,247818,108613,66507,137556,8764165,346367,9671026,Unpatched Vulnerability,True
INC-000132,ORG-007,AST-03237,BU-0039,THREAT-01443,Phishing,VPN,115,17,67,69,85025,Low,2273270,2141100,355646,1072938,33614001,1108808,40565764,Weak Password,True
INC-000133,ORG-018,AST-04243,BU-0111,THREAT-04512,DDoS,Insider,346,48,106,62,0,Low,484676,95142,186862,0,0,454577,1221257,None,True
INC-000134,ORG-020,AST-01161,BU-0121,THREAT-01071,Phishing,Web Application,157,1,10,22,96895,Low,8727,6065,7447,6242,7468863,16973,7514318,Firewall Misconfiguration,False
INC-000135,ORG-014,AST-05444,BU-0084,THREAT-03730,Data Breach,USB,545,13,13,5,704308,Medium,13965,9912,9117,6047,290425391,9561,290473992,EDR Evasion,True
INC-000136,ORG-016,AST-01898,BU-0101,THREAT-01325,DDoS,VPN,581,17,23,9,0,Low,3689,787,1332,0,0,3914,9723,MFA Bypass,True
INC-000137,ORG-019,AST-03529,BU-0117,THREAT-01498,DDoS,Brute Force,397,38,40,16,0,Critical,4039506,1068653,1010118,0,0,4640827,10759104,Firewall Misconfiguration,True
INC-000138,ORG-020,AST-00913,BU-0123,THREAT-00452,Malware,Supply Chain,454,47,92,58,31601,High,121092,45533,35012,29481,3248862,29885,3509865,Weak Password,False
INC-000139,ORG-021,AST-04194,BU-0128,THREAT-03498,Supply Chain Attack,Remote Desktop,212,12,108,151,41810,Medium,190121,144824,51668,42365,10993352,130460,11552791,MFA Bypass,True
INC-000140,ORG-010,AST-09483,BU-0058,THREAT-04570,Insider Threat,Social Engineering,599,33,45,50,84457,Medium,312625,231827,101851,113763,14819704,242685,15822453,EDR Evasion,False
INC-000141,ORG-023,AST-01654,BU-0136,THREAT-00634,Cloud Breach,Insider,686,19,42,29,74833,Medium,1571336,1044269,395679,534153,26611239,1224815,31381491,Cloud Misconfiguration,True
INC-000142,ORG-014,AST-05291,BU-0087,THREAT-03843,Malware,Remote Desktop,386,12,106,118,89887,Low,1129,1055,161,276,39356626,589,39359836,EDR Evasion,True
INC-000143,ORG-006,AST-07123,BU-0035,THREAT-02542,Account Takeover,USB,207,14,117,110,85835,Medium,418232,598305,161366,97765,19830664,547242,21653574,Unpatched Vulnerability,True
INC-000144,ORG-014,AST-08632,BU-0084,THREAT-00722,Supply Chain Attack,Cloud Misconfiguration,498,26,98,116,19085,Medium,9698,10283,2632,4611,5120765,7615,5155603,None,True
INC-000145,ORG-023,AST-02693,BU-0139,THREAT-02589,DDoS,USB,659,47,52,29,0,Low,550754,213344,242238,0,0,236428,1242764,Phishing Click,False
INC-000146,ORG-022,AST-03995,BU-0129,THREAT-00727,Ransomware,Supply Chain,656,31,249,474,386316,Low,254307,563342,179326,267951,183334334,382172,184981432,Weak Password,True
INC-000147,ORG-003,AST-06616,BU-0014,THREAT-03914,Insider Threat,Web Application,645,33,41,30,58815,Low,7734,11511,6626,902,26632932,8574,26668280,Unpatched Vulnerability,False
INC-000148,ORG-010,AST-02176,BU-0061,THREAT-02346,Supply Chain Attack,USB,559,1,20,49,50582,Medium,629009,199124,291179,50058,10476935,530209,12176513,EDR Evasion,True
