risk_id,organization_id,business_unit_id,asset_id,vulnerability_id,threat_id,likelihood_score,impact_score,inherent_risk,control_effectiveness,residual_risk,incident_probability,single_loss_expectancy,annual_rate_of_occurrence,expected_annual_loss,value_at_risk,financial_exposure,risk_reduction_potential,current_security_spend,recommended_security_spend,risk_score
RISK-000053,ORG-011,BU-0064,AST-03957,VULN-023893,THREAT-01437,6.6,8.8,5.81,0.52,2.79,0.44,1298410,0.998,1295813,2485961,2041601,0.92,203958,222722,2.55
RISK-000054,ORG-022,BU-0132,AST-05287,VULN-001157,THREAT-00535,0.1,4.7,0.05,0.53,0.02,0.0067,543508,0.014,7609,24029,14818,0.0,698593,698593,0.02
RISK-000055,ORG-004,BU-0024,AST-02362,VULN-004113,THREAT-01296,6.0,10,6.0,0.24,4.56,0.4,2493951,0.934,2329350,4903872,3800512,0.43,418182,436164,4.36
RISK-000056,ORG-008,BU-0045,AST-00498,VULN-010943,THREAT-02602,5.6,10,5.6,0.52,2.69,0.3733,392164,0.939,368242,702782,579077,0.75,21681,23307,2.53
RISK-000057,ORG-007,BU-0042,AST-04532,VULN-003210,THREAT-02946,6.3,8.9,5.61,0.27,4.1,0.42,10601398,0.968,10262153,22711974,17075745,0.48,465467,487809,3.86
RISK-000058,ORG-005,BU-0029,AST-00348,VULN-011890,THREAT-00626,2.9,10,2.9,0.76,0.7,0.1933,1141502,0.102,116433,391501,233883,0.39,416691,432942,0.7
RISK-000059,ORG-007,BU-0038,AST-07893,VULN-018952,THREAT-03561,1.6,10,1.6,0.4,0.96,0.1067,35358635,0.26,9193245,24783442,16628278,0.24,892202,913615,1.03
RISK-000060,ORG-007,BU-0042,AST-02663,VULN-012570,THREAT-01109,5.3,8.2,4.35,0.44,2.44,0.3533,23401381,0.539,12613344,34165550,22863009,0.35,1250958,1294742,2.67
RISK-000061,ORG-018,BU-0114,AST-00712,VULN-016657,THREAT-03270,1.6,5.4,0.86,0.34,0.57,0.1067,2920074,0.24,700818,1072139,1022460,0.07,931067,937584,0.59
RISK-000062,ORG-001,BU-0003,AST-06971,VULN-017699,THREAT-03054,4.4,2.7,1.19,0.3,0.83,0.2933,69925,0.754,52723,96371,81634,0.15,930306,944261,0.76
RISK-000063,ORG-025,BU-0151,AST-07483,VULN-026640,THREAT-04989,1.9,5.6,1.06,0.43,0.6,0.1267,17447,0.286,4990,16300,9880,0.12,112132,113478,0.55
RISK-000064,ORG-017,BU-0103,AST-01282,VULN-008285,THREAT-02239,5.4,4.9,2.65,0.6,1.06,0.36,2609405,0.237,618429,1565704,1088140,0.46,1484094,1552362,1.02
RISK-000065,ORG-010,BU-0059,AST-06697,VULN-003182,THREAT-01597,2.7,9.4,2.54,0.61,0.99,0.18,1478330,0.2,295666,1007624,597953,0.23,424417,434179,1.09
RISK-000066,ORG-007,BU-0041,AST-08826,VULN-021261,THREAT-03453,6.3,8.7,5.48,0.83,0.93,0.42,34574288,0.933,32257811,94433698,60587920,0.39,345754,359238,0.95
RISK-000067,ORG-020,BU-0124,AST-05459,VULN-028572,THREAT-03032,2.4,4.6,1.1,0.3,0.77,0.16,4969,0.109,542,1181,896,0.09,96595,97464,0.8
RISK-000068,ORG-017,BU-0105,AST-05884,VULN-028873,THREAT-01721,1.5,9.9,1.49,0.35,0.97,0.1,47065958,0.291,13696194,44268661,26976792,0.26,548390,562648,0.88
RISK-000069,ORG-004,BU-0019,AST-08264,VULN-007437,THREAT-04998,3.9,9.7,3.78,0.57,1.63,0.26,3177191,0.197,625907,1356824,1032954,0.38,100176,103983,1.67
RISK-000070,ORG-025,BU-0149,AST-00568,VULN-022912,THREAT-02657,0.1,9.7,0.1,0.83,0.02,0.0067,62487,0.01,625,2122,1262,0.01,141068,141209,0.02
RISK-000071,ORG-020,BU-0123,AST-07367,VULN-027710,THREAT-00574,0.2,9.0,0.18,0.34,0.12,0.0133,336077,0.036,12099,41727,24617,0.02,117162,117396,0.12
RISK-000072,ORG-010,BU-0059,AST-08352,VULN-010973,THREAT-01504,1.0,3.4,0.34,0.67,0.11,0.0667,88234,0.063,5559,10424,8686,0.05,124144,124765,0.1
RISK-000073,ORG-016,BU-0100,AST-00889,VULN-007162,THREAT-02864,0.8,10,0.8,0.69,0.25,0.0533,152606,0.155,23654,57357,40861,0.11,72630,73429,0.26
RISK-000074,ORG-008,BU-0043,AST-07022,VULN-015435,THREAT-00365,2.9,3.2,0.93,0.67,0.31,0.1933,74937,0.366,27427,73583,49502,0.08,137449,138549,0.32
RISK-000075,ORG-019,BU-0119,AST-03580,VULN-024386,THREAT-01262,1.7,4.9,0.83,0.65,0.29,0.1133,121720,0.312,37977,104674,69379,0.11,360353,364317,0.29
RISK-000076,ORG-015,BU-0090,AST-08428,VULN-003610,THREAT-03693,3.3,10,3.3,0.78,0.73,0.22,36819539,0.224,8247577,26160437,16095708,0.23,365470,373876,0.7
RISK-000077,ORG-007,BU-0041,AST-01400,VULN-025333,THREAT-03059,2.1,9.6,2.02,0.72,0.57,0.14,37202548,0.285,10602726,35298027,21192134,0.16,930998,945894,0.6
RISK-000078,ORG-009,BU-0052,AST-02168,VULN-013654,THREAT-00473,0.7,9.2,0.64,0.21,0.51,0.0467,2572389,0.09,231515,671084,432840,0.07,338987,341360,0.54
RISK-000079,ORG-022,BU-0130,AST-09619,VULN-019814,THREAT-01077,8.8,9.2,8.1,0.23,6.24,0.5867,8352884,0.32,2672923,9139813,5414867,0.48,360796,378114,6.49
RISK-000080,ORG-019,BU-0118,AST-05685,VULN-011569,THREAT-04838,5.0,8.4,4.2,0.53,1.97,0.3333,4848621,0.318,1541861,4830413,2990985,0.48,1083443,1135448,2.05
RISK-000081,ORG-024,BU-0140,AST-07627,VULN-022114,THREAT-01415,4.3,5.0,2.15,0.55,0.97,0.2867,5517542,0.74,4082981,14289671,8369882,0.25,1135869,1164266,1.06
RISK-000082,ORG-015,BU-0091,AST-07398,VULN-028586,THREAT-00389,4.1,3.9,1.6,0.46,0.86,0.2733,2190629,0.341,747004,1976481,1339948,0.29,402860,414543,0.88
RISK-000083,ORG-009,BU-0056,AST-00589,VULN-009383,THREAT-01392,3.9,4.4,1.72,0.43,0.98,0.26,517108,0.444,229596,625980,417390,0.14,361937,367004,0.95
RISK-000084,ORG-016,BU-0101,AST-06316,VULN-028808,THREAT-02167,3.0,10,3.0,0.79,0.63,0.2,62669,0.541,33904,85443,59537,0.19,45322,46183,0.58
RISK-000085,ORG-005,BU-0026,AST-03793,VULN-025328,THREAT-00014,1.5,2.3,0.34,0.42,0.2,0.1,213143,0.153,32611,96980,61705,0.06,402659,405075,0.21
RISK-000086,ORG-014,BU-0087,AST-00626,VULN-026541,THREAT-00558,3.2,5.2,1.66,0.56,0.73,0.2133,74554,0.617,46000,112310,79693,0.17,77891,79215,0.78
RISK-000087,ORG-018,BU-0111,AST-00336,VULN-007831,THREAT-04784,5.6,10,5.6,0.23,4.31,0.3733,14491021,0.278,4028504,13758513,8156058,0.59,367309,388980,4.45
RISK-000088,ORG-013,BU-0082,AST-04618,VULN-026514,THREAT-00841,1.5,10,1.5,0.6,0.6,0.1,38837357,0.265,10291900,29780711,19226113,0.19,765295,779836,0.62
RISK-000089,ORG-004,BU-0022,AST-07057,VULN-018195,THREAT-04830,3.6,10,3.6,0.85,0.54,0.24,1278653,0.612,782536,1399963,1202525,0.36,102472,106161,0.51
RISK-000090,ORG-003,BU-0016,AST-01788,VULN-008572,THREAT-04680,4.5,10,4.5,0.85,0.68,0.3,718168,0.327,234841,792991,472738,0.25,413706,424049,0.62
RISK-000091,ORG-007,BU-0039,AST-03784,VULN-011697,THREAT-02603,2.0,2.1,0.42,0.37,0.26,0.1333,337112,0.259,87312,178026,140720,0.04,629533,632051,0.27
RISK-000092,ORG-024,BU-0142,AST-00473,VULN-017456,THREAT-04038,3.7,5.7,2.11,0.3,1.48,0.2467,6673299,0.638,4257565,12659445,8055398,0.17,335465,341168,1.53
RISK-000093,ORG-016,BU-0097,AST-08599,VULN-018527,THREAT-02131,1.5,10,1.5,0.25,1.12,0.1,29656,0.288,8541,20209,14604,0.16,78820,80081,1.18
RISK-000094,ORG-015,BU-0092,AST-00441,VULN-001315,THREAT-00452,0.1,10,0.1,0.24,0.08,0.0067,21073599,0.01,210736,350050,315751,0.01,1369311,1370680,0.08
RISK-000095,ORG-007,BU-0038,AST-06712,VULN-015858,THREAT-04949,1.7,2.2,0.37,0.33,0.25,0.1133,453607,0.186,84371,228198,152830,0.03,679833,681872,0.25
RISK-000096,ORG-001,BU-0005,AST-00859,VULN-010231,THREAT-04537,8.1,8.7,7.05,0.39,4.3,0.54,29844271,1.158,34559666,65311572,54153138,1.12,1151906,1280919,4.53
RISK-000097,ORG-022,BU-0130,AST-05111,VULN-018440,THREAT-02912,2.1,5.2,1.09,0.25,0.82,0.14,611857,0.103,63021,137536,104282,0.13,770038,780048,0.86
RISK-000098,ORG-024,BU-0143,AST-08957,VULN-025549,THREAT-04128,4.6,2.0,0.92,0.46,0.5,0.3067,504439,0.797,402038,1183185,756994,0.17,1018967,1036289,0.48
RISK-000099,ORG-019,BU-0117,AST-04361,VULN-012960,THREAT-00241,1.3,9.2,1.2,0.75,0.3,0.0867,6554615,0.228,1494452,2962779,2383286,0.17,424254,431466,0.32
RISK-000100,ORG-018,BU-0112,AST-08400,VULN-008528,THREAT-00872,1.5,4.4,0.66,0.37,0.42,0.1,621260,0.163,101265,278363,184774,0.12,1277247,1292574,0.38
RISK-000101,ORG-017,BU-0109,AST-07793,VULN-023928,THREAT-01703,1.3,9.2,1.2,0.4,0.72,0.0867,16483826,0.131,2159381,6709548,4172245,0.2,231590,236222,0.65
RISK-000102,ORG-001,BU-0002,AST-00980,VULN-017020,THREAT-04989,6.8,10,6.8,0.63,2.52,0.4533,24147974,1.321,31899474,80349052,56004190,1.25,1199632,1349586,2.37
RISK-000103,ORG-003,BU-0015,AST-07516,VULN-026202,THREAT-04106,0.6,8.9,0.53,0.38,0.33,0.04,1372600,0.039,53531,153226,99499,0.1,411525,415640,0.33
RISK-000104,ORG-023,BU-0136,AST-03803,VULN-007240,THREAT-00207,6.4,10,6.4,0.42,3.71,0.4267,6580882,0.803,5284448,14688226,9690916,1.14,332299,370181,3.89
RISK-000105,ORG-014,BU-0088,AST-02862,VULN-019869,THREAT-01070,3.9,9.0,3.51,0.25,2.63,0.26,50056,0.428,21424,41781,33958,0.26,28265,29000,2.82
RISK-000106,ORG-012,BU-0070,AST-07971,VULN-003734,THREAT-01738,0.1,10,0.1,0.23,0.08,0.0067,2621962,0.017,44573,88699,71183,0.01,141371,141512,0.09
RISK-000107,ORG-015,BU-0096,AST-01862,VULN-020559,THREAT-02754,2.7,9.9,2.67,0.59,1.09,0.18,39012793,0.239,9324058,16793976,14362251,0.22,324054,331183,1.15
RISK-000108,ORG-024,BU-0143,AST-06530,VULN-027573,THREAT-01453,0.2,4.3,0.09,0.65,0.03,0.0133,6657483,0.007,46602,144010,89805,0.01,355903,356259,0.03
RISK-000109,ORG-013,BU-0076,AST-02630,VULN-006786,THREAT-04177,7.0,9.0,6.3,0.7,1.89,0.4667,19631317,0.843,16549200,41358354,28956706,0.8,843016,910457,1.92
RISK-000110,ORG-022,BU-0135,AST-05777,VULN-012448,THREAT-04402,3.5,9.0,3.15,0.55,1.42,0.2333,3625596,0.543,1968699,3698227,3078167,0.48,1203991,1261783,1.46
RISK-000111,ORG-019,BU-0120,AST-06782,VULN-015906,THREAT-02828,2.6,4.0,1.04,0.63,0.38,0.1733,2433422,0.468,1138841,1924699,1716251,0.13,809762,820289,0.41
RISK-000112,ORG-025,BU-0152,AST-02878,VULN-008295,THREAT-03564,0.3,7.9,0.24,0.44,0.13,0.02,35353,0.036,1273,2600,2053,0.04,87232,87581,0.14
RISK-000113,ORG-024,BU-0145,AST-06777,VULN-019777,THREAT-04070,0.3,8.8,0.26,0.81,0.05,0.02,39510196,0.026,1027265,2991314,1924659,0.02,1058117,1060233,0.05
RISK-000114,ORG-018,BU-0112,AST-03172,VULN-018286,THREAT-04297,5.0,9.4,4.7,0.53,2.21,0.3333,6735150,0.628,4229674,12413420,7953700,0.46,1309526,1369764,2.11
RISK-000115,ORG-003,BU-0014,AST-00183,VULN-004890,THREAT-03206,0.5,8.7,0.43,0.27,0.31,0.0333,689513,0.067,46197,143650,89292,0.07,278273,280221,0.32
RISK-000116,ORG-007,BU-0039,AST-03065,VULN-014546,THREAT-00367,7.7,2.7,2.08,0.5,1.04,0.5133,670760,1.256,842475,2368480,1553019,0.35,1128475,1167972,0.95
RISK-000117,ORG-022,BU-0131,AST-06625,VULN-000498,THREAT-00704,2.1,8.6,1.81,0.56,0.8,0.14,2456892,0.159,390646,809424,633473,0.27,1217093,1249955,0.87
RISK-000118,ORG-014,BU-0087,AST-04981,VULN-005581,THREAT-02029,1.6,6.5,1.04,0.6,0.42,0.1067,78459,0.141,11063,17242,16236,0.15,130434,132391,0.38
RISK-000119,ORG-017,BU-0104,AST-07238,VULN-017924,THREAT-02850,2.0,7.8,1.56,0.29,1.11,0.1333,8648421,0.122,1055107,3310592,2048285,0.16,1084989,1102349,1.05
RISK-000120,ORG-014,BU-0088,AST-03454,VULN-020551,THREAT-01179,5.0,5.1,2.55,0.57,1.1,0.3333,46849,0.788,36917,101088,67243,0.23,28105,28751,1.18
RISK-000121,ORG-025,BU-0152,AST-08749,VULN-026357,THREAT-01783,6.8,8.5,5.78,0.28,4.16,0.4533,28749,1.24,35649,59210,53412,0.46,21287,22266,4.33
RISK-000122,ORG-024,BU-0140,AST-06884,VULN-024952,THREAT-04337,2.4,3.0,0.72,0.34,0.48,0.16,3433835,0.353,1212144,2925171,2089695,0.08,1057223,1065681,0.49
RISK-000123,ORG-018,BU-0112,AST-05434,VULN-002713,THREAT-00738,1.4,9.2,1.29,0.3,0.9,0.0933,6028984,0.108,651130,1095038,979641,0.21,1413901,1443593,0.88
RISK-000124,ORG-023,BU-0138,AST-09653,VULN-002445,THREAT-03244,2.1,10,2.1,0.84,0.34,0.14,22511110,0.249,5605266,11129953,8944252,0.1,1013706,1023843,0.37
RISK-000125,ORG-016,BU-0097,AST-02950,VULN-008709,THREAT-02727,4.1,4.7,1.93,0.81,0.37,0.2733,5126,0.15,769,2132,1409,0.13,17538,17766,0.34
RISK-000126,ORG-009,BU-0056,AST-00944,VULN-016753,THREAT-02073,3.1,5.0,1.55,0.3,1.08,0.2067,221909,0.506,112286,322539,209048,0.2,154399,157487,1.14
RISK-000127,ORG-018,BU-0113,AST-05252,VULN-026630,THREAT-00918,7.6,3.6,2.74,0.42,1.59,0.5067,1633991,0.392,640524,1130562,979693,0.29,713259,733944,1.66
RISK-000128,ORG-009,BU-0051,AST-00180,VULN-020399,THREAT-02523,6.6,10,6.6,0.34,4.36,0.44,1596306,0.253,403865,966354,693771,0.69,307976,329226,4.5
RISK-000129,ORG-022,BU-0131,AST-07635,VULN-017920,THREAT-02130,1.4,5.3,0.74,0.79,0.16,0.0933,1644078,0.087,143035,238046,214449,0.09,1496760,1510231,0.17
RISK-000130,ORG-009,BU-0054,AST-04187,VULN-015615,THREAT-01392,3.2,10,3.2,0.62,1.22,0.2133,985263,0.23,226610,482592,371388,0.51,178515,187619,1.29
RISK-000131,ORG-023,BU-0138,AST-05214,VULN-025636,THREAT-03169,4.1,10,4.1,0.31,2.83,0.2733,24552622,0.267,6555550,19835929,12506329,0.44,888386,927475,2.71
RISK-000132,ORG-008,BU-0050,AST-01102,VULN-026276,THREAT-02351,4.6,8.5,3.91,0.58,1.64,0.3067,213271,0.724,154408,433441,284440,0.38,16257,16875,1.79
RISK-000133,ORG-021,BU-0127,AST-02266,VULN-014275,THREAT-01876,2.9,10,2.9,0.39,1.77,0.1933,1241141,0.34,421988,1174437,774319,0.35,161008,166643,1.73
RISK-000134,ORG-016,BU-0097,AST-08663,VULN-011980,THREAT-02674,4.4,10,4.4,0.54,2.02,0.2933,116526,0.638,74344,138628,115932,0.57,131112,138585,1.96
RISK-000135,ORG-022,BU-0132,AST-00394,VULN-024877,THREAT-00852,5.1,8.4,4.28,0.46,2.31,0.34,4612337,0.508,2343067,4415074,3667589,0.5,1190080,1249584,2.45
RISK-000136,ORG-019,BU-0117,AST-06531,VULN-001088,THREAT-02163,0.1,2.4,0.02,0.57,0.01,0.0067,1371930,0.016,21951,39751,33876,0.0,1010538,1010538,0.01
RISK-000137,ORG-009,BU-0052,AST-05694,VULN-019917,THREAT-03517,6.5,8.6,5.59,0.74,1.45,0.4333,1470496,0.23,338214,569938,509195,0.39,57640,59888,1.49
RISK-000138,ORG-004,BU-0023,AST-06042,VULN-008684,THREAT-01110,7.1,10,7.1,0.48,3.69,0.4733,3077176,0.593,1824765,3581099,2899095,1.39,133928,152544,3.63
RISK-000139,ORG-012,BU-0071,AST-01365,VULN-029465,THREAT-01641,5.0,9.3,4.65,0.8,0.93,0.3333,4893259,0.698,3415495,9770324,6346592,0.42,283278,295176,0.84
RISK-000140,ORG-015,BU-0094,AST-04392,VULN-021113,THREAT-00885,3.1,3.5,1.08,0.4,0.65,0.2067,6304221,0.121,762811,1783216,1297776,0.09,173397,174958,0.7
RISK-000141,ORG-020,BU-0124,AST-01902,VULN-019944,THREAT-02044,2.9,3.6,1.04,0.28,0.75,0.1933,107749,0.165,17779,60268,35859,0.12,127810,129344,0.75
RISK-000142,ORG-005,BU-0031,AST-09016,VULN-016940,THREAT-03192,4.2,5.4,2.27,0.32,1.54,0.28,314712,0.586,184421,302909,275294,0.18,390727,397760,1.56
