asset_control_id,asset_id,control_id,enabled,coverage_percentage,effectiveness_score,last_verified,configuration_score,control_failure_count,residual_risk
AC-000093,AST-00017,CTRL-0216,True,65,0.28,2026-06-08,0.82,2,4.05
AC-000094,AST-00017,CTRL-0217,True,97,0.42,2026-07-03,0.71,1,3.25
AC-000095,AST-00017,CTRL-0212,True,80,0.42,2026-06-11,0.88,0,2.89
AC-000096,AST-00017,CTRL-0218,False,0,0.0,2026-07-25,0.13,4,5.2
AC-000097,AST-00018,CTRL-0327,True,100,0.65,2026-08-12,0.59,3,1.6
AC-000098,AST-00018,CTRL-0328,True,92,0.95,2026-07-15,0.64,3,0.64
AC-000099,AST-00018,CTRL-0340,True,65,0.44,2026-07-20,0.73,3,3.06
AC-000100,AST-00018,CTRL-0338,False,0,0.0,2026-06-30,0.1,6,4.25
AC-000101,AST-00018,CTRL-0330,True,77,0.96,2026-07-13,0.65,0,1.28
AC-000102,AST-00018,CTRL-0334,True,62,0.61,2026-07-14,0.91,2,2.97
AC-000103,AST-00019,CTRL-0126,True,81,0.41,2026-06-28,0.94,0,5.71
AC-000104,AST-00019,CTRL-0124,False,0,0.0,2026-08-08,0.26,8,8.8
AC-000105,AST-00019,CTRL-0120,False,0,0.0,2026-07-20,0.06,2,9.44
AC-000106,AST-00019,CTRL-0118,False,0,0.0,2026-08-07,0.07,2,8.73
AC-000107,AST-00019,CTRL-0127,True,81,0.58,2026-07-22,0.76,0,4.11
AC-000108,AST-00019,CTRL-0128,False,0,0.0,2026-06-09,0.08,3,8.85
AC-000109,AST-00020,CTRL-0045,True,98,0.35,2026-06-30,0.55,3,2.38
AC-000110,AST-00020,CTRL-0044,True,65,0.87,2026-07-25,0.52,3,1.31
AC-000111,AST-00020,CTRL-0042,True,93,0.93,2026-06-28,0.74,0,0.4
AC-000112,AST-00020,CTRL-0047,True,94,0.67,2026-08-11,0.71,1,1.03
AC-000113,AST-00021,CTRL-0230,False,0,0.0,2026-06-24,0.02,8,0.96
AC-000114,AST-00021,CTRL-0223,False,0,0.0,2026-06-10,0.26,3,1.11
AC-000115,AST-00021,CTRL-0233,True,84,0.46,2026-06-22,0.72,1,0.67
AC-000116,AST-00021,CTRL-0234,True,79,0.67,2026-07-06,0.68,2,0.57
AC-000117,AST-00021,CTRL-0236,True,64,0.46,2026-07-17,0.61,1,0.85
AC-000118,AST-00022,CTRL-0311,False,0,0.0,2026-07-25,0.07,3,4.76
AC-000119,AST-00022,CTRL-0315,True,72,0.56,2026-06-25,0.73,2,3.28
AC-000120,AST-00022,CTRL-0326,True,78,0.8,2026-07-29,0.59,1,2.58
AC-000121,AST-00023,CTRL-0121,True,76,0.81,2026-08-03,0.57,3,0.65
AC-000122,AST-00023,CTRL-0123,False,0,0.0,2026-07-13,0.09,9,1.58
AC-000123,AST-00023,CTRL-0127,True,82,0.73,2026-08-19,0.83,2,0.73
AC-000124,AST-00023,CTRL-0120,False,0,0.0,2026-06-25,0.24,0,1.88
AC-000125,AST-00024,CTRL-0064,True,92,0.35,2026-07-24,0.94,1,5.7
AC-000126,AST-00024,CTRL-0060,False,0,0.0,2026-07-11,0.11,3,8.18
AC-000127,AST-00024,CTRL-0059,True,82,0.58,2026-06-07,0.86,3,4.21
AC-000128,AST-00024,CTRL-0058,True,79,0.5,2026-09-03,0.97,2,4.88
AC-000129,AST-00025,CTRL-0374,True,60,0.82,2026-08-23,0.92,0,2.37
AC-000130,AST-00025,CTRL-0355,False,0,0.0,2026-08-01,0.03,5,5.58
AC-000131,AST-00025,CTRL-0357,True,68,0.33,2026-07-02,0.51,1,3.83
AC-000132,AST-00025,CTRL-0364,True,89,0.78,2026-07-14,0.84,2,1.95
AC-000133,AST-00025,CTRL-0365,True,74,0.79,2026-07-16,0.64,0,1.51
AC-000134,AST-00025,CTRL-0353,True,82,0.66,2026-07-21,0.89,1,2.34
AC-000135,AST-00025,CTRL-0354,False,0,0.0,2026-08-17,0.09,5,5.2
AC-000136,AST-00025,CTRL-0362,True,100,0.64,2026-08-26,0.94,0,1.59
AC-000137,AST-00026,CTRL-0348,True,71,0.58,2026-06-24,0.84,3,1.8
AC-000138,AST-00026,CTRL-0349,True,69,0.94,2026-08-27,0.88,1,1.34
AC-000139,AST-00026,CTRL-0344,True,84,0.58,2026-08-19,0.99,3,1.54
AC-000140,AST-00026,CTRL-0347,True,85,0.85,2026-07-09,0.99,1,0.93
AC-000141,AST-00026,CTRL-0346,True,91,0.35,2026-07-24,0.95,2,2.15
AC-000142,AST-00027,CTRL-0101,False,0,0.0,2026-07-11,0.16,10,10.67
AC-000143,AST-00027,CTRL-0100,True,100,0.34,2026-07-31,0.52,3,5.36
AC-000144,AST-00027,CTRL-0103,True,95,0.76,2026-06-27,0.77,2,2.74
AC-000145,AST-00027,CTRL-0105,True,66,0.32,2026-07-30,0.9,0,7.21
AC-000146,AST-00027,CTRL-0095,True,70,0.67,2026-08-27,0.54,3,4.97
AC-000147,AST-00027,CTRL-0104,True,62,0.76,2026-08-31,0.93,2,5.83
AC-000148,AST-00027,CTRL-0098,True,86,0.79,2026-06-20,0.57,0,2.96
AC-000149,AST-00027,CTRL-0114,True,85,0.36,2026-06-07,0.89,0,5.77
AC-000150,AST-00028,CTRL-0038,True,78,0.4,2026-06-21,0.8,1,6.88
AC-000151,AST-00028,CTRL-0030,True,60,0.5,2026-06-12,0.93,2,7.13
AC-000152,AST-00028,CTRL-0029,True,62,0.49,2026-07-15,0.79,0,5.63
AC-000153,AST-00028,CTRL-0032,True,93,0.49,2026-08-08,0.59,3,5.05
AC-000154,AST-00029,CTRL-0218,False,0,0.0,2026-08-29,0.01,1,2.36
AC-000155,AST-00029,CTRL-0215,False,0,0.0,2026-06-28,0.12,3,1.89
AC-000156,AST-00029,CTRL-0211,False,0,0.0,2026-06-12,0.04,3,2.06
AC-000157,AST-00030,CTRL-0389,True,72,0.59,2026-08-25,0.53,3,3.11
AC-000158,AST-00030,CTRL-0392,True,79,0.33,2026-08-14,0.88,3,4.66
AC-000159,AST-00030,CTRL-0376,False,0,0.0,2026-06-12,0.21,4,5.2
AC-000160,AST-00030,CTRL-0381,True,60,0.58,2026-07-22,0.73,2,3.89
AC-000161,AST-00031,CTRL-0259,True,83,0.73,2026-07-05,0.96,3,3.37
AC-000162,AST-00031,CTRL-0243,True,61,0.35,2026-06-12,0.62,1,7.15
AC-000163,AST-00031,CTRL-0253,False,0,0.0,2026-06-26,0.06,3,9.58
AC-000164,AST-00032,CTRL-0086,True,89,0.98,2026-07-28,0.81,3,1.41
AC-000165,AST-00032,CTRL-0092,True,63,0.38,2026-06-13,0.95,2,6.54
AC-000166,AST-00032,CTRL-0087,False,0,0.0,2026-07-10,0.16,6,7.98
AC-000167,AST-00032,CTRL-0083,False,0,0.0,2026-06-16,0.05,9,6.42
AC-000168,AST-00032,CTRL-0093,True,77,0.8,2026-08-04,0.6,3,3.06
AC-000169,AST-00032,CTRL-0090,True,78,0.68,2026-06-06,0.86,0,3.5
AC-000170,AST-00032,CTRL-0094,True,61,0.42,2026-07-12,0.55,1,5.79
AC-000171,AST-00032,CTRL-0089,False,0,0.0,2026-06-23,0.21,8,6.43
AC-000172,AST-00033,CTRL-0281,False,0,0.0,2026-08-26,0.15,5,0.91
AC-000173,AST-00033,CTRL-0278,True,65,0.53,2026-07-22,0.87,1,0.75
AC-000174,AST-00033,CTRL-0275,True,79,0.73,2026-09-03,0.97,1,0.43
AC-000175,AST-00033,CTRL-0285,True,76,0.44,2026-08-16,0.99,2,0.79
AC-000176,AST-00034,CTRL-0120,False,0,0.0,2026-08-21,0.03,6,8.41
AC-000177,AST-00034,CTRL-0124,False,0,0.0,2026-08-17,0.28,8,8.51
AC-000178,AST-00034,CTRL-0117,False,0,0.0,2026-08-17,0.19,9,6.65
AC-000179,AST-00035,CTRL-0086,True,89,0.86,2026-08-20,0.58,2,0.7
AC-000180,AST-00035,CTRL-0094,True,87,0.4,2026-07-20,0.67,3,2.69
AC-000181,AST-00035,CTRL-0090,True,89,0.58,2026-08-29,0.91,1,1.51
AC-000182,AST-00035,CTRL-0088,False,0,0.0,2026-07-13,0.15,1,4.51
AC-000183,AST-00035,CTRL-0089,False,0,0.0,2026-06-17,0.13,4,3.45
AC-000184,AST-00035,CTRL-0092,True,84,0.31,2026-07-03,0.53,0,3.03
AC-000185,AST-00035,CTRL-0083,False,0,0.0,2026-06-07,0.15,0,4.56
AC-000186,AST-00036,CTRL-0351,True,96,0.95,2026-06-28,0.88,3,1.26
AC-000187,AST-00036,CTRL-0346,True,81,0.35,2026-07-02,0.61,0,5.67
AC-000188,AST-00036,CTRL-0344,True,95,0.53,2026-06-10,0.7,0,3.64
AC-000189,AST-00036,CTRL-0345,False,0,0.0,2026-07-15,0.24,3,9.16
AC-000190,AST-00036,CTRL-0350,False,0,0.0,2026-06-07,0.09,6,8.19
AC-000191,AST-00037,CTRL-0141,True,87,0.72,2026-08-02,0.77,2,0.36
AC-000192,AST-00037,CTRL-0131,True,74,0.37,2026-06-23,0.95,2,0.73
AC-000193,AST-00037,CTRL-0135,False,0,0.0,2026-06-06,0.18,4,1.31
AC-000194,AST-00037,CTRL-0139,True,78,0.84,2026-08-05,0.62,1,0.39
AC-000195,AST-00037,CTRL-0144,False,0,0.0,2026-06-24,0.09,2,1.02
AC-000196,AST-00038,CTRL-0226,True,79,0.82,2026-08-11,0.83,1,1.77
AC-000197,AST-00038,CTRL-0234,True,75,0.69,2026-07-12,0.55,1,2.28
AC-000198,AST-00038,CTRL-0222,True,74,0.62,2026-08-02,0.64,2,2.83
AC-000199,AST-00038,CTRL-0228,False,0,0.0,2026-06-10,0.06,5,4.58
AC-000200,AST-00038,CTRL-0236,True,85,0.51,2026-06-14,0.61,0,2.79
AC-000201,AST-00038,CTRL-0225,True,81,0.63,2026-07-03,0.87,3,2.01
AC-000202,AST-00038,CTRL-0231,False,0,0.0,2026-08-13,0.05,1,3.95
AC-000203,AST-00038,CTRL-0227,True,71,0.96,2026-06-17,0.87,3,1.37
AC-000204,AST-00039,CTRL-0164,True,71,0.41,2026-06-28,0.52,1,5.23
AC-000205,AST-00039,CTRL-0163,True,76,0.51,2026-08-12,0.64,2,5.06
AC-000206,AST-00039,CTRL-0170,False,0,0.0,2026-06-09,0.19,1,7.2
AC-000207,AST-00039,CTRL-0172,True,99,0.69,2026-07-17,0.96,0,3.53
AC-000208,AST-00039,CTRL-0167,False,0,0.0,2026-09-03,0.07,7,8.31
AC-000209,AST-00039,CTRL-0178,False,0,0.0,2026-06-26,0.14,4,9.36
AC-000210,AST-00040,CTRL-0018,False,0,0.0,2026-06-29,0.02,1,9.19
AC-000211,AST-00040,CTRL-0024,True,90,0.61,2026-06-08,0.82,2,3.6
AC-000212,AST-00040,CTRL-0015,True,93,0.81,2026-08-29,0.57,2,2.53
AC-000213,AST-00040,CTRL-0022,True,93,0.52,2026-07-29,0.9,0,4.31
AC-000214,AST-00041,CTRL-0037,True,84,1.02,2026-07-04,0.74,0,2.31
AC-000215,AST-00041,CTRL-0030,True,82,0.41,2026-08-07,0.83,1,5.57
AC-000216,AST-00041,CTRL-0034,True,75,0.87,2026-06-17,0.7,1,2.43
AC-000217,AST-00041,CTRL-0032,True,96,0.47,2026-07-19,0.82,1,4.13
AC-000218,AST-00041,CTRL-0033,True,96,0.86,2026-08-10,0.8,0,2.37
AC-000219,AST-00041,CTRL-0029,True,68,0.51,2026-07-25,0.91,3,6.64
AC-000220,AST-00041,CTRL-0036,False,0,0.0,2026-07-05,0.24,2,10.34
AC-000221,AST-00041,CTRL-0031,False,0,0.0,2026-07-30,0.11,3,10.2
AC-000222,AST-00042,CTRL-0014,True,62,0.61,2026-07-17,0.56,1,0.81
AC-000223,AST-00042,CTRL-0019,True,73,0.63,2026-06-19,0.7,0,0.62
AC-000224,AST-00042,CTRL-0017,True,97,0.63,2026-08-25,0.9,1,0.56
AC-000225,AST-00042,CTRL-0016,True,96,0.29,2026-08-23,0.87,3,0.91
AC-000226,AST-00042,CTRL-0013,False,0,0.0,2026-06-06,0.0,0,1.43
AC-000227,AST-00042,CTRL-0025,False,0,0.0,2026-07-03,0.2,9,1.58
AC-000228,AST-00042,CTRL-0028,False,0,0.0,2026-07-30,0.26,10,1.6
AC-000229,AST-00042,CTRL-0023,False,0,0.0,2026-07-25,0.2,4,1.37
AC-000230,AST-00043,CTRL-0123,False,0,0.0,2026-08-12,0.14,10,8.92
AC-000231,AST-00043,CTRL-0120,False,0,0.0,2026-08-05,0.13,10,9.02
AC-000232,AST-00043,CTRL-0129,True,66,0.42,2026-08-25,0.99,1,6.5
AC-000233,AST-00044,CTRL-0016,True,90,0.31,2026-07-25,0.66,3,4.74
AC-000234,AST-00044,CTRL-0015,True,72,0.69,2026-08-28,0.73,2,2.79
AC-000235,AST-00044,CTRL-0028,False,0,0.0,2026-07-25,0.07,9,5.91
AC-000236,AST-00044,CTRL-0021,True,68,0.53,2026-08-18,0.9,3,4.3
AC-000237,AST-00044,CTRL-0019,True,94,0.76,2026-07-31,0.55,2,1.76
AC-000238,AST-00045,CTRL-0034,True,84,0.87,2026-07-15,0.53,3,1.48
AC-000239,AST-00045,CTRL-0029,True,77,0.47,2026-07-02,0.96,1,5.1
AC-000240,AST-00045,CTRL-0036,False,0,0.0,2026-07-07,0.24,3,8.09
AC-000241,AST-00045,CTRL-0039,True,64,0.73,2026-08-25,0.61,2,4.04
AC-000242,AST-00045,CTRL-0031,False,0,0.0,2026-06-09,0.27,1,9.07
AC-000243,AST-00045,CTRL-0032,True,69,0.51,2026-07-08,0.87,2,4.74
AC-000244,AST-00046,CTRL-0027,True,74,0.62,2026-06-29,0.88,0,3.27
AC-000245,AST-00046,CTRL-0021,True,61,0.52,2026-08-30,0.74,1,4.57
AC-000246,AST-00046,CTRL-0022,True,72,0.61,2026-09-01,0.93,1,3.98
AC-000247,AST-00047,CTRL-0151,False,0,0.0,2026-08-27,0.16,1,0.94
AC-000248,AST-00047,CTRL-0148,True,81,0.83,2026-07-09,0.85,0,0.3
AC-000249,AST-00047,CTRL-0162,True,78,0.57,2026-08-19,0.81,0,0.52
AC-000250,AST-00047,CTRL-0160,False,0,0.0,2026-08-23,0.19,9,0.95
AC-000251,AST-00047,CTRL-0153,True,73,1.01,2026-06-18,0.89,3,0.32
AC-000252,AST-00048,CTRL-0336,True,67,0.86,2026-08-19,0.82,0,1.84
AC-000253,AST-00048,CTRL-0341,True,95,0.78,2026-07-15,1.0,1,0.98
AC-000254,AST-00048,CTRL-0327,True,67,0.66,2026-08-05,0.93,0,2.4
AC-000255,AST-00048,CTRL-0343,False,0,0.0,2026-07-11,0.06,1,4.9
AC-000256,AST-00048,CTRL-0328,True,97,0.84,2026-06-17,0.87,0,0.42
AC-000257,AST-00048,CTRL-0333,True,79,0.96,2026-06-10,0.73,3,1.14
AC-000258,AST-00048,CTRL-0332,True,62,0.51,2026-08-19,0.91,0,3.21
AC-000259,AST-00048,CTRL-0329,False,0,0.0,2026-07-11,0.0,2,5.26
AC-000260,AST-00049,CTRL-0182,True,86,0.57,2026-07-10,0.75,2,2.27
AC-000261,AST-00049,CTRL-0183,True,92,0.31,2026-06-22,0.72,3,3.67
AC-000262,AST-00049,CTRL-0186,True,83,0.81,2026-06-26,0.63,1,1.23
AC-000263,AST-00049,CTRL-0179,True,77,0.73,2026-08-22,0.52,2,1.42
AC-000264,AST-00049,CTRL-0185,True,84,0.4,2026-06-13,0.87,1,3.41
AC-000265,AST-00049,CTRL-0180,True,74,0.48,2026-08-05,0.67,3,3.32
AC-000266,AST-00050,CTRL-0366,True,84,0.68,2026-07-25,0.62,1,2.04
AC-000267,AST-00050,CTRL-0367,True,100,0.42,2026-08-16,0.95,1,3.27
AC-000268,AST-00050,CTRL-0360,False,0,0.0,2026-09-01,0.05,8,5.66
AC-000269,AST-00050,CTRL-0372,True,74,0.66,2026-06-06,0.5,2,2.06
AC-000270,AST-00050,CTRL-0353,True,90,0.68,2026-07-05,0.56,3,1.94
AC-000271,AST-00050,CTRL-0370,True,84,0.64,2026-06-09,0.55,0,2.36
AC-000272,AST-00051,CTRL-0009,False,0,0.0,2026-06-25,0.17,7,8.52
AC-000273,AST-00051,CTRL-0011,False,0,0.0,2026-08-05,0.23,9,8.4
AC-000274,AST-00051,CTRL-0005,True,92,0.3,2026-06-22,0.66,0,6.67
AC-000275,AST-00051,CTRL-0012,True,66,0.75,2026-07-29,0.69,0,3.99
AC-000276,AST-00051,CTRL-0007,True,78,0.67,2026-06-15,0.54,2,4.3
AC-000277,AST-00051,CTRL-0006,False,0,0.0,2026-06-13,0.1,10,7.94
AC-000278,AST-00051,CTRL-0004,True,86,0.66,2026-08-03,0.8,0,3.66
AC-000279,AST-00051,CTRL-0002,False,0,0.0,2026-08-25,0.11,0,7.66
AC-000280,AST-00052,CTRL-0120,False,0,0.0,2026-06-29,0.02,5,9.22
AC-000281,AST-00052,CTRL-0129,True,78,0.42,2026-06-21,0.86,1,6.31
AC-000282,AST-00052,CTRL-0124,False,0,0.0,2026-06-20,0.02,7,7.81
AC-000283,AST-00052,CTRL-0117,False,0,0.0,2026-06-11,0.15,8,8.36
AC-000284,AST-00053,CTRL-0350,False,0,0.0,2026-06-18,0.24,10,8.57
AC-000285,AST-00053,CTRL-0344,True,99,0.56,2026-08-29,0.99,1,3.18
AC-000286,AST-00053,CTRL-0349,True,92,0.78,2026-08-18,0.61,0,1.21
AC-000287,AST-00053,CTRL-0346,True,90,0.35,2026-08-15,0.54,1,6.13
AC-000288,AST-00053,CTRL-0351,True,76,0.92,2026-06-11,0.84,2,3.0
AC-000289,AST-00053,CTRL-0345,False,0,0.0,2026-06-19,0.21,6,7.92
AC-000290,AST-00053,CTRL-0348,True,79,0.62,2026-08-22,0.99,2,4.15
AC-000291,AST-00053,CTRL-0347,True,76,0.92,2026-07-12,0.96,0,3.18
AC-000292,AST-00054,CTRL-0270,True,89,0.93,2026-07-15,0.55,2,1.42
AC-000293,AST-00054,CTRL-0268,True,64,0.89,2026-06-06,0.53,3,4.93
AC-000294,AST-00054,CTRL-0263,False,0,0.0,2026-06-25,0.2,8,10.04
AC-000295,AST-00054,CTRL-0265,True,69,0.8,2026-07-04,0.93,3,3.56
AC-000296,AST-00055,CTRL-0125,False,0,0.0,2026-06-17,0.19,1,6.3
AC-000297,AST-00055,CTRL-0117,False,0,0.0,2026-08-11,0.06,3,7.06
AC-000298,AST-00055,CTRL-0119,False,0,0.0,2026-08-23,0.26,6,6.03
AC-000299,AST-00055,CTRL-0118,False,0,0.0,2026-06-25,0.11,8,8.0
AC-000300,AST-00055,CTRL-0124,False,0,0.0,2026-08-22,0.06,7,7.63
AC-000301,AST-00055,CTRL-0121,True,65,0.88,2026-06-09,0.8,0,3.12
AC-000302,AST-00056,CTRL-0027,True,84,0.65,2026-06-16,0.65,2,4.32
AC-000303,AST-00056,CTRL-0014,True,65,0.7,2026-07-25,0.5,1,5.31
AC-000304,AST-00056,CTRL-0013,False,0,0.0,2026-06-30,0.14,1,8.65
AC-000305,AST-00056,CTRL-0022,True,97,0.61,2026-06-25,0.7,1,3.72
AC-000306,AST-00056,CTRL-0024,True,77,0.61,2026-06-19,0.68,1,4.18
AC-000307,AST-00056,CTRL-0026,True,86,1.02,2026-06-14,0.64,0,1.61
AC-000308,AST-00057,CTRL-0286,True,82,0.44,2026-07-26,0.61,2,4.35
