scenario_id,organization_id,budget,selected_controls,selected_remediations,total_investment,initial_EAL,projected_EAL,total_risk_reduction,risk_reduction_percentage,expected_loss_avoided,ROSI,ROI,optimization_score
OPT-00014,ORG-003,2500000,1,INV-00032;INV-00040;INV-00038;INV-00041,2491208,935368279,895352380,123.4,28.5,40015899,1506.3,16.06,55.1
OPT-00015,ORG-003,5000000,1,INV-00032;INV-00040;INV-00030;INV-00038;INV-00034...,4947430,935368279,859380170,198.2,45.7,75988109,1435.9,15.36,86.5
OPT-00016,ORG-003,10000000,1,INV-00032;INV-00040;INV-00030;INV-00038;INV-00034...,9313309,935368279,806669600,322.3,74.4,128698679,1281.9,13.82,138.4
OPT-00017,ORG-003,20000000,1,INV-00032;INV-00040;INV-00030;INV-00038;INV-00034...,13472037,935368279,765447009,420.1,95,169921270,1161.3,12.61,179.3
OPT-00018,ORG-003,50000000,1,INV-00032;INV-00040;INV-00030;INV-00038;INV-00034...,13472037,935368279,765447009,420.1,95,169921270,1161.3,12.61,179.3
OPT-00019,ORG-004,1000000,1,INV-00045;INV-00052,995825,1234278027,1215854637,60.6,15.1,18423390,1750.1,18.5,28.8
OPT-00020,ORG-004,2500000,1,INV-00045;INV-00052;INV-00050;INV-00048;INV-00043...,2147636,1234278027,1200661424,194.3,48.6,33616603,1465.3,15.65,82.8
OPT-00021,ORG-004,5000000,1,INV-00045;INV-00052;INV-00050;INV-00049;INV-00048...,4930735,1234278027,1160180610,253.1,63.3,74097417,1402.8,15.03,107.6
OPT-00022,ORG-004,10000000,1,INV-00045;INV-00052;INV-00050;INV-00049;INV-00046...,9877166,1234278027,1106365669,296.0,74.0,127912358,1195.0,12.95,126.5
OPT-00023,ORG-004,20000000,1,INV-00045;INV-00052;INV-00050;INV-00049;INV-00046...,10162623,1234278027,1104306816,333.6,83.4,129971211,1178.9,12.79,141.7
OPT-00024,ORG-004,50000000,1,INV-00045;INV-00052;INV-00050;INV-00049;INV-00046...,10162623,1234278027,1104306816,333.6,83.4,129971211,1178.9,12.79,141.7
OPT-00025,ORG-005,1000000,1,INV-00060;INV-00059;INV-00062,924749,1156628787,1143309667,119.3,39.8,13319120,1340.3,14.4,52.2
OPT-00026,ORG-005,2500000,1,INV-00060;INV-00061;INV-00063;INV-00059,2369753,1156628787,1126132881,108.1,36.0,30495906,1186.9,12.87,48.3
OPT-00027,ORG-005,5000000,1,INV-00060;INV-00056;INV-00061;INV-00055;INV-00059...,4885917,1156628787,1085170551,204.7,68.2,71458236,1362.5,14.63,88.4
OPT-00028,ORG-005,10000000,1,INV-00060;INV-00056;INV-00061;INV-00055;INV-00063...,7413122,1156628787,1060974569,275.4,91.8,95654218,1190.3,12.9,117.5
OPT-00029,ORG-005,20000000,1,INV-00060;INV-00056;INV-00061;INV-00055;INV-00063...,7413122,1156628787,1060974569,275.4,91.8,95654218,1190.3,12.9,117.5
OPT-00030,ORG-005,50000000,1,INV-00060;INV-00056;INV-00061;INV-00055;INV-00063...,7413122,1156628787,1060974569,275.4,91.8,95654218,1190.3,12.9,117.5
OPT-00031,ORG-006,1000000,1,INV-00064,984983,1604855541,1585761491,39.3,11.8,19094050,1838.5,19.39,20.2
OPT-00032,ORG-006,2500000,1,INV-00064;INV-00067;INV-00069;INV-00073,2124345,1604855541,1567438128,120.7,36.2,37417413,1661.4,17.61,53.2
OPT-00033,ORG-006,5000000,1,INV-00064;INV-00067;INV-00069;INV-00066;INV-00068...,4998541,1604855541,1534757566,192.9,57.9,70097975,1302.4,14.02,82.9
OPT-00034,ORG-006,10000000,1,INV-00064;INV-00067;INV-00069;INV-00066;INV-00068...,7066542,1604855541,1513660878,275.7,82.7,91194663,1190.5,12.91,116.6
OPT-00035,ORG-006,20000000,1,INV-00064;INV-00067;INV-00069;INV-00066;INV-00068...,7066542,1604855541,1513660878,275.7,82.7,91194663,1190.5,12.91,116.6
OPT-00036,ORG-006,50000000,1,INV-00064;INV-00067;INV-00069;INV-00066;INV-00068...,7066542,1604855541,1513660878,275.7,82.7,91194663,1190.5,12.91,116.6
OPT-00037,ORG-007,1000000,0,,0,13029785825,13029785825,0,0,0,0,0,0.0
OPT-00038,ORG-007,2500000,1,INV-00078,2149439,13029785825,13009843039,44.3,13.3,19942786,827.8,9.28,21.8
OPT-00039,ORG-007,5000000,1,INV-00082;INV-00074,4886431,13029785825,12970007244,30.0,9.0,59778581,1123.4,12.23,16.2
OPT-00040,ORG-007,10000000,1,INV-00079;INV-00082,8322223,13029785825,12890067030,26.8,8.0,139718795,1578.9,16.79,15.1
OPT-00041,ORG-007,20000000,1,INV-00079;INV-00082;INV-00077;INV-00083;INV-00078...,18707050,13029785825,12771059845,160.5,48.2,258725980,1283.0,13.83,69.0
OPT-00042,ORG-007,50000000,1,INV-00079;INV-00082;INV-00077;INV-00083;INV-00078...,34955630,13029785825,12658496986,255.9,76.8,371288839,962.2,10.62,107.5
OPT-00043,ORG-008,1000000,1,INV-00094;INV-00085;INV-00088;INV-00087;INV-00084,994212,198359090,181547655,161.8,34.7,16811435,1590.9,16.91,72.1
OPT-00044,ORG-008,2500000,1,INV-00094;INV-00085;INV-00088;INV-00097;INV-00095...,2474647,198359090,156699699,212.3,45.5,41659391,1583.4,16.83,97.3
OPT-00045,ORG-008,5000000,1,INV-00094;INV-00085;INV-00088;INV-00097;INV-00095...,4851400,198359090,133702777,411.4,88.2,64656313,1232.7,13.33,181.6
OPT-00046,ORG-008,10000000,1,INV-00094;INV-00085;INV-00088;INV-00097;INV-00095...,5033369,198359090,132923822,432.7,92.7,65435268,1200.0,13.0,190.3
OPT-00047,ORG-008,20000000,1,INV-00094;INV-00085;INV-00088;INV-00097;INV-00095...,5033369,198359090,132923822,432.7,92.7,65435268,1200.0,13.0,190.3
OPT-00048,ORG-008,50000000,1,INV-00094;INV-00085;INV-00088;INV-00097;INV-00095...,5033369,198359090,132923822,432.7,92.7,65435268,1200.0,13.0,190.3
OPT-00049,ORG-009,1000000,1,INV-00104;INV-00106;INV-00105,801231,1048805376,1040424437,68.5,22.8,8380939,946.0,10.46,31.7
OPT-00050,ORG-009,2500000,1,INV-00098;INV-00104;INV-00106;INV-00105,2098596,1048805376,1019616106,83.7,27.9,29189270,1290.9,13.91,38.6
OPT-00051,ORG-009,5000000,1,INV-00098;INV-00104;INV-00106;INV-00102;INV-00101...,4222646,1048805376,1004907001,143.9,48.0,43898375,939.6,10.4,63.2
OPT-00052,ORG-009,10000000,1,INV-00098;INV-00104;INV-00106;INV-00102;INV-00101...,9145518,1048805376,978155769,186.7,62.2,70649607,672.5,7.73,81.4
OPT-00053,ORG-009,20000000,1,INV-00098;INV-00104;INV-00106;INV-00102;INV-00101...,9145518,1048805376,978155769,186.7,62.2,70649607,672.5,7.73,81.4
OPT-00054,ORG-009,50000000,1,INV-00098;INV-00104;INV-00106;INV-00102;INV-00101...,9145518,1048805376,978155769,186.7,62.2,70649607,672.5,7.73,81.4
OPT-00055,ORG-010,1000000,1,INV-00119;INV-00110,627331,1239516668,1229884237,51.1,11.8,9632431,1435.5,15.35,24.8
OPT-00056,ORG-010,2500000,1,INV-00119;INV-00113;INV-00112;INV-00110,2489855,1239516668,1203874173,109.9,25.4,35642495,1331.5,14.32,49.1
OPT-00057,ORG-010,5000000,1,INV-00119;INV-00113;INV-00114;INV-00117;INV-00110,4570713,1239516668,1173991336,154.9,35.7,65525332,1333.6,14.34,68.1
OPT-00058,ORG-010,10000000,1,INV-00119;INV-00113;INV-00114;INV-00117;INV-00116...,9237059,1239516668,1114587896,278.3,64.2,124928772,1252.5,13.52,119.4
OPT-00059,ORG-010,20000000,1,INV-00119;INV-00113;INV-00114;INV-00117;INV-00116...,14457614,1239516668,1081819964,414.7,95,157696704,990.8,10.91,175.0
OPT-00060,ORG-010,50000000,1,INV-00119;INV-00113;INV-00114;INV-00117;INV-00116...,14457614,1239516668,1081819964,414.7,95,157696704,990.8,10.91,175.0
OPT-00061,ORG-011,1000000,1,INV-00123,979652,2145612178,2126569905,36.4,7.8,19042273,1843.8,19.44,18.9
OPT-00062,ORG-011,2500000,1,INV-00123;INV-00127;INV-00129;INV-00125,2309303,2145612178,2105699709,127.1,27.2,39912469,1628.3,17.28,55.6
OPT-00063,ORG-011,5000000,1,INV-00123;INV-00121;INV-00127;INV-00129;INV-00125...,4646250,2145612178,2066360653,210.4,45.1,79251525,1605.7,17.06,89.6
OPT-00064,ORG-011,10000000,1,INV-00123;INV-00121;INV-00127;INV-00129;INV-00125...,9792575,2145612178,2004458108,303.3,65.0,141154070,1341.4,14.41,128.0
OPT-00065,ORG-011,20000000,1,INV-00123;INV-00121;INV-00127;INV-00129;INV-00125...,12889620,2145612178,1985834507,435.4,93.3,159777671,1139.6,12.4,181.1
OPT-00066,ORG-011,50000000,1,INV-00123;INV-00121;INV-00127;INV-00129;INV-00125...,12889620,2145612178,1985834507,435.4,93.3,159777671,1139.6,12.4,181.1
OPT-00067,ORG-012,1000000,1,INV-00141;INV-00146,800064,1554866867,1541164195,46.8,10.8,13702672,1612.7,17.13,23.1
OPT-00068,ORG-012,2500000,1,INV-00141;INV-00140;INV-00146,2341677,1554866867,1512935203,59.8,13.8,41931664,1690.7,17.91,29.0
OPT-00069,ORG-012,5000000,1,INV-00141;INV-00140;INV-00142;INV-00145;INV-00146...,4552576,1554866867,1477774401,158.3,36.5,77092466,1593.4,16.93,69.3
OPT-00070,ORG-012,10000000,1,INV-00141;INV-00140;INV-00142;INV-00145;INV-00139...,9221822,1554866867,1422963043,228.5,52.7,131903824,1330.3,14.3,98.8
OPT-00071,ORG-012,20000000,1,INV-00141;INV-00140;INV-00142;INV-00145;INV-00139...,15219915,1554866867,1379874758,363.5,83.9,174992109,1049.8,11.5,153.9
OPT-00072,ORG-012,50000000,1,INV-00141;INV-00140;INV-00142;INV-00145;INV-00139...,15219915,1554866867,1379874758,363.5,83.9,174992109,1049.8,11.5,153.9
OPT-00073,ORG-013,1000000,1,INV-00156,753690,20412391090,20402675021,11.0,2.2,9716069,1189.1,12.89,8.4
OPT-00074,ORG-013,2500000,1,INV-00157;INV-00156,2493025,20412391090,20376227037,35.4,7.1,36164053,1350.6,14.51,18.2
OPT-00075,ORG-013,5000000,1,INV-00154,4549009,20412391090,20341122697,13.1,2.6,71268393,1466.7,15.67,9.4
OPT-00076,ORG-013,10000000,1,INV-00154;INV-00157;INV-00156;INV-00160;INV-00149,9454507,20412391090,20285932475,107.0,21.4,126458615,1237.5,13.38,47.0
OPT-00077,ORG-013,20000000,1,INV-00154;INV-00157;INV-00147;INV-00156;INV-00161...,19842174,20412391090,20152887651,160.4,32.1,259503439,1207.8,13.08,68.7
OPT-00078,ORG-013,50000000,1,INV-00154;INV-00157;INV-00147;INV-00156;INV-00161...,43968604,20412391090,19968343292,393.6,78.7,444047798,909.9,10.1,162.3
OPT-00079,ORG-014,1000000,1,INV-00162;INV-00164;INV-00167,888289,65808867,50657839,81.5,22.2,15151028,1605.6,17.06,45.8
OPT-00080,ORG-014,2500000,1,INV-00162;INV-00163;INV-00170;INV-00165;INV-00164,2493395,65808867,26872743,142.2,38.8,38936124,1461.6,15.62,84.5
OPT-00081,ORG-014,5000000,1,INV-00162;INV-00163;INV-00170;INV-00165;INV-00168...,4964314,65808867,3872677,240.2,65.5,61936190,1147.6,12.48,137.7
OPT-00082,ORG-014,10000000,1,INV-00162;INV-00163;INV-00170;INV-00165;INV-00168...,5162329,65808867,2964560,254.7,69.5,62844307,1117.4,12.17,144.1
OPT-00083,ORG-014,20000000,1,INV-00162;INV-00163;INV-00170;INV-00165;INV-00168...,5162329,65808867,2964560,254.7,69.5,62844307,1117.4,12.17,144.1
OPT-00084,ORG-014,50000000,1,INV-00162;INV-00163;INV-00170;INV-00165;INV-00168...,5162329,65808867,2964560,254.7,69.5,62844307,1117.4,12.17,144.1
OPT-00085,ORG-015,1000000,0,,0,11658552585,11658552585,0,0,0,0,0,0.0
OPT-00086,ORG-015,2500000,1,INV-00180,1432024,11658552585,11633269046,41.4,8.3,25283539,1665.6,17.66,20.6
OPT-00087,ORG-015,5000000,1,INV-00180;INV-00179,4996913,11658552585,11577306590,68.5,13.7,81245995,1525.9,16.26,31.7
OPT-00088,ORG-015,10000000,1,INV-00180;INV-00177;INV-00187,9703093,11658552585,11495643501,72.9,14.6,162909084,1578.9,16.79,33.7
OPT-00089,ORG-015,20000000,1,INV-00180;INV-00177;INV-00179;INV-00187;INV-00186...,19416856,11658552585,11372948797,164.3,32.9,285603788,1370.9,14.71,70.7
OPT-00090,ORG-015,50000000,1,INV-00180;INV-00177;INV-00179;INV-00187;INV-00186...,49013445,11658552585,11131184497,376.1,75.2,527368088,976.0,10.76,156.2
OPT-00091,ORG-016,1000000,1,INV-00192;INV-00188,991505,52217850,35301632,75.0,28.1,16916218,1606.1,17.06,47.0
OPT-00092,ORG-016,2500000,1,INV-00192;INV-00191;INV-00194;INV-00188,2493586,52217850,10031881,104.7,39.3,42185969,1591.8,16.92,78.2
OPT-00093,ORG-016,5000000,1,INV-00192;INV-00191;INV-00194;INV-00190;INV-00188...,4765428,52217850,0,207.2,77.7,65668420,1278.0,13.78,137.2
OPT-00094,ORG-016,10000000,1,INV-00192;INV-00191;INV-00194;INV-00190;INV-00188...,4765428,52217850,0,207.2,77.7,65668420,1278.0,13.78,137.2
OPT-00095,ORG-016,20000000,1,INV-00192;INV-00191;INV-00194;INV-00190;INV-00188...,4765428,52217850,0,207.2,77.7,65668420,1278.0,13.78,137.2
OPT-00096,ORG-016,50000000,1,INV-00192;INV-00191;INV-00194;INV-00190;INV-00188...,4765428,52217850,0,207.2,77.7,65668420,1278.0,13.78,137.2
OPT-00097,ORG-017,1000000,1,INV-00205,938740,17524251606,17506913456,11.1,3.0,17338150,1747.0,18.47,8.5
OPT-00098,ORG-017,2500000,1,INV-00203;INV-00205,2220366,17524251606,17481293276,41.3,11.3,42958330,1834.7,19.35,20.6
OPT-00099,ORG-017,5000000,1,INV-00203;INV-00205;INV-00201;INV-00198,4638375,17524251606,17441173484,98.1,26.8,83078122,1691.1,17.91,43.4
OPT-00100,ORG-017,10000000,1,INV-00203;INV-00205;INV-00201;INV-00198;INV-00197...,7135968,17524251606,17410438542,176.1,48.0,113813064,1494.9,15.95,74.7
OPT-00101,ORG-017,20000000,1,INV-00203;INV-00205;INV-00201;INV-00198;INV-00197...,17820631,17524251606,17337406932,239.1,65.2,186844674,948.5,10.48,100.1
OPT-00102,ORG-017,50000000,1,INV-00203;INV-00205;INV-00201;INV-00198;INV-00197...,29104042,17524251606,17283521359,290.6,79.3,240730247,727.1,8.27,120.8
OPT-00103,ORG-018,1000000,1,INV-00213;INV-00217,898354,3438868379,3427885535,56.0,15.3,10982844,1122.6,12.23,26.5
OPT-00104,ORG-018,2500000,1,INV-00213;INV-00207,2216536,3438868379,3408388061,33.1,9.0,30480318,1275.1,13.75,17.6
OPT-00105,ORG-018,5000000,1,INV-00209;INV-00213;INV-00217,3719284,3438868379,3386093721,81.4,22.2,52774658,1318.9,14.19,37.2
OPT-00106,ORG-018,10000000,1,INV-00209;INV-00213;INV-00210;INV-00207;INV-00214,9948729,3438868379,3310865557,135.2,36.9,128002822,1186.6,12.87,59.6
OPT-00107,ORG-018,20000000,1,INV-00209;INV-00213;INV-00210;INV-00207;INV-00211...,18837024,3438868379,3202553543,194.6,53.1,236314836,1154.5,12.55,84.6
OPT-00108,ORG-018,50000000,1,INV-00209;INV-00213;INV-00210;INV-00207;INV-00211...,31563940,3438868379,3104797953,286.8,78.2,334070426,958.4,10.58,122.6
OPT-00109,ORG-019,1000000,1,INV-00230,945795,5172463803,5158445613,41.0,9.5,14018190,1382.2,14.82,20.5
OPT-00110,ORG-019,2500000,1,INV-00220;INV-00223,2191322,5172463803,5136015552,69.0,15.9,36448251,1563.3,16.63,31.9
OPT-00111,ORG-019,5000000,1,INV-00220;INV-00226;INV-00223,4359157,5172463803,5101193423,98.4,22.7,71270380,1535.0,16.35,43.9
OPT-00112,ORG-019,10000000,1,INV-00220;INV-00226;INV-00223;INV-00230;INV-00228...,9841690,5172463803,5038052055,213.5,49.3,134411748,1265.7,13.66,90.4
OPT-00113,ORG-019,20000000,1,INV-00220;INV-00226;INV-00223;INV-00230;INV-00228...,19932643,5172463803,4942014578,254.8,58.8,230449225,1056.1,11.56,107.7
OPT-00114,ORG-019,50000000,1,INV-00220;INV-00226;INV-00223;INV-00230;INV-00228...,32357257,5172463803,4866814456,359.4,82.9,305649347,844.6,9.45,150.1
OPT-00115,ORG-020,1000000,1,INV-00233;INV-00239,905391,166883347,149811036,41.9,12.6,17072311,1785.6,18.86,24.9
OPT-00116,ORG-020,2500000,1,INV-00233;INV-00239;INV-00232;INV-00235;INV-00231,2384369,166883347,126294640,110.6,33.2,40588707,1602.3,17.02,58.0
OPT-00117,ORG-020,5000000,1,INV-00233;INV-00239;INV-00232;INV-00235;INV-00231...,4260636,166883347,107833222,234.9,70.5,59050125,1285.9,13.86,112.1
OPT-00118,ORG-020,10000000,1,INV-00233;INV-00239;INV-00232;INV-00235;INV-00231...,4260636,166883347,107833222,234.9,70.5,59050125,1285.9,13.86,112.1
OPT-00119,ORG-020,20000000,1,INV-00233;INV-00239;INV-00232;INV-00235;INV-00231...,4260636,166883347,107833222,234.9,70.5,59050125,1285.9,13.86,112.1
OPT-00120,ORG-020,50000000,1,INV-00233;INV-00239;INV-00232;INV-00235;INV-00231...,4260636,166883347,107833222,234.9,70.5,59050125,1285.9,13.86,112.1
OPT-00121,ORG-021,1000000,1,INV-00243,797625,771816683,756740699,10.9,2.7,15075984,1790.1,18.9,9.1
OPT-00122,ORG-021,2500000,1,INV-00243;INV-00251;INV-00244;INV-00241,2302810,771816683,734908494,114.3,28.6,36908189,1502.7,16.03,51.6
OPT-00123,ORG-021,5000000,1,INV-00243;INV-00251;INV-00244;INV-00252;INV-00241...,4806679,771816683,700893196,197.6,49.4,70923487,1375.5,14.76,86.7
OPT-00124,ORG-021,10000000,1,INV-00243;INV-00251;INV-00244;INV-00252;INV-00241...,9452745,771816683,661141769,313.4,78.4,110674914,1070.8,11.71,135.1
OPT-00125,ORG-021,20000000,1,INV-00243;INV-00251;INV-00244;INV-00252;INV-00241...,12753343,771816683,641967353,377.7,94.4,129849330,918.2,10.18,161.8
OPT-00126,ORG-021,50000000,1,INV-00243;INV-00251;INV-00244;INV-00252;INV-00241...,12753343,771816683,641967353,377.7,94.4,129849330,918.2,10.18,161.8
OPT-00127,ORG-022,1000000,1,INV-00255,451546,4408465877,4406244253,17.4,5.2,2221624,392.0,4.92,11.0
OPT-00128,ORG-022,2500000,1,INV-00256,2370268,4408465877,4369371668,44.7,13.4,39094209,1549.4,16.49,22.2
OPT-00129,ORG-022,5000000,1,INV-00256;INV-00253,4668973,4408465877,4336969405,75.0,22.5,71496472,1431.3,15.31,34.6
OPT-00130,ORG-022,10000000,1,INV-00262;INV-00256;INV-00261;INV-00255,9472787,4408465877,4247964623,98.6,29.6,160501254,1594.3,16.94,44.9
OPT-00131,ORG-022,20000000,1,INV-00262;INV-00256;INV-00259;INV-00253;INV-00257,19757092,4408465877,4098134966,122.2,36.7,310330911,1470.7,15.71,55.7
OPT-00132,ORG-022,50000000,1,INV-00262;INV-00256;INV-00259;INV-00253;INV-00257...,29113915,4408465877,4022744274,226.9,68.1,385721603,1224.9,13.25,98.3
OPT-00133,ORG-023,1000000,1,INV-00269;INV-00273,945557,12425907565,12410986883,62.2,17.0,14920682,1478.0,15.78,28.9
OPT-00134,ORG-023,2500000,1,INV-00263;INV-00269;INV-00273,2414237,12425907565,12386744727,72.3,19.7,39162838,1522.2,16.22,33.0
OPT-00135,ORG-023,5000000,1,INV-00263;INV-00269;INV-00273;INV-00271,3895165,12425907565,12366351802,109.7,29.9,59555763,1429.0,15.29,48.1
OPT-00136,ORG-023,10000000,1,INV-00263;INV-00269;INV-00273;INV-00271;INV-00272...,8686540,12425907565,12310274299,156.3,42.6,115633266,1231.2,13.31,66.9
OPT-00137,ORG-023,20000000,1,INV-00263;INV-00269;INV-00273;INV-00271;INV-00272...,19715071,12425907565,12199332430,205.0,55.9,226575135,1049.2,11.49,86.7
OPT-00138,ORG-023,50000000,1,INV-00263;INV-00269;INV-00273;INV-00271;INV-00272...,27916672,12425907565,12151784346,236.3,64.4,274123219,881.9,9.82,99.4
OPT-00139,ORG-024,1000000,0,,0,16706660239,16706660239,0,0,0,0,0,0.0
OPT-00140,ORG-024,2500000,1,INV-00275,1353306,16706660239,16681518898,38.5,14.4,25141341,1757.8,18.58,19.5
OPT-00141,ORG-024,5000000,1,INV-00275;INV-00276,3637533,16706660239,16651781514,74.1,27.8,54878725,1408.7,15.09,33.8
OPT-00142,ORG-024,10000000,1,INV-00275;INV-00276;INV-00279;INV-00277;INV-00281,9401353,16706660239,16580120106,153.2,57.4,126540133,1246.0,13.46,65.6
OPT-00143,ORG-024,20000000,1,INV-00275;INV-00276;INV-00279;INV-00277;INV-00280...,17672146,16706660239,16492573520,209.9,78.7,214086719,1111.4,12.11,88.5
OPT-00144,ORG-024,50000000,1,INV-00275;INV-00276;INV-00279;INV-00277;INV-00280...,17672146,16706660239,16492573520,209.9,78.7,214086719,1111.4,12.11,88.5
OPT-00145,ORG-025,1000000,1,INV-00290;INV-00282;INV-00288;INV-00287;INV-00284,948545,34438441,22331174,143.6,39.2,12107267,1176.4,12.76,75.5
OPT-00146,ORG-025,2500000,1,INV-00290;INV-00292;INV-00282;INV-00288;INV-00291...,2439712,34438441,228853,166.8,45.5,34209588,1302.2,14.02,110.5
OPT-00147,ORG-025,5000000,1,INV-00290;INV-00292;INV-00282;INV-00288;INV-00291...,4333543,34438441,0,284.7,77.6,45338885,946.2,10.46,170.5
OPT-00148,ORG-025,10000000,1,INV-00290;INV-00292;INV-00282;INV-00288;INV-00291...,4333543,34438441,0,284.7,77.6,45338885,946.2,10.46,170.5
OPT-00149,ORG-025,20000000,1,INV-00290;INV-00292;INV-00282;INV-00288;INV-00291...,4333543,34438441,0,284.7,77.6,45338885,946.2,10.46,170.5
OPT-00150,ORG-025,50000000,1,INV-00290;INV-00292;INV-00282;INV-00288;INV-00291...,4333543,34438441,0,284.7,77.6,45338885,946.2,10.46,170.5
