iam_event_id,organization_id,asset_id,user_count,privileged_user_count,orphan_accounts,inactive_accounts,mfa_enabled_percentage,excessive_privilege_count,failed_login_count,suspicious_login_count,password_policy_score,privileged_access_risk,identity_risk_score
IAM-000025,ORG-024,AST-00025,69,4,2,5,30,3,160,25,0.61,High,9.5
IAM-000026,ORG-023,AST-00026,384,19,2,2,35,13,93,14,0.46,High,7.8
IAM-000027,ORG-008,AST-00027,78,2,1,0,66,2,153,30,0.61,High,8.3
IAM-000028,ORG-003,AST-00028,427,20,16,26,79,18,59,0,0.93,High,7.0
IAM-000029,ORG-015,AST-00029,188,5,7,2,69,3,154,21,0.41,High,7.4
IAM-000030,ORG-025,AST-00030,95,6,3,1,49,2,54,1,0.75,Low,5.0
IAM-000031,ORG-017,AST-00031,465,4,8,20,66,3,107,3,0.8,High,6.7
IAM-000032,ORG-007,AST-00032,268,16,5,6,80,10,60,6,0.96,High,4.5
IAM-000033,ORG-019,AST-00033,129,2,5,5,62,2,198,15,0.81,High,7.7
IAM-000034,ORG-009,AST-00034,90,8,4,3,79,4,180,11,0.98,Medium,5.1
IAM-000035,ORG-007,AST-00035,457,24,6,7,83,9,83,9,0.73,Medium,4.1
IAM-000036,ORG-023,AST-00036,333,19,1,13,67,12,85,7,0.36,High,4.5
IAM-000037,ORG-010,AST-00037,44,2,2,3,95,2,55,9,1.0,High,4.5
IAM-000038,ORG-016,AST-00038,121,7,3,11,56,0,177,1,0.57,Low,3.8
IAM-000039,ORG-012,AST-00039,378,36,7,18,85,24,153,11,0.9,High,5.7
IAM-000040,ORG-002,AST-00040,332,24,6,18,34,13,138,11,0.92,High,8.8
IAM-000041,ORG-003,AST-00041,316,16,6,17,37,11,36,6,0.4,High,8.4
IAM-000042,ORG-002,AST-00042,99,6,0,8,67,5,102,1,0.94,High,5.2
IAM-000043,ORG-009,AST-00043,442,27,22,27,43,15,133,7,0.94,High,10
IAM-000044,ORG-002,AST-00044,231,16,6,12,45,5,55,3,0.59,Medium,6.0
IAM-000045,ORG-003,AST-00045,455,42,19,1,68,16,106,5,0.44,Medium,7.7
IAM-000046,ORG-002,AST-00046,411,13,18,27,96,10,85,17,0.73,High,8.2
IAM-000047,ORG-011,AST-00047,249,1,11,22,90,0,48,1,0.39,Low,3.2
IAM-000048,ORG-022,AST-00048,382,5,9,8,65,0,1,1,0.75,Low,4.7
IAM-000049,ORG-013,AST-00049,130,7,5,7,49,2,15,0,0.38,Low,5.7
IAM-000050,ORG-024,AST-00050,245,19,9,18,94,12,68,11,0.59,High,5.1
IAM-000051,ORG-001,AST-00051,93,5,3,7,66,1,116,5,0.47,Low,4.3
IAM-000052,ORG-009,AST-00052,6,2,0,0,45,2,52,8,0.63,High,7.8
IAM-000053,ORG-023,AST-00053,282,3,12,10,63,2,76,6,0.93,High,7.9
IAM-000054,ORG-018,AST-00054,211,5,0,10,78,0,85,4,0.86,Low,1.8
IAM-000055,ORG-009,AST-00055,300,30,9,4,86,20,70,12,0.83,High,6.2
IAM-000056,ORG-002,AST-00056,115,8,1,6,43,8,34,2,0.88,High,7.3
IAM-000057,ORG-019,AST-00057,118,4,5,1,48,0,57,10,0.52,Low,5.5
IAM-000058,ORG-019,AST-00058,479,32,12,12,56,10,84,0,0.98,Medium,6.0
IAM-000059,ORG-024,AST-00059,237,6,11,0,73,3,144,2,0.65,Medium,5.6
IAM-000060,ORG-021,AST-00060,66,1,2,4,83,0,2,1,0.45,Low,1.7
IAM-000061,ORG-004,AST-00061,37,3,1,2,60,2,10,1,0.57,High,4.8
IAM-000062,ORG-004,AST-00062,226,8,6,22,89,1,169,23,0.53,Low,4.9
IAM-000063,ORG-013,AST-00063,111,5,4,7,100,0,183,1,0.84,Low,0.9
IAM-000064,ORG-025,AST-00064,81,8,2,5,74,8,158,23,0.91,High,7.9
IAM-000065,ORG-005,AST-00065,351,31,9,6,64,3,113,13,0.7,Medium,5.9
IAM-000066,ORG-013,AST-00066,133,12,2,13,84,8,118,14,0.46,High,5.0
IAM-000067,ORG-014,AST-00067,283,24,11,27,92,16,73,14,0.38,High,5.8
IAM-000068,ORG-023,AST-00068,6,2,0,0,41,0,143,1,0.68,Low,3.8
IAM-000069,ORG-004,AST-00069,108,2,1,1,36,1,152,22,0.32,Low,7.9
IAM-000070,ORG-011,AST-00070,496,5,11,43,82,2,74,5,0.72,Low,5.5
IAM-000071,ORG-019,AST-00071,318,12,1,1,41,9,169,14,0.44,High,7.5
IAM-000072,ORG-024,AST-00072,406,27,2,33,98,6,176,13,0.58,Medium,2.6
IAM-000073,ORG-006,AST-00073,199,18,2,4,72,8,190,18,0.84,Medium,5.1
IAM-000074,ORG-025,AST-00074,139,13,0,12,41,13,112,7,0.65,High,8.0
IAM-000075,ORG-016,AST-00075,127,12,6,7,78,8,91,8,0.62,High,5.8
IAM-000076,ORG-006,AST-00076,191,12,9,2,43,2,1,0,0.61,Low,6.2
IAM-000077,ORG-023,AST-00077,23,2,0,2,90,0,32,1,0.47,Low,1.2
IAM-000078,ORG-025,AST-00078,80,7,0,1,68,7,52,3,0.34,High,5.4
IAM-000079,ORG-021,AST-00079,15,1,0,0,86,1,125,11,0.58,High,5.4
IAM-000080,ORG-008,AST-00080,320,22,12,13,55,17,18,1,0.4,High,7.7
IAM-000081,ORG-025,AST-00081,488,9,23,33,86,1,155,26,0.5,Low,8.6
IAM-000082,ORG-013,AST-00082,63,6,0,1,30,1,128,12,0.33,Low,6.5
IAM-000083,ORG-016,AST-00083,111,2,2,11,100,1,21,0,0.82,Low,1.9
IAM-000084,ORG-021,AST-00084,56,5,1,4,59,1,61,9,0.72,Low,4.2
IAM-000085,ORG-022,AST-00085,154,15,0,1,50,15,116,0,0.52,High,6.1
IAM-000086,ORG-006,AST-00086,32,2,0,3,87,0,126,25,0.81,Low,3.4
IAM-000087,ORG-023,AST-00087,413,22,20,24,73,3,87,0,0.44,Medium,6.5
IAM-000088,ORG-025,AST-00088,311,25,6,6,39,1,142,24,0.95,Low,7.6
IAM-000089,ORG-011,AST-00089,94,1,2,5,83,1,137,19,0.3,High,6.4
IAM-000090,ORG-024,AST-00090,49,1,1,2,49,0,197,35,0.93,Low,7.0
IAM-000091,ORG-009,AST-00091,95,7,1,4,94,0,41,4,0.62,Low,0.8
IAM-000092,ORG-023,AST-00092,364,16,0,22,62,4,15,0,0.5,Medium,3.6
IAM-000093,ORG-014,AST-00093,286,15,12,21,63,3,163,6,0.53,Medium,5.7
IAM-000094,ORG-019,AST-00094,274,9,9,13,31,7,51,7,0.5,High,8.9
IAM-000095,ORG-012,AST-00095,75,5,3,2,92,0,70,1,0.75,Low,1.5
IAM-000096,ORG-021,AST-00096,455,32,4,10,89,22,150,13,0.51,High,5.2
IAM-000097,ORG-016,AST-00097,385,13,5,23,90,0,177,3,0.6,Low,2.3
IAM-000098,ORG-015,AST-00098,230,17,4,22,57,13,152,7,0.43,High,6.2
IAM-000099,ORG-021,AST-00099,104,7,3,2,73,4,109,1,0.88,High,4.6
IAM-000100,ORG-022,AST-00100,270,9,6,12,37,3,75,15,0.82,Medium,8.1
IAM-000101,ORG-015,AST-00101,308,2,7,22,72,0,71,7,0.65,Low,4.0
IAM-000102,ORG-011,AST-00102,6,1,0,0,88,1,132,4,0.44,High,3.9
IAM-000103,ORG-003,AST-00103,159,1,6,3,35,0,50,0,0.45,Low,5.8
IAM-000104,ORG-005,AST-00104,126,8,6,11,83,6,76,14,0.64,High,6.1
IAM-000105,ORG-021,AST-00105,81,6,4,0,61,5,131,10,0.51,High,7.1
IAM-000106,ORG-007,AST-00106,279,8,11,4,41,0,35,5,0.39,Low,6.4
IAM-000107,ORG-014,AST-00107,241,23,5,13,100,20,62,2,0.85,High,3.4
IAM-000108,ORG-018,AST-00108,25,1,1,0,56,1,87,10,0.65,High,6.7
IAM-000109,ORG-013,AST-00109,342,6,15,30,42,0,46,0,0.88,Low,7.3
IAM-000110,ORG-001,AST-00110,28,2,1,1,73,2,91,6,0.68,High,5.4
IAM-000111,ORG-019,AST-00111,229,16,10,15,87,5,133,14,0.54,Medium,4.8
IAM-000112,ORG-009,AST-00112,12,2,0,1,43,2,149,11,0.73,High,8.1
IAM-000113,ORG-014,AST-00113,234,22,0,14,64,9,91,8,0.44,Medium,4.5
IAM-000114,ORG-025,AST-00114,437,39,9,20,51,3,27,5,0.87,Medium,6.0
IAM-000115,ORG-016,AST-00115,391,3,12,19,96,1,108,11,0.4,Low,5.2
IAM-000116,ORG-007,AST-00116,237,1,1,15,37,1,198,14,0.64,High,8.6
IAM-000117,ORG-002,AST-00117,463,19,11,22,72,4,147,3,0.93,Medium,5.3
IAM-000118,ORG-023,AST-00118,156,9,7,6,74,8,194,32,0.62,High,8.5
IAM-000119,ORG-012,AST-00119,298,14,2,1,31,2,6,1,0.37,Low,5.1
IAM-000120,ORG-007,AST-00120,344,4,4,8,37,0,135,4,0.34,Low,5.5
IAM-000121,ORG-007,AST-00121,82,4,2,7,57,2,188,29,0.43,Low,7.2
IAM-000122,ORG-010,AST-00122,386,22,10,33,37,20,60,2,0.3,High,9.5
IAM-000123,ORG-021,AST-00123,265,26,4,20,84,7,199,10,0.45,Medium,4.1
IAM-000124,ORG-004,AST-00124,55,1,2,3,44,0,55,1,0.55,Low,4.3
IAM-000125,ORG-007,AST-00125,297,29,9,25,35,18,5,1,0.42,High,8.2
IAM-000126,ORG-017,AST-00126,481,25,9,46,55,1,49,2,0.42,Low,4.8
IAM-000127,ORG-007,AST-00127,37,2,0,0,46,2,113,15,0.99,High,8.1
IAM-000128,ORG-006,AST-00128,317,20,15,16,78,16,119,4,0.35,High,7.6
IAM-000129,ORG-020,AST-00129,480,29,12,15,86,2,136,11,0.96,Low,4.2
IAM-000130,ORG-012,AST-00130,27,2,0,0,83,2,130,1,0.47,High,4.1
IAM-000131,ORG-024,AST-00131,101,5,3,9,87,2,129,12,0.59,Low,3.7
IAM-000132,ORG-004,AST-00132,201,7,4,17,30,7,115,11,0.75,High,9.8
IAM-000133,ORG-006,AST-00133,141,9,7,12,74,1,113,20,0.35,Low,5.8
IAM-000134,ORG-005,AST-00134,376,22,18,7,44,21,182,34,0.31,High,10
IAM-000135,ORG-024,AST-00135,42,3,0,2,44,0,24,2,0.58,Low,4.2
IAM-000136,ORG-013,AST-00136,121,12,3,6,94,11,116,16,0.35,High,5.1
IAM-000137,ORG-016,AST-00137,380,10,4,15,94,4,166,30,0.33,Medium,5.1
IAM-000138,ORG-002,AST-00138,310,2,3,12,86,1,106,11,0.86,Low,4.5
IAM-000139,ORG-005,AST-00139,397,33,1,18,55,3,14,0,0.73,Medium,3.7
IAM-000140,ORG-015,AST-00140,156,12,5,10,100,9,163,22,0.84,High,5.9
IAM-000141,ORG-019,AST-00141,357,21,7,14,98,9,178,27,0.59,Medium,5.3
IAM-000142,ORG-011,AST-00142,378,29,13,9,66,28,153,17,0.43,High,9.7
IAM-000143,ORG-013,AST-00143,407,7,17,35,98,7,126,16,0.38,High,8.4
IAM-000144,ORG-010,AST-00144,498,22,5,11,83,15,172,9,0.5,High,5.3
IAM-000145,ORG-021,AST-00145,223,9,11,22,98,3,156,0,0.68,Medium,3.4
IAM-000146,ORG-020,AST-00146,229,1,3,8,31,0,104,20,0.96,Low,6.8
IAM-000147,ORG-012,AST-00147,398,2,18,10,32,2,88,12,0.56,High,10
IAM-000148,ORG-001,AST-00148,261,23,8,5,92,23,179,34,0.59,High,8.9
IAM-000149,ORG-021,AST-00149,481,29,14,27,62,27,74,1,0.84,High,8.4
IAM-000150,ORG-018,AST-00150,165,12,0,1,89,7,135,0,0.45,High,2.2
IAM-000151,ORG-023,AST-00151,151,12,1,7,79,11,186,33,0.44,High,8.1
IAM-000152,ORG-002,AST-00152,486,4,4,2,56,1,92,12,0.53,Low,5.6
IAM-000153,ORG-017,AST-00153,120,7,1,10,64,6,47,6,0.71,High,6.1
IAM-000154,ORG-022,AST-00154,226,12,9,22,45,0,6,1,0.9,Low,5.4
IAM-000155,ORG-003,AST-00155,125,10,3,6,32,3,180,11,0.64,Medium,7.0
IAM-000156,ORG-024,AST-00156,275,23,11,11,86,12,54,4,0.48,High,5.2
IAM-000157,ORG-020,AST-00157,499,19,0,17,85,2,7,0,0.74,Low,0.9
IAM-000158,ORG-014,AST-00158,394,8,9,38,32,2,156,12,0.69,Low,8.5
IAM-000159,ORG-020,AST-00159,269,6,11,18,64,0,77,15,0.87,Low,5.9
IAM-000160,ORG-014,AST-00160,294,25,8,12,100,2,196,37,0.86,Low,5.1
IAM-000161,ORG-003,AST-00161,469,10,12,11,84,7,142,25,0.69,High,7.7
IAM-000162,ORG-011,AST-00162,70,6,0,0,46,5,1,0,0.44,High,6.5
IAM-000163,ORG-024,AST-00163,463,25,20,4,55,3,25,1,0.52,Medium,7.7
IAM-000164,ORG-021,AST-00164,478,11,18,6,36,1,75,4,0.69,Low,8.9
IAM-000165,ORG-005,AST-00165,498,12,22,27,90,0,179,30,0.65,Low,8.2
IAM-000166,ORG-014,AST-00166,15,2,0,0,63,0,158,16,0.46,Low,3.9
IAM-000167,ORG-005,AST-00167,374,20,8,1,36,9,10,1,0.37,Medium,7.1
IAM-000168,ORG-015,AST-00168,203,10,0,10,96,0,16,2,0.47,Low,0.3
IAM-000169,ORG-024,AST-00169,128,11,6,5,42,3,17,1,0.61,Medium,6.2
IAM-000170,ORG-004,AST-00170,476,34,15,2,89,5,66,6,0.47,Medium,4.3
IAM-000171,ORG-022,AST-00171,110,8,4,7,72,8,54,0,0.73,High,5.9
IAM-000172,ORG-016,AST-00172,327,10,16,13,39,2,168,26,0.74,Low,10
IAM-000173,ORG-002,AST-00173,433,16,18,24,56,3,59,10,0.32,Medium,8.3
IAM-000174,ORG-014,AST-00174,268,13,13,26,88,7,185,25,0.49,High,7.9
IAM-000175,ORG-019,AST-00175,56,3,0,5,87,0,4,1,0.68,Low,0.6
IAM-000176,ORG-003,AST-00176,241,15,9,15,87,3,143,7,0.84,Medium,4.2
IAM-000177,ORG-023,AST-00177,270,4,8,19,61,2,90,2,0.81,Low,5.7
IAM-000178,ORG-023,AST-00178,272,1,4,12,78,1,139,17,0.78,High,6.6
IAM-000179,ORG-018,AST-00179,249,22,12,15,40,15,43,4,0.62,High,8.4
IAM-000180,ORG-009,AST-00180,183,17,5,15,78,13,81,11,0.41,High,5.9
IAM-000181,ORG-015,AST-00181,101,6,1,4,78,4,185,3,0.7,High,3.8
IAM-000182,ORG-019,AST-00182,311,3,1,25,60,2,118,2,0.9,High,5.0
IAM-000183,ORG-003,AST-00183,44,4,2,0,96,2,166,28,0.57,Low,5.0
IAM-000184,ORG-019,AST-00184,391,26,13,0,43,6,68,0,0.39,Medium,7.2
IAM-000185,ORG-017,AST-00185,89,5,1,0,36,1,85,1,0.53,Low,5.3
IAM-000186,ORG-015,AST-00186,129,1,3,4,32,1,136,13,0.45,High,9.8
IAM-000187,ORG-015,AST-00187,234,11,9,5,35,3,51,5,0.85,Medium,7.9
IAM-000188,ORG-002,AST-00188,214,1,4,12,38,0,40,3,0.68,Low,5.6
IAM-000189,ORG-021,AST-00189,396,16,16,0,44,15,4,0,0.33,High,10
IAM-000190,ORG-002,AST-00190,84,6,2,1,66,6,123,22,0.92,High,8.1
IAM-000191,ORG-019,AST-00191,344,3,15,0,46,2,90,15,0.44,High,10
IAM-000192,ORG-005,AST-00192,385,33,16,8,49,20,184,35,0.58,High,10
IAM-000193,ORG-018,AST-00193,317,9,9,2,77,2,59,4,0.61,Low,4.3
IAM-000194,ORG-020,AST-00194,6,1,0,0,31,1,2,0,0.35,High,7.3
IAM-000195,ORG-009,AST-00195,297,26,4,28,65,22,141,5,0.45,High,6.7
IAM-000196,ORG-001,AST-00196,100,10,2,4,71,2,112,13,0.42,Low,4.0
IAM-000197,ORG-017,AST-00197,278,11,4,6,57,2,38,2,0.97,Low,4.7
IAM-000198,ORG-021,AST-00198,240,5,11,2,62,5,125,4,0.41,High,8.2
IAM-000199,ORG-022,AST-00199,420,27,11,1,69,6,136,0,0.82,Medium,4.7
IAM-000200,ORG-007,AST-00200,343,33,1,15,39,0,170,31,0.97,Low,7.3
IAM-000201,ORG-012,AST-00201,485,2,17,43,76,1,106,12,0.39,Low,7.3
IAM-000202,ORG-015,AST-00202,489,39,12,47,57,38,170,3,0.86,High,9.0
IAM-000203,ORG-002,AST-00203,407,11,2,28,49,7,184,13,0.5,High,6.9
IAM-000204,ORG-008,AST-00204,380,6,6,33,94,3,79,10,0.83,Medium,4.1
IAM-000205,ORG-010,AST-00205,463,23,6,15,33,20,109,9,0.31,High,8.7
IAM-000206,ORG-002,AST-00206,479,5,16,10,36,3,43,0,0.79,High,9.6
IAM-000207,ORG-020,AST-00207,358,12,4,31,39,2,152,7,0.59,Low,5.7
IAM-000208,ORG-022,AST-00208,296,25,13,15,43,3,45,5,0.62,Medium,6.8
IAM-000209,ORG-022,AST-00209,114,3,1,11,52,2,161,19,0.64,High,7.2
IAM-000210,ORG-004,AST-00210,129,11,6,6,77,8,16,0,0.99,High,4.6
IAM-000211,ORG-024,AST-00211,99,2,3,5,89,2,132,25,0.7,High,7.0
IAM-000212,ORG-015,AST-00212,54,3,1,3,57,1,119,15,0.67,Low,5.2
IAM-000213,ORG-011,AST-00213,60,2,2,4,45,0,187,16,0.99,Low,5.3
IAM-000214,ORG-024,AST-00214,490,6,0,18,87,2,118,3,0.86,Low,2.5
IAM-000215,ORG-010,AST-00215,394,11,11,39,76,9,60,4,0.59,High,6.8
IAM-000216,ORG-019,AST-00216,427,27,14,25,98,18,112,0,0.8,High,5.1
IAM-000217,ORG-021,AST-00217,476,4,5,20,88,1,99,4,0.91,Low,2.5
IAM-000218,ORG-012,AST-00218,293,10,5,29,90,4,189,9,0.39,Medium,3.4
IAM-000219,ORG-004,AST-00219,278,13,2,15,37,13,50,2,0.71,High,7.5
IAM-000220,ORG-019,AST-00220,44,2,0,1,61,0,56,7,0.3,Low,2.8
IAM-000221,ORG-016,AST-00221,335,30,0,31,84,3,81,0,0.78,Medium,1.1
IAM-000222,ORG-002,AST-00222,84,8,0,2,97,0,95,0,0.62,Low,0
IAM-000223,ORG-001,AST-00223,256,8,6,1,80,7,53,10,0.94,High,5.9
IAM-000224,ORG-007,AST-00224,92,8,1,4,66,0,78,0,0.41,Low,2.9
IAM-000225,ORG-007,AST-00225,10,1,0,0,100,1,182,22,0.88,High,5.5
IAM-000226,ORG-007,AST-00226,312,17,10,17,71,13,90,1,1.0,High,6.5
IAM-000227,ORG-002,AST-00227,492,28,2,31,45,5,166,16,0.9,Medium,6.6
IAM-000228,ORG-013,AST-00228,132,9,6,10,64,5,192,25,0.93,High,7.4
IAM-000229,ORG-005,AST-00229,223,6,3,5,65,6,37,0,0.44,High,6.0
IAM-000230,ORG-019,AST-00230,121,6,5,1,100,1,124,7,0.75,Low,2.7
IAM-000231,ORG-017,AST-00231,41,2,1,0,80,2,110,4,0.85,High,5.1
IAM-000232,ORG-016,AST-00232,168,15,4,12,79,15,123,23,0.93,High,7.9
IAM-000233,ORG-002,AST-00233,177,4,6,12,47,4,160,32,0.65,High,10
IAM-000234,ORG-015,AST-00234,351,30,12,20,95,25,52,0,0.44,High,5.5
IAM-000235,ORG-020,AST-00235,203,18,7,15,64,1,187,28,0.63,Low,7.0
IAM-000236,ORG-012,AST-00236,265,3,5,8,47,0,90,7,0.75,Low,5.3
IAM-000237,ORG-005,AST-00237,406,39,11,7,43,28,97,11,0.83,High,9.1
IAM-000238,ORG-017,AST-00238,467,45,22,36,82,26,164,3,0.42,High,7.8
IAM-000239,ORG-013,AST-00239,113,8,1,11,85,2,100,7,0.85,Low,2.4
IAM-000240,ORG-025,AST-00240,65,4,3,4,40,4,161,9,0.48,High,9.0
IAM-000241,ORG-014,AST-00241,400,32,0,36,88,26,164,13,0.64,High,4.6
IAM-000242,ORG-022,AST-00242,134,11,6,7,54,4,136,5,0.35,Medium,5.7
IAM-000243,ORG-025,AST-00243,163,6,2,13,91,0,53,8,0.54,Low,1.6
IAM-000244,ORG-013,AST-00244,413,6,0,0,62,1,96,1,0.47,Low,3.3
IAM-000245,ORG-011,AST-00245,216,5,6,1,39,4,151,23,0.66,High,10
IAM-000246,ORG-008,AST-00246,201,13,1,3,47,4,26,1,0.46,Medium,5.2
IAM-000247,ORG-009,AST-00247,104,7,4,9,87,0,168,31,0.73,Low,5.0
IAM-000248,ORG-020,AST-00248,377,27,2,26,78,25,97,14,0.51,High,6.5
IAM-000249,ORG-021,AST-00249,424,12,8,30,76,9,10,2,0.42,High,5.7
IAM-000250,ORG-020,AST-00250,388,27,14,15,94,9,22,3,0.39,Medium,4.5
IAM-000251,ORG-015,AST-00251,290,18,0,18,66,14,90,9,0.53,High,5.7
IAM-000252,ORG-012,AST-00252,378,16,6,7,37,6,40,8,0.62,Medium,7.5
IAM-000253,ORG-021,AST-00253,12,2,0,1,56,2,110,20,0.51,High,8.3
IAM-000254,ORG-022,AST-00254,467,2,7,32,96,2,94,9,0.47,High,5.1
IAM-000255,ORG-012,AST-00255,13,1,0,1,53,1,90,7,0.85,High,7.1
IAM-000256,ORG-009,AST-00256,343,10,10,13,80,2,14,0,0.91,Low,3.8
IAM-000257,ORG-019,AST-00257,57,2,2,0,85,0,142,17,0.93,Low,3.5
IAM-000258,ORG-001,AST-00258,357,23,4,30,40,22,25,4,0.83,High,8.0
IAM-000259,ORG-010,AST-00259,237,4,9,23,36,2,98,3,0.34,Low,8.3
IAM-000260,ORG-023,AST-00260,54,3,0,0,49,0,73,9,0.74,Low,4.4
IAM-000261,ORG-010,AST-00261,101,6,4,10,41,5,97,12,0.86,High,8.8
IAM-000262,ORG-010,AST-00262,493,10,24,31,48,8,181,0,0.88,High,10
IAM-000263,ORG-023,AST-00263,204,13,10,7,84,10,6,0,0.85,High,5.8
IAM-000264,ORG-005,AST-00264,121,6,3,6,42,4,28,1,0.77,High,6.9
IAM-000265,ORG-021,AST-00265,57,1,0,5,34,1,169,13,0.36,High,9.1
IAM-000266,ORG-001,AST-00266,238,6,0,22,31,3,76,2,0.94,Medium,6.0
IAM-000267,ORG-025,AST-00267,39,3,0,1,48,0,0,1,0.54,Low,3.2
IAM-000268,ORG-006,AST-00268,92,2,2,1,46,0,74,7,0.79,Low,4.4
IAM-000269,ORG-012,AST-00269,237,18,2,15,87,13,100,7,0.56,High,4.0
IAM-000270,ORG-004,AST-00270,424,24,5,3,45,15,51,2,0.44,High,6.3
IAM-000271,ORG-018,AST-00271,322,29,10,10,61,18,61,9,0.31,High,7.0
IAM-000272,ORG-023,AST-00272,423,40,12,1,37,22,116,15,0.88,High,10
IAM-000273,ORG-010,AST-00273,385,27,1,7,93,15,39,1,0.66,High,2.7
IAM-000274,ORG-012,AST-00274,108,8,3,0,61,4,92,5,0.46,Medium,4.8
IAM-000275,ORG-005,AST-00275,40,2,1,1,74,2,163,22,0.37,High,7.3
IAM-000276,ORG-011,AST-00276,423,19,7,18,31,2,32,4,0.97,Low,7.1
IAM-000277,ORG-020,AST-00277,400,1,6,15,61,1,32,3,0.58,High,7.6
IAM-000278,ORG-017,AST-00278,291,17,8,9,86,16,78,7,0.74,High,5.6
IAM-000279,ORG-020,AST-00279,331,2,3,19,48,2,137,12,0.98,High,8.4
IAM-000280,ORG-018,AST-00280,247,11,5,0,53,11,99,15,0.62,High,9.0
IAM-000281,ORG-019,AST-00281,348,31,1,8,33,13,159,5,0.89,Medium,6.5
IAM-000282,ORG-016,AST-00282,179,13,2,11,78,12,62,11,0.39,High,5.5
IAM-000283,ORG-020,AST-00283,301,10,4,8,77,3,85,7,0.41,Medium,3.6
IAM-000284,ORG-025,AST-00284,68,6,0,1,30,6,142,20,0.33,High,9.4
IAM-000285,ORG-016,AST-00285,326,17,6,32,39,16,25,5,0.98,High,9.0
IAM-000286,ORG-005,AST-00286,108,9,0,8,99,2,194,24,0.98,Low,2.8
IAM-000287,ORG-019,AST-00287,340,16,16,18,95,1,52,5,0.42,Low,4.3
IAM-000288,ORG-022,AST-00288,23,1,0,1,75,1,198,22,0.36,High,6.8
IAM-000289,ORG-024,AST-00289,361,7,17,22,73,6,141,0,0.61,High,8.1
IAM-000290,ORG-011,AST-00290,198,9,0,4,98,1,27,3,1.0,Low,1.1
IAM-000291,ORG-005,AST-00291,318,23,10,29,54,20,166,16,0.76,High,9.1
IAM-000292,ORG-012,AST-00292,412,11,9,31,49,5,103,2,0.67,Medium,7.1
IAM-000293,ORG-019,AST-00293,63,3,1,2,66,1,121,21,0.89,Low,5.8
IAM-000294,ORG-002,AST-00294,387,6,10,3,96,5,105,11,0.88,High,6.2
IAM-000295,ORG-020,AST-00295,368,32,11,30,35,30,157,24,0.38,High,10
IAM-000296,ORG-002,AST-00296,303,25,12,17,85,25,46,8,0.4,High,6.9
IAM-000297,ORG-020,AST-00297,131,5,2,10,98,4,16,3,0.93,High,2.9
IAM-000298,ORG-012,AST-00298,199,6,0,10,90,1,103,9,0.4,Low,2.3
IAM-000299,ORG-019,AST-00299,327,12,7,6,31,7,166,11,0.98,High,9.0
IAM-000300,ORG-011,AST-00300,320,19,4,13,84,9,177,7,0.92,Medium,4.3
IAM-000301,ORG-016,AST-00301,282,26,3,22,89,14,114,16,0.49,High,5.0
IAM-000302,ORG-003,AST-00302,261,1,8,14,34,0,40,7,0.94,Low,6.7
