mapping_id,organization_id,control_id,framework,framework_function,framework_category,requirement_id,compliance_status,evidence_available,evidence_quality,gap_score
CMAP-000018,ORG-001,CTRL-0008,NIST Cybersecurity Framework,Recover,Recover,NIST-47,Compliant,True,Moderate,0
CMAP-000019,ORG-001,CTRL-0008,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-25,Compliant,True,Moderate,0
CMAP-000020,ORG-001,CTRL-0008,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -25,Compliant,True,Strong,0
CMAP-000021,ORG-001,CTRL-0009,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -21,Partially Compliant,True,Strong,0.46
CMAP-000022,ORG-001,CTRL-0009,RBI Cyber Security Framework,Network,Network Security,RBI -16,Non-Compliant,False,None,0.24
CMAP-000023,ORG-001,CTRL-0009,ISO/IEC 27001,A.10,A.10 Cryptography,ISO/-19,Non-Compliant,False,None,0.55
CMAP-000024,ORG-001,CTRL-0009,NIST Cybersecurity Framework,Recover,Recover,NIST-43,Partially Compliant,True,Weak,0.43
CMAP-000025,ORG-001,CTRL-0010,CIS Controls,CIS,CIS 11 Data Recovery,CIS -46,Non-Compliant,False,None,0.85
CMAP-000026,ORG-001,CTRL-0010,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-36,Non-Compliant,False,None,0.65
CMAP-000027,ORG-001,CTRL-0010,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-14,Partially Compliant,True,Weak,0.62
CMAP-000028,ORG-001,CTRL-0011,CIS Controls,CIS,CIS 4 Secure Config,CIS -46,Partially Compliant,True,Weak,0.72
CMAP-000029,ORG-001,CTRL-0011,SEBI Cybersecurity and Cyber Resilience Framework,Detect,Detect,SEBI-8,Partially Compliant,False,None,0.73
CMAP-000030,ORG-001,CTRL-0012,CIS Controls,CIS,CIS 4 Secure Config,CIS -22,Compliant,True,Strong,0
CMAP-000031,ORG-001,CTRL-0012,ISO/IEC 27001,A.18,A.18 Compliance,ISO/-46,Compliant,True,Strong,0
CMAP-000032,ORG-001,CTRL-0012,NIST Cybersecurity Framework,Respond,Respond,NIST-25,Compliant,True,Moderate,0
CMAP-000033,ORG-001,CTRL-0012,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -19,Compliant,True,Strong,0
CMAP-000034,ORG-002,CTRL-0013,NIST Cybersecurity Framework,Protect,Protect,NIST-22,Non-Compliant,False,None,0.74
CMAP-000035,ORG-002,CTRL-0013,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -38,Partially Compliant,True,Moderate,0.58
CMAP-000036,ORG-002,CTRL-0014,SEBI Cybersecurity and Cyber Resilience Framework,Detect,Detect,SEBI-28,Compliant,True,Weak,0
CMAP-000037,ORG-002,CTRL-0014,RBI Cyber Security Framework,Incident,Incident Response,RBI -12,Compliant,True,Moderate,0
CMAP-000038,ORG-002,CTRL-0015,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-44,Compliant,True,Strong,0
CMAP-000039,ORG-002,CTRL-0015,ISO/IEC 27001,A.6,A.6 Organization,ISO/-3,Compliant,True,Moderate,0
CMAP-000040,ORG-002,CTRL-0015,RBI Cyber Security Framework,Network,Network Security,RBI -43,Compliant,True,Weak,0
CMAP-000041,ORG-002,CTRL-0015,NIST Cybersecurity Framework,Identify,Identify,NIST-40,Compliant,True,Strong,0
CMAP-000042,ORG-002,CTRL-0016,ISO/IEC 27001,A.18,A.18 Compliance,ISO/-28,Partially Compliant,True,Moderate,0.4
CMAP-000043,ORG-002,CTRL-0016,SEBI Cybersecurity and Cyber Resilience Framework,Detect,Detect,SEBI-22,Partially Compliant,True,Moderate,0.49
CMAP-000044,ORG-002,CTRL-0016,RBI Cyber Security Framework,Network,Network Security,RBI -16,Partially Compliant,True,Moderate,0.66
CMAP-000045,ORG-002,CTRL-0017,RBI Cyber Security Framework,Governance,Governance,RBI -19,Compliant,True,Strong,0
CMAP-000046,ORG-002,CTRL-0017,ISO/IEC 27001,A.6,A.6 Organization,ISO/-29,Compliant,True,Weak,0
CMAP-000047,ORG-002,CTRL-0017,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-10,Compliant,True,Strong,0
CMAP-000048,ORG-002,CTRL-0017,NIST Cybersecurity Framework,Protect,Protect,NIST-12,Compliant,True,Strong,0
CMAP-000049,ORG-002,CTRL-0018,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -38,Partially Compliant,True,Moderate,0.33
CMAP-000050,ORG-002,CTRL-0018,ISO/IEC 27001,A.13,A.13 Comms Security,ISO/-24,Non-Compliant,False,None,0.48
CMAP-000051,ORG-002,CTRL-0019,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-16,Compliant,True,Strong,0
CMAP-000052,ORG-002,CTRL-0019,CIS Controls,CIS,CIS 6 Access Control,CIS -7,Compliant,True,Strong,0
CMAP-000053,ORG-002,CTRL-0019,RBI Cyber Security Framework,Governance,Governance,RBI -12,Compliant,True,Weak,0
CMAP-000054,ORG-002,CTRL-0020,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-23,Compliant,True,Moderate,0
CMAP-000055,ORG-002,CTRL-0020,CIS Controls,CIS,CIS 11 Data Recovery,CIS -19,Compliant,True,Weak,0
CMAP-000056,ORG-002,CTRL-0021,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-3,Non-Compliant,False,None,0.47
CMAP-000057,ORG-002,CTRL-0021,NIST Cybersecurity Framework,Govern,Govern,NIST-13,Non-Compliant,False,None,0.74
CMAP-000058,ORG-002,CTRL-0022,SEBI Cybersecurity and Cyber Resilience Framework,Detect,Detect,SEBI-40,Non-Compliant,False,None,0.41
CMAP-000059,ORG-002,CTRL-0022,RBI Cyber Security Framework,Network,Network Security,RBI -25,Non-Compliant,False,None,0.83
CMAP-000060,ORG-002,CTRL-0022,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -4,Partially Compliant,True,Strong,0.42
CMAP-000061,ORG-002,CTRL-0023,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -3,Partially Compliant,True,Strong,0.62
CMAP-000062,ORG-002,CTRL-0023,SEBI Cybersecurity and Cyber Resilience Framework,Protect,Protect,SEBI-9,Non-Compliant,False,None,0.45
CMAP-000063,ORG-002,CTRL-0024,RBI Cyber Security Framework,Incident,Incident Response,RBI -33,Non-Compliant,False,None,0.86
CMAP-000064,ORG-002,CTRL-0024,CIS Controls,CIS,CIS 4 Secure Config,CIS -7,Partially Compliant,False,None,0.67
CMAP-000065,ORG-002,CTRL-0024,NIST Cybersecurity Framework,Detect,Detect,NIST-12,Non-Compliant,False,None,0.57
CMAP-000066,ORG-002,CTRL-0024,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-12,Non-Compliant,False,None,0.71
CMAP-000067,ORG-002,CTRL-0025,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -35,Non-Compliant,False,None,0.45
CMAP-000068,ORG-002,CTRL-0025,NIST Cybersecurity Framework,Recover,Recover,NIST-33,Non-Compliant,False,None,0.73
CMAP-000069,ORG-002,CTRL-0026,NIST Cybersecurity Framework,Recover,Recover,NIST-47,Compliant,True,Strong,0
CMAP-000070,ORG-002,CTRL-0026,SEBI Cybersecurity and Cyber Resilience Framework,Detect,Detect,SEBI-39,Compliant,True,Moderate,0
CMAP-000071,ORG-002,CTRL-0026,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-36,Compliant,True,Moderate,0
CMAP-000072,ORG-002,CTRL-0027,ISO/IEC 27001,A.16,A.16 Incident Mgmt,ISO/-27,Partially Compliant,False,None,0.45
CMAP-000073,ORG-002,CTRL-0027,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -8,Non-Compliant,False,None,0.74
CMAP-000074,ORG-002,CTRL-0027,RBI Cyber Security Framework,Incident,Incident Response,RBI -31,Partially Compliant,True,Weak,0.76
CMAP-000075,ORG-002,CTRL-0028,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-12,Non-Compliant,False,None,0.73
CMAP-000076,ORG-002,CTRL-0028,RBI Cyber Security Framework,Access,Access Control,RBI -26,Partially Compliant,False,None,0.35
CMAP-000077,ORG-002,CTRL-0028,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-8,Non-Compliant,False,None,0.31
CMAP-000078,ORG-002,CTRL-0028,CIS Controls,CIS,CIS 8 Audit Logs,CIS -26,Non-Compliant,False,None,0.68
CMAP-000079,ORG-003,CTRL-0029,NIST Cybersecurity Framework,Govern,Govern,NIST-46,Non-Compliant,False,None,0.43
CMAP-000080,ORG-003,CTRL-0029,RBI Cyber Security Framework,Governance,Governance,RBI -49,Partially Compliant,True,Weak,0.75
CMAP-000081,ORG-003,CTRL-0029,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-13,Partially Compliant,False,None,0.55
CMAP-000082,ORG-003,CTRL-0029,ISO/IEC 27001,A.16,A.16 Incident Mgmt,ISO/-44,Partially Compliant,False,None,0.42
CMAP-000083,ORG-003,CTRL-0030,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -12,Partially Compliant,False,None,0.29
CMAP-000084,ORG-003,CTRL-0030,ISO/IEC 27001,A.16,A.16 Incident Mgmt,ISO/-11,Non-Compliant,False,None,0.61
CMAP-000085,ORG-003,CTRL-0030,NIST Cybersecurity Framework,Respond,Respond,NIST-41,Non-Compliant,False,None,0.41
CMAP-000086,ORG-003,CTRL-0031,RBI Cyber Security Framework,Governance,Governance,RBI -7,Non-Compliant,False,None,0.28
CMAP-000087,ORG-003,CTRL-0031,NIST Cybersecurity Framework,Detect,Detect,NIST-34,Non-Compliant,False,None,0.76
CMAP-000088,ORG-003,CTRL-0031,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-35,Non-Compliant,False,None,0.41
CMAP-000089,ORG-003,CTRL-0032,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -32,Non-Compliant,False,None,0.3
CMAP-000090,ORG-003,CTRL-0032,ISO/IEC 27001,A.17,A.17 BCM,ISO/-40,Partially Compliant,False,None,0.69
CMAP-000091,ORG-003,CTRL-0032,SEBI Cybersecurity and Cyber Resilience Framework,Respond,Respond & Recover,SEBI-2,Non-Compliant,False,None,0.46
CMAP-000092,ORG-003,CTRL-0033,ISO/IEC 27001,A.10,A.10 Cryptography,ISO/-8,Compliant,True,Strong,0
CMAP-000093,ORG-003,CTRL-0033,CIS Controls,CIS,CIS 11 Data Recovery,CIS -5,Compliant,True,Weak,0
CMAP-000094,ORG-003,CTRL-0033,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-40,Compliant,True,Strong,0
CMAP-000095,ORG-003,CTRL-0033,RBI Cyber Security Framework,Governance,Governance,RBI -28,Compliant,True,Weak,0
CMAP-000096,ORG-003,CTRL-0034,ISO/IEC 27001,A.17,A.17 BCM,ISO/-14,Compliant,True,Weak,0
CMAP-000097,ORG-003,CTRL-0034,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -6,Compliant,True,Weak,0
CMAP-000098,ORG-003,CTRL-0034,CIS Controls,CIS,CIS 8 Audit Logs,CIS -15,Compliant,True,Moderate,0
CMAP-000099,ORG-003,CTRL-0034,NIST Cybersecurity Framework,Respond,Respond,NIST-42,Compliant,True,Strong,0
CMAP-000100,ORG-003,CTRL-0035,ISO/IEC 27001,A.5,A.5 Policies,ISO/-4,Compliant,True,Strong,0
CMAP-000101,ORG-003,CTRL-0035,RBI Cyber Security Framework,Governance,Governance,RBI -35,Compliant,True,Strong,0
CMAP-000102,ORG-003,CTRL-0036,SEBI Cybersecurity and Cyber Resilience Framework,Protect,Protect,SEBI-14,Partially Compliant,False,None,0.81
CMAP-000103,ORG-003,CTRL-0036,RBI Cyber Security Framework,Governance,Governance,RBI -6,Partially Compliant,False,None,0.29
CMAP-000104,ORG-003,CTRL-0036,ISO/IEC 27001,A.5,A.5 Policies,ISO/-19,Non-Compliant,False,None,0.7
CMAP-000105,ORG-003,CTRL-0037,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -17,Compliant,True,Weak,0
CMAP-000106,ORG-003,CTRL-0037,NIST Cybersecurity Framework,Protect,Protect,NIST-42,Compliant,True,Moderate,0
CMAP-000107,ORG-003,CTRL-0038,NIST Cybersecurity Framework,Detect,Detect,NIST-23,Non-Compliant,False,None,0.49
CMAP-000108,ORG-003,CTRL-0038,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -42,Partially Compliant,True,Weak,0.38
CMAP-000109,ORG-003,CTRL-0038,CIS Controls,CIS,CIS 4 Secure Config,CIS -11,Partially Compliant,False,None,0.49
CMAP-000110,ORG-003,CTRL-0039,ISO/IEC 27001,A.10,A.10 Cryptography,ISO/-34,Compliant,True,Strong,0
CMAP-000111,ORG-003,CTRL-0039,RBI Cyber Security Framework,Governance,Governance,RBI -43,Compliant,True,Moderate,0
CMAP-000112,ORG-004,CTRL-0040,RBI Cyber Security Framework,Governance,Governance,RBI -42,Compliant,True,Strong,0
CMAP-000113,ORG-004,CTRL-0040,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -7,Compliant,True,Strong,0
CMAP-000114,ORG-004,CTRL-0040,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-21,Compliant,True,Moderate,0
CMAP-000115,ORG-004,CTRL-0040,ISO/IEC 27001,A.12,A.12 Operations Security,ISO/-14,Compliant,True,Strong,0
CMAP-000116,ORG-004,CTRL-0041,CIS Controls,CIS,CIS 6 Access Control,CIS -23,Compliant,True,Strong,0
CMAP-000117,ORG-004,CTRL-0041,ISO/IEC 27001,A.5,A.5 Policies,ISO/-48,Compliant,True,Moderate,0
CMAP-000118,ORG-004,CTRL-0042,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -42,Compliant,True,Weak,0
CMAP-000119,ORG-004,CTRL-0042,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-21,Compliant,True,Strong,0
CMAP-000120,ORG-004,CTRL-0042,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -21,Compliant,True,Moderate,0
CMAP-000121,ORG-004,CTRL-0042,NIST Cybersecurity Framework,Identify,Identify,NIST-50,Compliant,True,Weak,0
CMAP-000122,ORG-004,CTRL-0043,CIS Controls,CIS,CIS 6 Access Control,CIS -21,Compliant,True,Strong,0
CMAP-000123,ORG-004,CTRL-0043,ISO/IEC 27001,A.16,A.16 Incident Mgmt,ISO/-30,Compliant,True,Strong,0
CMAP-000124,ORG-004,CTRL-0043,NIST Cybersecurity Framework,Detect,Detect,NIST-42,Compliant,True,Moderate,0
CMAP-000125,ORG-004,CTRL-0044,NIST Cybersecurity Framework,Identify,Identify,NIST-33,Compliant,True,Strong,0
CMAP-000126,ORG-004,CTRL-0044,SEBI Cybersecurity and Cyber Resilience Framework,Detect,Detect,SEBI-20,Compliant,True,Weak,0
CMAP-000127,ORG-004,CTRL-0044,RBI Cyber Security Framework,Governance,Governance,RBI -44,Compliant,True,Weak,0
CMAP-000128,ORG-004,CTRL-0044,CIS Controls,CIS,CIS 6 Access Control,CIS -38,Compliant,True,Strong,0
CMAP-000129,ORG-004,CTRL-0045,NIST Cybersecurity Framework,Govern,Govern,NIST-39,Non-Compliant,False,None,0.44
CMAP-000130,ORG-004,CTRL-0045,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -50,Non-Compliant,False,None,0.36
CMAP-000131,ORG-004,CTRL-0046,NIST Cybersecurity Framework,Protect,Protect,NIST-47,Non-Compliant,False,None,0.86
CMAP-000132,ORG-004,CTRL-0046,CIS Controls,CIS,CIS 6 Access Control,CIS -12,Partially Compliant,True,Weak,0.81
CMAP-000133,ORG-004,CTRL-0046,SEBI Cybersecurity and Cyber Resilience Framework,Protect,Protect,SEBI-1,Partially Compliant,True,Strong,0.42
CMAP-000134,ORG-004,CTRL-0047,NIST Cybersecurity Framework,Govern,Govern,NIST-18,Compliant,True,Moderate,0
CMAP-000135,ORG-004,CTRL-0047,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-35,Compliant,True,Moderate,0
CMAP-000136,ORG-004,CTRL-0048,NIST Cybersecurity Framework,Respond,Respond,NIST-20,Partially Compliant,True,Weak,0.27
CMAP-000137,ORG-004,CTRL-0048,RBI Cyber Security Framework,Access,Access Control,RBI -30,Non-Compliant,False,None,0.89
CMAP-000138,ORG-004,CTRL-0048,ISO/IEC 27001,A.17,A.17 BCM,ISO/-31,Partially Compliant,False,None,0.36
CMAP-000139,ORG-004,CTRL-0049,NIST Cybersecurity Framework,Identify,Identify,NIST-25,Non-Compliant,False,None,0.3
CMAP-000140,ORG-004,CTRL-0049,CIS Controls,CIS,CIS 8 Audit Logs,CIS -7,Partially Compliant,False,None,0.43
CMAP-000141,ORG-005,CTRL-0050,RBI Cyber Security Framework,Access,Access Control,RBI -19,Non-Compliant,False,None,0.57
CMAP-000142,ORG-005,CTRL-0050,NIST Cybersecurity Framework,Protect,Protect,NIST-13,Partially Compliant,True,Strong,0.3
CMAP-000143,ORG-005,CTRL-0050,CIS Controls,CIS,CIS 13 Network Monitoring,CIS -22,Non-Compliant,False,None,0.52
CMAP-000144,ORG-005,CTRL-0051,CIS Controls,CIS,CIS 11 Data Recovery,CIS -46,Partially Compliant,True,Strong,0.62
CMAP-000145,ORG-005,CTRL-0051,RBI Cyber Security Framework,Access,Access Control,RBI -9,Non-Compliant,False,None,0.36
CMAP-000146,ORG-005,CTRL-0051,ISO/IEC 27001,A.5,A.5 Policies,ISO/-39,Non-Compliant,False,None,0.76
CMAP-000147,ORG-005,CTRL-0052,RBI Cyber Security Framework,Governance,Governance,RBI -30,Partially Compliant,True,Strong,0.24
CMAP-000148,ORG-005,CTRL-0052,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -40,Partially Compliant,True,Moderate,0.87
CMAP-000149,ORG-005,CTRL-0052,SEBI Cybersecurity and Cyber Resilience Framework,Protect,Protect,SEBI-2,Partially Compliant,False,None,0.38
CMAP-000150,ORG-005,CTRL-0052,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-27,Non-Compliant,False,None,0.56
CMAP-000151,ORG-005,CTRL-0053,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -17,Non-Compliant,False,None,0.81
CMAP-000152,ORG-005,CTRL-0053,SEBI Cybersecurity and Cyber Resilience Framework,Detect,Detect,SEBI-31,Partially Compliant,True,Moderate,0.25
CMAP-000153,ORG-005,CTRL-0053,CIS Controls,CIS,CIS 6 Access Control,CIS -33,Non-Compliant,False,None,0.54
CMAP-000154,ORG-005,CTRL-0054,RBI Cyber Security Framework,Data,Data Leak Prevention,RBI -36,Non-Compliant,False,None,0.41
CMAP-000155,ORG-005,CTRL-0054,SEBI Cybersecurity and Cyber Resilience Framework,Protect,Protect,SEBI-6,Non-Compliant,False,None,0.47
CMAP-000156,ORG-005,CTRL-0054,CIS Controls,CIS,CIS 8 Audit Logs,CIS -15,Non-Compliant,False,None,0.52
CMAP-000157,ORG-005,CTRL-0054,NIST Cybersecurity Framework,Govern,Govern,NIST-7,Non-Compliant,False,None,0.29
CMAP-000158,ORG-005,CTRL-0055,RBI Cyber Security Framework,Access,Access Control,RBI -47,Compliant,True,Strong,0
CMAP-000159,ORG-005,CTRL-0055,NIST Cybersecurity Framework,Respond,Respond,NIST-42,Compliant,True,Strong,0
CMAP-000160,ORG-005,CTRL-0056,NIST Cybersecurity Framework,Respond,Respond,NIST-13,Partially Compliant,False,None,0.39
CMAP-000161,ORG-005,CTRL-0056,CIS Controls,CIS,CIS 8 Audit Logs,CIS -4,Non-Compliant,False,None,0.51
CMAP-000162,ORG-005,CTRL-0056,ISO/IEC 27001,A.18,A.18 Compliance,ISO/-16,Non-Compliant,False,None,0.68
CMAP-000163,ORG-005,CTRL-0057,NIST Cybersecurity Framework,Detect,Detect,NIST-11,Compliant,True,Weak,0
CMAP-000164,ORG-005,CTRL-0057,ISO/IEC 27001,A.6,A.6 Organization,ISO/-48,Compliant,True,Moderate,0
CMAP-000165,ORG-005,CTRL-0057,RBI Cyber Security Framework,Access,Access Control,RBI -9,Compliant,True,Strong,0
CMAP-000166,ORG-005,CTRL-0057,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -27,Compliant,True,Moderate,0
CMAP-000167,ORG-005,CTRL-0058,CIS Controls,CIS,CIS 8 Audit Logs,CIS -8,Non-Compliant,False,None,0.86
CMAP-000168,ORG-005,CTRL-0058,NIST Cybersecurity Framework,Recover,Recover,NIST-1,Partially Compliant,True,Weak,0.74
CMAP-000169,ORG-005,CTRL-0058,ISO/IEC 27001,A.5,A.5 Policies,ISO/-40,Non-Compliant,False,None,0.63
CMAP-000170,ORG-005,CTRL-0059,SEBI Cybersecurity and Cyber Resilience Framework,Third-Party,Third-Party Risk,SEBI-41,Non-Compliant,False,None,0.31
CMAP-000171,ORG-005,CTRL-0059,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -21,Partially Compliant,True,Weak,0.56
CMAP-000172,ORG-005,CTRL-0059,NIST Cybersecurity Framework,Protect,Protect,NIST-25,Partially Compliant,False,None,0.27
CMAP-000173,ORG-005,CTRL-0059,ISO/IEC 27001,A.13,A.13 Comms Security,ISO/-23,Non-Compliant,False,None,0.46
CMAP-000174,ORG-005,CTRL-0060,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-32,Partially Compliant,True,Weak,0.49
CMAP-000175,ORG-005,CTRL-0060,RBI Cyber Security Framework,Network,Network Security,RBI -10,Partially Compliant,True,Strong,0.33
CMAP-000176,ORG-005,CTRL-0061,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-40,Non-Compliant,False,None,0.9
CMAP-000177,ORG-005,CTRL-0061,NIST Cybersecurity Framework,Protect,Protect,NIST-15,Partially Compliant,True,Weak,0.4
CMAP-000178,ORG-005,CTRL-0061,RBI Cyber Security Framework,Network,Network Security,RBI -29,Non-Compliant,False,None,0.66
CMAP-000179,ORG-005,CTRL-0061,ISO/IEC 27001,A.13,A.13 Comms Security,ISO/-16,Non-Compliant,False,None,0.87
CMAP-000180,ORG-005,CTRL-0062,ISO/IEC 27001,A.9,A.9 Access Control,ISO/-33,Compliant,True,Weak,0
CMAP-000181,ORG-005,CTRL-0062,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-32,Compliant,True,Strong,0
CMAP-000182,ORG-005,CTRL-0062,RBI Cyber Security Framework,Network,Network Security,RBI -30,Compliant,True,Strong,0
CMAP-000183,ORG-005,CTRL-0063,NIST Cybersecurity Framework,Respond,Respond,NIST-33,Compliant,True,Weak,0
CMAP-000184,ORG-005,CTRL-0063,CIS Controls,CIS,CIS 6 Access Control,CIS -11,Compliant,True,Moderate,0
CMAP-000185,ORG-005,CTRL-0063,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-44,Compliant,True,Moderate,0
CMAP-000186,ORG-005,CTRL-0064,NIST Cybersecurity Framework,Recover,Recover,NIST-6,Partially Compliant,True,Moderate,0.73
CMAP-000187,ORG-005,CTRL-0064,CIS Controls,CIS,CIS 6 Access Control,CIS -15,Non-Compliant,False,None,0.69
CMAP-000188,ORG-005,CTRL-0064,ISO/IEC 27001,A.6,A.6 Organization,ISO/-6,Partially Compliant,False,None,0.44
CMAP-000189,ORG-005,CTRL-0065,NIST Cybersecurity Framework,Protect,Protect,NIST-44,Non-Compliant,False,None,0.38
CMAP-000190,ORG-005,CTRL-0065,ISO/IEC 27001,A.17,A.17 BCM,ISO/-45,Non-Compliant,False,None,0.64
CMAP-000191,ORG-005,CTRL-0065,SEBI Cybersecurity and Cyber Resilience Framework,Governance,Governance,SEBI-36,Non-Compliant,False,None,0.53
CMAP-000192,ORG-006,CTRL-0066,CIS Controls,CIS,CIS 4 Secure Config,CIS -32,Non-Compliant,False,None,0.55
CMAP-000193,ORG-006,CTRL-0066,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -1,Non-Compliant,False,None,0.29
CMAP-000194,ORG-006,CTRL-0066,NIST Cybersecurity Framework,Detect,Detect,NIST-19,Non-Compliant,False,None,0.69
CMAP-000195,ORG-006,CTRL-0067,NIST Cybersecurity Framework,Respond,Respond,NIST-33,Non-Compliant,False,None,0.75
CMAP-000196,ORG-006,CTRL-0067,SEBI Cybersecurity and Cyber Resilience Framework,Identify,Identify,SEBI-36,Partially Compliant,False,None,0.29
CMAP-000197,ORG-006,CTRL-0067,RBI Cyber Security Framework,Vendor,Vendor Risk Mgmt,RBI -14,Partially Compliant,True,Moderate,0.73
CMAP-000198,ORG-006,CTRL-0068,RBI Cyber Security Framework,Governance,Governance,RBI -37,Partially Compliant,False,None,0.85
CMAP-000199,ORG-006,CTRL-0068,CIS Controls,CIS,CIS 1 Asset Inventory,CIS -49,Partially Compliant,True,Weak,0.63
CMAP-000200,ORG-006,CTRL-0068,NIST Cybersecurity Framework,Identify,Identify,NIST-45,Partially Compliant,False,None,0.36
CMAP-000201,ORG-006,CTRL-0069,CIS Controls,CIS,CIS 5 Account Mgmt,CIS -30,Non-Compliant,False,None,0.68
